date,cases,deaths
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,1
2020-04-10,2,1
2020-04-11,2,1
2020-04-12,2,1
2020-04-13,2,1
2020-04-14,2,1
2020-04-15,2,1
2020-04-16,2,1
2020-04-17,2,1
2020-04-18,2,1
2020-04-19,3,1
2020-04-20,3,1
2020-04-21,3,1
2020-04-22,3,1
2020-04-23,3,1
2020-04-24,4,1
2020-04-25,6,1
2020-04-26,7,1
2020-04-27,9,1
2020-04-28,11,1
2020-04-29,11,1
2020-04-30,12,1
2020-05-01,12,1
2020-05-02,12,1
2020-05-03,14,1
2020-05-04,15,1
2020-05-05,15,1
2020-05-06,17,1
2020-05-07,17,1
2020-05-08,18,1
2020-05-09,18,2
2020-05-10,18,2
2020-05-11,18,2
2020-05-12,18,2
2020-05-13,18,2
2020-05-14,18,2
2020-05-15,18,2
2020-05-16,20,2
2020-05-17,20,2
2020-05-18,20,2
2020-05-19,20,2
2020-05-20,20,2
2020-05-21,20,2
2020-05-22,21,2
2020-05-23,21,2
2020-05-24,21,2
2020-05-25,21,2
2020-05-26,21,2
2020-05-27,21,2
2020-05-28,21,2
2020-05-29,21,2
2020-05-30,22,2
2020-05-31,22,2
2020-06-01,22,2
2020-06-02,22,2
2020-06-03,22,2
2020-06-04,23,2
2020-06-05,23,2
2020-06-06,23,2
2020-06-07,23,2
2020-06-08,23,2
2020-06-09,23,2
2020-06-10,23,2
2020-06-11,23,2
2020-06-12,23,2
2020-06-13,24,2
2020-06-14,24,2
2020-06-15,24,2
2020-06-16,24,2
2020-06-17,24,2
2020-06-18,24,2
2020-06-19,24,2
2020-06-20,24,2
2020-06-21,24,2
2020-06-22,24,2
2020-06-23,25,2
2020-06-24,25,2
2020-06-25,25,2
2020-06-26,25,2
2020-06-27,25,2
2020-06-28,25,2
2020-06-29,25,2
