date,cases,deaths
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,2,0
2020-03-22,3,1
2020-03-23,3,1
2020-03-24,4,1
2020-03-25,7,1
2020-03-26,10,1
2020-03-27,14,1
2020-03-28,14,1
2020-03-29,15,1
2020-03-30,15,1
2020-03-31,15,1
2020-04-01,15,1
2020-04-02,15,1
2020-04-03,16,1
2020-04-04,16,1
2020-04-05,22,1
2020-04-06,22,1
2020-04-07,23,1
2020-04-08,23,1
2020-04-09,24,1
2020-04-10,26,2
2020-04-11,26,2
2020-04-12,26,2
2020-04-13,27,2
2020-04-14,27,2
2020-04-15,27,2
2020-04-16,28,2
2020-04-17,28,2
2020-04-18,28,2
2020-04-19,28,2
2020-04-20,28,2
2020-04-21,28,2
2020-04-22,28,2
2020-04-23,28,2
2020-04-24,28,2
2020-04-25,28,2
2020-04-26,29,2
2020-04-27,29,2
2020-04-28,29,2
2020-04-29,29,2
2020-04-30,29,2
2020-05-01,29,2
2020-05-02,29,2
2020-05-03,29,2
2020-05-04,29,2
2020-05-05,29,2
2020-05-06,29,2
2020-05-07,29,2
2020-05-08,29,2
2020-05-09,29,2
2020-05-10,29,2
2020-05-11,29,2
2020-05-12,29,2
2020-05-13,29,2
2020-05-14,29,2
2020-05-15,29,2
2020-05-16,29,2
2020-05-17,29,2
2020-05-18,29,2
2020-05-19,29,2
2020-05-20,29,2
2020-05-21,29,2
2020-05-22,29,2
2020-05-23,29,2
2020-05-24,29,2
2020-05-25,29,2
2020-05-26,29,2
2020-05-27,30,2
2020-05-28,30,2
2020-05-29,30,2
2020-05-30,31,2
2020-05-31,31,2
2020-06-01,31,2
2020-06-02,31,2
2020-06-03,31,2
2020-06-04,32,2
2020-06-05,32,2
2020-06-06,33,2
2020-06-07,34,2
2020-06-08,34,2
2020-06-09,34,2
2020-06-10,35,2
2020-06-11,35,2
2020-06-12,36,2
2020-06-13,41,2
2020-06-14,41,2
2020-06-15,41,2
2020-06-16,41,2
2020-06-17,41,2
2020-06-18,41,2
2020-06-19,46,2
2020-06-20,47,2
2020-06-21,48,2
2020-06-22,50,2
2020-06-23,51,2
2020-06-24,51,2
2020-06-25,51,2
2020-06-26,51,2
2020-06-27,51,2
2020-06-28,53,2
2020-06-29,54,2
2020-06-30,56,2
2020-07-01,57,2
2020-07-02,57,2
2020-07-03,57,2
2020-07-04,58,2
2020-07-05,58,2
2020-07-06,58,2
2020-07-07,60,2
2020-07-08,61,2
2020-07-09,65,3
2020-07-10,68,3
2020-07-11,68,3
2020-07-12,70,3
2020-07-13,71,3
2020-07-14,73,3
2020-07-15,75,3
2020-07-16,75,3
2020-07-17,78,3
2020-07-18,84,3
2020-07-19,84,3
2020-07-20,85,3
2020-07-21,84,3
2020-07-22,86,3
2020-07-23,92,3
2020-07-24,94,3
2020-07-25,101,3
2020-07-26,107,3
2020-07-27,107,3
2020-07-28,112,3
2020-07-29,115,3
2020-07-30,113,3
2020-07-31,116,3
2020-08-01,122,3
2020-08-02,120,3
2020-08-03,122,3
2020-08-04,126,3
2020-08-05,127,3
2020-08-06,130,3
2020-08-07,134,3
2020-08-08,136,3
2020-08-09,137,3
2020-08-10,138,3
2020-08-11,149,3
2020-08-12,148,3
2020-08-13,151,3
2020-08-14,153,3
2020-08-15,166,3
2020-08-16,166,3
2020-08-17,168,3
2020-08-18,170,3
2020-08-19,172,3
2020-08-20,178,3
2020-08-21,186,3
2020-08-22,194,3
2020-08-23,195,3
2020-08-24,197,3
2020-08-25,197,3
2020-08-26,201,3
2020-08-27,203,3
