date,cases,deaths
2020-04-01,2,0.0
2020-04-02,2,0.0
2020-04-03,4,0.0
2020-04-04,4,0.0
2020-04-05,2,0.0
2020-04-06,2,0.0
2020-04-07,3,0.0
2020-04-08,3,0.0
2020-04-09,6,0.0
2020-04-10,6,0.0
2020-04-11,7,0.0
2020-04-12,7,0.0
2020-04-13,7,0.0
2020-04-14,7,0.0
2020-04-15,7,0.0
2020-04-16,7,0.0
2020-04-17,7,0.0
2020-04-18,8,0.0
2020-04-19,8,0.0
2020-04-20,8,0.0
2020-04-21,9,0.0
2020-04-22,9,0.0
2020-04-23,10,0.0
2020-04-24,10,0.0
2020-04-25,10,0.0
2020-04-26,10,0.0
2020-04-27,10,0.0
2020-04-28,10,0.0
2020-04-29,10,0.0
2020-04-30,10,0.0
2020-05-01,11,0.0
2020-05-02,11,0.0
2020-05-03,10,0.0
2020-05-04,10,0.0
2020-05-05,10,0.0
2020-05-06,12,0.0
2020-05-07,12,0.0
2020-05-08,13,0.0
2020-05-09,16,0.0
2020-05-10,16,0.0
2020-05-11,16,0.0
2020-05-12,16,0.0
2020-05-13,18,0.0
2020-05-14,18,0.0
2020-05-15,18,0.0
2020-05-16,18,0.0
2020-05-17,18,0.0
2020-05-18,18,0.0
2020-05-19,19,0.0
2020-05-20,19,0.0
2020-05-21,19,0.0
2020-05-22,19,0.0
2020-05-23,19,0.0
2020-05-24,19,0.0
2020-05-25,20,0.0
2020-05-26,20,0.0
2020-05-27,21,0.0
2020-05-28,22,0.0
2020-05-29,22,0.0
2020-05-30,22,0.0
2020-05-31,22,0.0
2020-06-01,22,0.0
2020-06-02,23,0.0
2020-06-03,23,0.0
2020-06-04,24,0.0
2020-06-05,24,0.0
2020-06-06,24,0.0
2020-06-07,24,0.0
2020-06-08,24,0.0
2020-06-09,26,0.0
2020-06-10,27,0.0
2020-06-11,28,0.0
2020-06-12,31,0.0
2020-06-13,33,0.0
2020-06-14,33,0.0
2020-06-15,34,0.0
2020-06-16,36,0.0
2020-06-17,41,0.0
2020-06-18,44,0.0
2020-06-19,46,0.0
2020-06-20,55,0.0
2020-06-21,55,0.0
2020-06-22,55,0.0
2020-06-23,55,0.0
2020-06-24,58,0.0
2020-06-25,66,0.0
2020-06-26,71,0.0
2020-06-27,82,0.0
2020-06-28,87,0.0
2020-06-29,87,0.0
2020-06-30,87,0.0
2020-07-01,93,0.0
2020-07-02,95,0.0
2020-07-03,100,0.0
2020-07-04,104,0.0
2020-07-05,104,0.0
2020-07-06,108,0.0
2020-07-07,109,0.0
2020-07-08,111,0.0
2020-07-09,143,0.0
2020-07-10,152,0.0
2020-07-11,161,0.0
2020-07-12,167,0.0
2020-07-13,170,0.0
2020-07-14,179,0.0
2020-07-15,182,0.0
2020-07-16,181,0.0
2020-07-17,184,0.0
2020-07-18,189,0.0
2020-07-19,193,0.0
2020-07-20,197,0.0
2020-07-21,215,0.0
2020-07-22,216,0.0
2020-07-23,219,0.0
2020-07-24,221,0.0
2020-07-25,225,0.0
2020-07-26,225,1.0
2020-07-27,233,1.0
2020-07-28,237,1.0
2020-07-29,237,2.0
2020-07-30,238,2.0
2020-07-31,238,2.0
2020-08-01,242,2.0
2020-08-02,246,2.0
2020-08-03,246,2.0
2020-08-04,257,2.0
2020-08-05,257,2.0
2020-08-06,265,2.0
2020-08-07,272,2.0
2020-08-08,278,2.0
2020-08-09,281,2.0
2020-08-10,296,2.0
2020-08-11,308,2.0
2020-08-12,333,2.0
2020-08-13,345,2.0
2020-08-14,354,2.0
2020-08-15,359,2.0
2020-08-16,360,2.0
2020-08-17,362,2.0
2020-08-18,364,2.0
2020-08-19,370,2.0
2020-08-20,378,3.0
2020-08-21,399,3.0
2020-08-22,399,3.0
2020-08-23,416,3.0
2020-08-24,421,3.0
2020-08-25,421,3.0
2020-08-26,421,3.0
2020-08-27,422,3.0
2020-08-28,422,3.0
2020-08-29,436,3.0
2020-08-30,444,3.0
2020-08-31,444,3.0
2020-09-01,446,3.0
2020-09-02,448,3.0
2020-09-03,448,4.0
2020-09-04,466,4.0
2020-09-05,449,4.0
2020-09-06,448,4.0
2020-09-07,451,4.0
2020-09-08,451,4.0
2020-09-09,451,4.0
2020-09-10,451,4.0
2020-09-11,454,4.0
2020-09-12,456,4.0
2020-09-13,460,4.0
2020-09-14,460,4.0
2020-09-15,460,4.0
2020-09-16,463,4.0
2020-09-17,465,4.0
2020-09-18,476,4.0
2020-09-19,478,4.0
2020-09-20,480,4.0
2020-09-21,480,4.0
2020-09-22,480,4.0
2020-09-23,480,4.0
2020-09-24,482,4.0
2020-09-25,482,4.0
2020-09-26,486,4.0
2020-09-27,486,4.0
2020-09-28,486,4.0
2020-09-29,486,4.0
2020-09-30,484,4.0
2020-10-01,486,4.0
2020-10-02,487,4.0
2020-10-03,489,4.0
2020-10-04,490,4.0
2020-10-05,490,4.0
2020-10-06,490,4.0
2020-10-07,490,4.0
2020-10-08,491,4.0
2020-10-09,492,4.0
2020-10-10,492,4.0
2020-10-11,494,4.0
2020-10-12,494,4.0
2020-10-13,494,4.0
2020-10-14,494,4.0
2020-10-15,494,4.0
2020-10-16,494,4.0
2020-10-17,496,4.0
2020-10-18,498,4.0
2020-10-19,498,4.0
2020-10-20,498,4.0
2020-10-21,498,4.0
2020-10-22,498,4.0
2020-10-23,500,4.0
2020-10-24,499,4.0
2020-10-25,501,4.0
2020-10-26,501,4.0
2020-10-27,503,4.0
2020-10-28,502,4.0
2020-10-29,504,4.0
2020-10-30,504,4.0
2020-10-31,506,4.0
2020-11-01,510,4.0
2020-11-02,510,4.0
2020-11-03,510,4.0
2020-11-04,510,4.0
2020-11-05,510,4.0
2020-11-06,510,4.0
2020-11-07,513,4.0
2020-11-08,518,4.0
2020-11-09,518,4.0
2020-11-10,522,4.0
2020-11-11,523,4.0
2020-11-12,525,4.0
2020-11-13,527,4.0
2020-11-14,530,4.0
2020-11-15,538,4.0
2020-11-16,538,4.0
2020-11-17,543,4.0
2020-11-18,544,4.0
2020-11-19,552,4.0
2020-11-20,559,4.0
2020-11-21,559,4.0
2020-11-22,574,4.0
2020-11-23,580,4.0
2020-11-24,585,4.0
2020-11-25,605,4.0
2020-11-26,614,4.0
2020-11-27,620,4.0
2020-11-28,623,4.0
2020-11-29,652,4.0
2020-11-30,668,4.0
2020-12-01,679,5.0
2020-12-02,682,5.0
2020-12-03,689,5.0
2020-12-04,692,6.0
2020-12-05,704,7.0
2020-12-06,721,7.0
2020-12-07,724,7.0
2020-12-08,731,7.0
2020-12-09,740,8.0
2020-12-10,744,10.0
2020-12-11,850,10.0
2020-12-12,855,10.0
2020-12-13,864,10.0
2020-12-14,868,10.0
2020-12-15,878,11.0
2020-12-16,885,12.0
2020-12-17,892,12.0
2020-12-18,900,12.0
2020-12-19,914,12.0
2020-12-20,923,12.0
2020-12-21,926,12.0
2020-12-22,936,14.0
2020-12-23,951,14.0
2020-12-24,963,14.0
2020-12-25,974,14.0
2020-12-26,989,14.0
2020-12-27,994,14.0
2020-12-28,1005,14.0
2020-12-29,1005,15.0
2020-12-30,1012,15.0
2020-12-31,1012,15.0
2021-01-01,1018,15.0
