date,cases,deaths
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,2,1
2020-04-06,2,1
2020-04-07,2,1
2020-04-08,2,1
2020-04-09,2,1
2020-04-10,2,1
2020-04-11,3,1
2020-04-12,3,1
2020-04-13,3,1
2020-04-14,4,1
2020-04-15,4,1
2020-04-16,4,1
2020-04-17,4,1
2020-04-18,4,1
2020-04-19,4,1
2020-04-20,4,1
2020-04-21,4,1
2020-04-22,4,1
2020-04-23,4,1
2020-04-24,4,1
2020-04-25,4,1
2020-04-26,4,1
2020-04-27,4,1
2020-04-28,4,1
2020-04-29,4,1
2020-04-30,4,1
2020-05-01,4,1
2020-05-02,4,1
2020-05-03,4,1
2020-05-04,5,1
2020-05-05,6,1
2020-05-06,6,1
2020-05-07,5,1
2020-05-08,5,1
2020-05-09,5,1
2020-05-10,5,1
2020-05-11,5,1
2020-05-12,5,1
2020-05-13,5,1
2020-05-14,5,1
2020-05-15,5,1
2020-05-16,5,1
2020-05-17,5,1
2020-05-18,5,1
2020-05-19,5,1
2020-05-20,5,1
2020-05-21,5,1
2020-05-22,5,1
2020-05-23,5,1
2020-05-24,5,1
2020-05-25,5,1
2020-05-26,5,1
2020-05-27,5,1
2020-05-28,5,1
2020-05-29,5,1
2020-05-30,6,1
2020-05-31,6,1
2020-06-01,6,1
2020-06-02,6,1
2020-06-03,6,1
2020-06-04,6,1
2020-06-05,6,2
2020-06-06,6,2
2020-06-07,6,2
2020-06-08,6,2
2020-06-09,6,2
2020-06-10,6,2
2020-06-11,7,2
2020-06-12,7,2
2020-06-13,7,2
2020-06-14,7,2
2020-06-15,7,2
2020-06-16,7,2
2020-06-17,7,2
2020-06-18,6,2
2020-06-19,7,2
2020-06-20,6,2
2020-06-21,6,2
2020-06-22,6,2
2020-06-23,7,2
2020-06-24,7,2
2020-06-25,7,2
2020-06-26,7,2
2020-06-27,7,2
2020-06-28,7,2
2020-06-29,7,2
2020-06-30,7,2
2020-07-01,8,2
2020-07-02,7,2
2020-07-03,8,2
2020-07-04,8,2
2020-07-05,8,2
2020-07-06,8,2
2020-07-07,9,2
2020-07-08,10,2
2020-07-09,11,2
2020-07-10,11,2
2020-07-11,13,2
2020-07-12,14,2
2020-07-13,15,2
2020-07-14,16,2
2020-07-15,21,2
2020-07-16,21,2
2020-07-17,19,2
2020-07-18,20,2
2020-07-19,22,2
2020-07-20,25,2
2020-07-21,29,2
2020-07-22,28,2
2020-07-23,33,2
2020-07-24,34,2
2020-07-25,36,2
2020-07-26,36,2
2020-07-27,36,2
2020-07-28,37,2
2020-07-29,40,2
2020-07-30,41,2
2020-07-31,41,2
2020-08-01,41,2
2020-08-02,41,2
2020-08-03,41,2
2020-08-04,42,2
2020-08-05,42,2
2020-08-06,42,2
2020-08-07,44,2
2020-08-08,43,2
2020-08-09,43,2
2020-08-10,44,2
2020-08-11,44,2
2020-08-12,45,2
2020-08-13,45,2
2020-08-14,45,2
2020-08-15,47,2
2020-08-16,47,2
2020-08-17,47,2
2020-08-18,49,2
2020-08-19,49,2
2020-08-20,50,2
2020-08-21,51,2
2020-08-22,51,2
2020-08-23,52,2
2020-08-24,54,2
2020-08-25,56,2
2020-08-26,58,2
2020-08-27,58,2
2020-08-28,58,2
2020-08-29,60,2
2020-08-30,64,2
2020-08-31,64,2
2020-09-01,67,2
2020-09-02,69,2
2020-09-03,77,2
2020-09-04,87,2
2020-09-05,92,2
2020-09-06,92,2
2020-09-07,96,2
2020-09-08,96,2
2020-09-09,101,2
2020-09-10,102,2
2020-09-11,103,2
2020-09-12,105,2
2020-09-13,109,2
2020-09-14,109,2
2020-09-15,116,2
2020-09-16,119,2
2020-09-17,121,2
2020-09-18,123,2
2020-09-19,122,2
2020-09-20,123,2
2020-09-21,125,2
2020-09-22,128,2
2020-09-23,132,2
2020-09-24,135,2
2020-09-25,138,2
2020-09-26,142,2
2020-09-27,143,2
2020-09-28,144,2
2020-09-29,145,2
2020-09-30,147,2
2020-10-01,151,2
2020-10-02,155,2
2020-10-03,160,2
2020-10-04,163,2
2020-10-05,164,2
2020-10-06,164,2
2020-10-07,165,2
2020-10-08,169,2
2020-10-09,173,2
2020-10-10,178,2
2020-10-11,178,2
2020-10-12,181,2
2020-10-13,182,2
2020-10-14,189,2
2020-10-15,195,2
2020-10-16,202,2
2020-10-17,202,2
2020-10-18,202,2
2020-10-19,214,2
2020-10-20,219,2
2020-10-21,225,3
2020-10-22,232,3
2020-10-23,241,3
2020-10-24,249,3
2020-10-25,255,3
2020-10-26,261,3
2020-10-27,273,3
2020-10-28,283,3
2020-10-29,301,3
2020-10-30,316,3
2020-10-31,337,3
2020-11-01,345,3
2020-11-02,350,3
2020-11-03,361,3
2020-11-04,380,3
2020-11-05,394,3
2020-11-06,418,3
2020-11-07,440,3
2020-11-08,450,3
2020-11-09,454,3
2020-11-10,474,3
2020-11-11,498,3
2020-11-12,518,3
2020-11-13,549,3
2020-11-14,562,3
2020-11-15,579,3
2020-11-16,593,3
2020-11-17,612,3
