date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,1,0
2020-04-28,1,0
2020-04-29,1,0
2020-04-30,1,0
2020-05-01,2,0
2020-05-02,2,0
2020-05-03,5,0
2020-05-04,5,0
2020-05-05,8,0
2020-05-06,8,0
2020-05-07,8,0
2020-05-08,9,0
2020-05-09,9,0
2020-05-10,10,0
2020-05-11,10,0
2020-05-12,10,1
2020-05-13,10,1
2020-05-14,11,1
2020-05-15,11,1
2020-05-16,11,1
2020-05-17,11,1
2020-05-18,11,1
2020-05-19,11,1
2020-05-20,11,1
2020-05-21,11,1
2020-05-22,11,1
2020-05-23,11,1
2020-05-24,11,1
2020-05-25,12,1
2020-05-26,12,1
2020-05-27,12,1
2020-05-28,12,1
2020-05-29,12,1
2020-05-30,12,1
2020-05-31,12,1
2020-06-01,12,1
2020-06-02,13,1
2020-06-03,13,1
2020-06-04,13,1
2020-06-05,13,1
2020-06-06,13,1
2020-06-07,13,1
2020-06-08,13,1
2020-06-09,13,1
2020-06-10,14,1
2020-06-11,13,1
2020-06-12,13,1
2020-06-13,13,1
2020-06-14,14,1
2020-06-15,14,1
2020-06-16,14,1
2020-06-17,14,1
2020-06-18,14,1
2020-06-19,15,1
2020-06-20,15,1
2020-06-21,15,1
2020-06-22,15,1
2020-06-23,15,1
2020-06-24,15,1
2020-06-25,16,1
2020-06-26,18,1
2020-06-27,17,1
2020-06-28,17,1
2020-06-29,17,1
2020-06-30,17,1
2020-07-01,16,1
2020-07-02,16,1
2020-07-03,16,1
2020-07-04,16,1
2020-07-05,16,1
2020-07-06,16,1
2020-07-07,16,1
2020-07-08,16,1
2020-07-09,16,1
2020-07-10,16,1
