date,cases,deaths
2020-03-25,1,0
2020-03-26,2,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,4,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,4,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,4,0
2020-04-08,5,0
2020-04-09,5,0
2020-04-10,5,0
2020-04-11,5,0
2020-04-12,5,0
2020-04-13,6,0
2020-04-14,6,0
2020-04-15,6,0
2020-04-16,6,0
2020-04-17,7,0
2020-04-18,7,0
2020-04-19,7,0
2020-04-20,7,0
2020-04-21,7,0
2020-04-22,7,0
2020-04-23,8,0
2020-04-24,9,0
2020-04-25,8,0
2020-04-26,8,0
2020-04-27,8,0
2020-04-28,8,0
2020-04-29,8,0
2020-04-30,8,0
2020-05-01,9,0
2020-05-02,10,0
2020-05-03,11,0
2020-05-04,10,0
2020-05-05,9,0
2020-05-06,9,0
2020-05-07,9,0
2020-05-08,9,0
2020-05-09,9,0
2020-05-10,9,0
2020-05-11,10,0
2020-05-12,10,0
2020-05-13,10,0
2020-05-14,10,0
2020-05-15,10,0
2020-05-16,10,0
2020-05-17,10,0
2020-05-18,12,0
2020-05-19,13,0
2020-05-20,14,0
2020-05-21,14,0
2020-05-22,15,0
2020-05-23,15,0
2020-05-24,15,0
2020-05-25,16,0
2020-05-26,16,0
2020-05-27,16,0
2020-05-28,16,0
2020-05-29,16,0
2020-05-30,16,0
2020-05-31,16,0
2020-06-01,16,0
2020-06-02,16,0
2020-06-03,17,0
2020-06-04,17,0
2020-06-05,17,0
2020-06-06,17,0
2020-06-07,18,0
2020-06-08,18,0
2020-06-09,18,0
2020-06-10,18,0
2020-06-11,19,0
2020-06-12,23,0
2020-06-13,23,0
2020-06-14,26,0
2020-06-15,26,0
2020-06-16,25,0
2020-06-17,27,0
2020-06-18,27,0
2020-06-19,29,0
2020-06-20,30,0
2020-06-21,32,0
2020-06-22,34,0
2020-06-23,34,0
2020-06-24,35,0
2020-06-25,43,0
2020-06-26,47,0
2020-06-27,47,0
2020-06-28,51,0
2020-06-29,52,0
2020-06-30,52,0
2020-07-01,53,0
2020-07-02,54,0
2020-07-03,56,0
2020-07-04,56,0
2020-07-05,62,0
2020-07-06,63,0
2020-07-07,65,0
2020-07-08,65,0
2020-07-09,68,0
2020-07-10,71,0
2020-07-11,76,0
2020-07-12,80,0
2020-07-13,83,0
2020-07-14,84,0
2020-07-15,86,0
2020-07-16,88,0
2020-07-17,95,0
2020-07-18,95,0
2020-07-19,95,0
2020-07-20,108,0
2020-07-21,111,0
2020-07-22,118,0
2020-07-23,120,0
