date,cases,deaths
2020-06-05,1,0
2020-06-06,1,0
2020-06-07,1,0
2020-06-08,1,0
2020-06-09,1,0
2020-06-10,1,0
2020-06-11,1,0
2020-06-12,1,0
2020-06-13,2,0
2020-06-14,2,0
2020-06-15,2,0
2020-06-16,2,0
2020-06-17,2,0
2020-06-18,2,0
2020-06-19,2,0
2020-06-20,2,0
2020-06-21,2,0
2020-06-22,2,0
2020-06-23,2,0
2020-06-24,2,0
2020-06-25,2,0
2020-06-26,3,0
2020-06-27,3,0
2020-06-28,3,0
2020-06-29,3,0
2020-06-30,3,0
2020-07-01,3,0
2020-07-02,3,0
2020-07-03,3,0
2020-07-04,3,0
2020-07-05,3,0
2020-07-06,3,0
2020-07-07,3,0
2020-07-08,3,0
2020-07-09,3,0
2020-07-10,3,0
2020-07-11,3,0
2020-07-12,3,0
2020-07-13,3,0
2020-07-14,5,0
2020-07-15,5,0
2020-07-16,5,0
2020-07-17,5,0
2020-07-18,5,0
2020-07-19,5,0
2020-07-20,5,0
2020-07-21,5,0
2020-07-22,5,0
2020-07-23,5,0
2020-07-24,5,0
2020-07-25,5,0
2020-07-26,5,0
2020-07-27,5,0
