date,cases,deaths
2020-03-26,1,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,4,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,6,0
2020-04-08,6,0
2020-04-09,7,0
2020-04-10,6,0
2020-04-11,8,0
2020-04-12,8,0
2020-04-13,10,0
2020-04-14,10,0
2020-04-15,10,0
2020-04-16,10,0
2020-04-17,10,0
2020-04-18,11,0
2020-04-19,11,0
2020-04-20,10,0
2020-04-21,10,0
2020-04-22,10,0
2020-04-23,11,0
2020-04-24,11,0
2020-04-25,11,0
2020-04-26,11,0
2020-04-27,12,0
2020-04-28,12,0
2020-04-29,12,0
2020-04-30,12,0
2020-05-01,12,0
2020-05-02,12,0
2020-05-03,12,0
2020-05-04,12,0
2020-05-05,12,0
2020-05-06,12,0
2020-05-07,13,0
2020-05-08,13,0
2020-05-09,13,0
2020-05-10,13,0
2020-05-11,13,0
2020-05-12,14,0
2020-05-13,14,0
2020-05-14,14,0
2020-05-15,15,0
2020-05-16,15,0
2020-05-17,15,0
2020-05-18,15,0
2020-05-19,15,0
2020-05-20,15,0
2020-05-21,15,0
2020-05-22,15,0
2020-05-23,16,0
2020-05-24,16,0
2020-05-25,16,0
2020-05-26,15,0
2020-05-27,15,0
2020-05-28,15,0
2020-05-29,15,0
2020-05-30,15,0
2020-05-31,15,0
2020-06-01,15,0
2020-06-02,15,0
2020-06-03,15,0
2020-06-04,15,0
2020-06-05,15,0
2020-06-06,15,0
2020-06-07,15,0
2020-06-08,15,0
2020-06-09,15,0
2020-06-10,15,0
2020-06-11,15,0
2020-06-12,15,0
2020-06-13,15,0
2020-06-14,15,0
2020-06-15,15,0
2020-06-16,15,0
2020-06-17,15,0
2020-06-18,15,0
2020-06-19,15,0
2020-06-20,15,0
2020-06-21,15,0
2020-06-22,16,0
2020-06-23,16,0
2020-06-24,16,0
2020-06-25,16,0
2020-06-26,16,0
2020-06-27,16,0
2020-06-28,16,0
2020-06-29,17,0
2020-06-30,18,0
2020-07-01,19,0
2020-07-02,19,0
2020-07-03,19,0
2020-07-04,20,0
2020-07-05,22,0
2020-07-06,21,0
2020-07-07,21,0
2020-07-08,21,0
2020-07-09,23,0
2020-07-10,23,0
2020-07-11,24,0
2020-07-12,24,0
2020-07-13,25,0
2020-07-14,26,0
