date,cases,deaths
2020-03-09,3,0.0
2020-03-10,3,0.0
2020-03-11,3,0.0
2020-03-12,3,0.0
2020-03-13,11,0.0
2020-03-14,11,0.0
2020-03-15,14,0.0
2020-03-16,24,0.0
2020-03-17,31,0.0
2020-03-18,38,0.0
2020-03-19,53,0.0
2020-03-20,69,0.0
2020-03-21,92,1.0
2020-03-22,125,1.0
2020-03-23,149,1.0
2020-03-24,167,2.0
2020-03-25,206,2.0
2020-03-26,259,2.0
2020-03-27,330,2.0
2020-03-28,370,3.0
2020-03-29,449,4.0
2020-03-30,493,4.0
2020-03-31,527,6.0
2020-04-01,589,9.0
2020-04-02,663,12.0
2020-04-03,780,13.0
2020-04-04,781,13.0
2020-04-05,826,14.0
2020-04-06,871,15.0
2020-04-07,911,19.0
2020-04-08,960,23.0
2020-04-09,1014,23.0
2020-04-10,1052,22.0
2020-04-11,1113,22.0
2020-04-12,1152,23.0
2020-04-13,1197,24.0
2020-04-14,1239,33.0
2020-04-15,1281,39.0
2020-04-16,1331,42.0
2020-04-17,1383,48.0
2020-04-18,1453,52.0
2020-04-19,1466,53.0
2020-04-20,1577,55.0
2020-04-21,1653,64.0
2020-04-22,1713,79.0
2020-04-23,1768,83.0
2020-04-24,1817,91.0
2020-04-25,1867,91.0
2020-04-26,1902,91.0
2020-04-27,1938,96.0
2020-04-28,1984,109.0
2020-04-29,2030,110.0
2020-04-30,2126,112.0
2020-05-01,2217,115.0
2020-05-02,2305,115.0
2020-05-03,2338,120.0
2020-05-04,2398,121.0
2020-05-05,2428,128.0
2020-05-06,2542,131.0
2020-05-07,2591,136.0
2020-05-08,2668,143.0
2020-05-09,2755,145.0
2020-05-10,2795,146.0
2020-05-11,2861,147.0
2020-05-12,2908,151.0
2020-05-13,2979,153.0
2020-05-14,3066,157.0
2020-05-15,3156,162.0
2020-05-16,3223,163.0
2020-05-17,3321,173.0
2020-05-18,3410,175.0
2020-05-19,3463,183.0
2020-05-20,3512,190.0
2020-05-21,3667,202.0
2020-05-22,3762,204.0
2020-05-23,3851,207.0
2020-05-24,3927,209.0
2020-05-25,3963,217.0
2020-05-26,4060,221.0
2020-05-27,4137,224.0
2020-05-28,4211,226.0
2020-05-29,4318,226.0
2020-05-30,4369,226.0
2020-05-31,4444,226.0
2020-06-01,4508,241.0
2020-06-02,4581,245.0
2020-06-03,4669,247.0
2020-06-04,4732,259.0
2020-06-05,4789,265.0
2020-06-06,4827,265.0
2020-06-07,4858,268.0
2020-06-08,4910,283.0
2020-06-09,4939,287.0
2020-06-10,5011,298.0
2020-06-11,5057,303.0
2020-06-12,5112,304.0
2020-06-13,5144,310.0
2020-06-14,5175,311.0
2020-06-15,5220,315.0
2020-06-16,5271,318.0
2020-06-17,5336,319.0
2020-06-18,5404,327.0
2020-06-19,5481,334.0
2020-06-20,5555,336.0
2020-06-21,5633,338.0
2020-06-22,5734,339.0
2020-06-23,5820,341.0
2020-06-24,5964,343.0
2020-06-25,6111,346.0
2020-06-26,6287,347.0
2020-06-27,6429,351.0
2020-06-28,6571,351.0
2020-06-29,6694,352.0
2020-06-30,6831,364.0
2020-07-01,7013,366.0
2020-07-02,7013,366.0
2020-07-03,7392,372.0
2020-07-04,7571,372.0
2020-07-05,7724,373.0
2020-07-06,7883,373.0
2020-07-07,8048,379.0
2020-07-08,8277,383.0
2020-07-09,8518,383.0
2020-07-10,8786,393.0
2020-07-11,8979,393.0
2020-07-12,9208,399.0
2020-07-13,9359,399.0
2020-07-14,9509,400.0
2020-07-15,9784,402.0
2020-07-16,9985,406.0
2020-07-17,10215,407.0
2020-07-18,10438,414.0
2020-07-19,10553,421.0
2020-07-20,10713,424.0
2020-07-21,10828,431.0
2020-07-22,11015,432.0
2020-07-23,11206,435.0
2020-07-24,11404,450.0
2020-07-25,11584,449.0
2020-07-26,11697,449.0
2020-07-27,11788,454.0
2020-07-28,11938,460.0
2020-07-29,12088,465.0
2020-07-30,12212,465.0
2020-07-31,12399,470.0
2020-08-01,12518,475.0
2020-08-02,12646,477.0
2020-08-03,12753,477.0
2020-08-04,12881,482.0
2020-08-05,13011,487.0
2020-08-06,13141,491.0
2020-08-07,13269,498.0
2020-08-08,13414,499.0
2020-08-09,13514,499.0
2020-08-10,13640,500.0
2020-08-11,13734,505.0
2020-08-12,13869,512.0
2020-08-13,13999,519.0
2020-08-14,14120,523.0
2020-08-15,14278,529.0
2020-08-16,14335,528.0
2020-08-17,14418,528.0
2020-08-18,14487,541.0
2020-08-19,14585,542.0
2020-08-20,14673,544.0
2020-08-21,14774,552.0
2020-08-22,14881,552.0
2020-08-23,14955,552.0
2020-08-24,15032,552.0
2020-08-25,15088,552.0
2020-08-26,15192,565.0
2020-08-27,15316,570.0
2020-08-28,15452,571.0
2020-08-29,15544,574.0
2020-08-30,15624,574.0
2020-08-31,15714,575.0
2020-09-01,15804,581.0
2020-09-02,15925,582.0
2020-09-03,15965,591.0
2020-09-04,16066,599.0
2020-09-05,16190,599.0
2020-09-06,16249,599.0
2020-09-07,16317,603.0
2020-09-08,16360,605.0
2020-09-09,16407,608.0
2020-09-10,16479,613.0
2020-09-11,16544,621.0
2020-09-12,16630,621.0
2020-09-13,16698,622.0
2020-09-14,16747,622.0
2020-09-15,16789,631.0
2020-09-16,16846,636.0
2020-09-17,16907,638.0
2020-09-18,16981,643.0
2020-09-19,17041,642.0
2020-09-20,17092,642.0
2020-09-21,17155,644.0
2020-09-22,17196,644.0
2020-09-23,17262,654.0
2020-09-24,17327,656.0
2020-09-25,17375,656.0
2020-09-26,17437,656.0
2020-09-27,17490,656.0
2020-09-28,17554,656.0
2020-09-29,17603,657.0
2020-09-30,17649,658.0
2020-10-01,17704,658.0
2020-10-02,17796,663.0
2020-10-03,17847,665.0
2020-10-04,17910,665.0
2020-10-05,17995,665.0
2020-10-06,18035,665.0
2020-10-07,18107,665.0
2020-10-08,18183,665.0
2020-10-09,18299,667.0
2020-10-10,18358,667.0
2020-10-11,18441,667.0
2020-10-12,18538,667.0
2020-10-13,18620,667.0
2020-10-14,18711,670.0
2020-10-15,18834,671.0
2020-10-16,18951,671.0
2020-10-17,19103,671.0
2020-10-18,19212,671.0
2020-10-19,19345,674.0
2020-10-20,19436,675.0
2020-10-21,19586,682.0
2020-10-22,19706,682.0
2020-10-23,19906,684.0
2020-10-24,20088,685.0
2020-10-25,20278,685.0
2020-10-26,20452,685.0
2020-10-27,20582,686.0
2020-10-28,20741,686.0
2020-10-29,21002,686.0
2020-10-30,21266,686.0
2020-10-31,21488,686.0
