date,cases,deaths
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,3,0.0
2020-03-28,3,0.0
2020-03-29,4,0.0
2020-03-30,5,0.0
2020-03-31,5,0.0
2020-04-01,5,0.0
2020-04-02,6,0.0
2020-04-03,6,0.0
2020-04-04,6,0.0
2020-04-05,6,0.0
2020-04-06,6,0.0
2020-04-07,6,0.0
2020-04-08,6,0.0
2020-04-09,7,0.0
2020-04-10,8,0.0
2020-04-11,8,0.0
2020-04-12,8,0.0
2020-04-13,9,0.0
2020-04-14,9,0.0
2020-04-15,9,0.0
2020-04-16,10,0.0
2020-04-17,10,0.0
2020-04-18,10,0.0
2020-04-19,10,0.0
2020-04-20,11,0.0
2020-04-21,11,0.0
2020-04-22,11,0.0
2020-04-23,11,0.0
2020-04-24,11,0.0
2020-04-25,11,0.0
2020-04-26,12,0.0
2020-04-27,12,0.0
2020-04-28,12,0.0
2020-04-29,12,0.0
2020-04-30,11,0.0
2020-05-01,13,0.0
2020-05-02,13,0.0
2020-05-03,14,0.0
2020-05-04,14,0.0
2020-05-05,16,0.0
2020-05-06,16,0.0
2020-05-07,17,0.0
2020-05-08,18,0.0
2020-05-09,19,0.0
2020-05-10,26,0.0
2020-05-11,27,0.0
2020-05-12,32,0.0
2020-05-13,36,0.0
2020-05-14,40,0.0
2020-05-15,43,0.0
2020-05-16,49,0.0
2020-05-17,52,0.0
2020-05-18,58,0.0
2020-05-19,74,1.0
2020-05-20,85,1.0
2020-05-21,85,1.0
2020-05-22,127,1.0
2020-05-23,138,2.0
2020-05-24,152,2.0
2020-05-25,156,2.0
2020-05-26,162,2.0
2020-05-27,172,2.0
2020-05-28,186,2.0
2020-05-29,201,2.0
2020-05-30,218,3.0
2020-05-31,227,3.0
2020-06-01,235,3.0
2020-06-02,241,3.0
2020-06-03,257,3.0
2020-06-04,275,4.0
2020-06-05,284,4.0
2020-06-06,297,4.0
2020-06-07,305,4.0
2020-06-08,314,4.0
2020-06-09,321,5.0
2020-06-10,335,5.0
2020-06-11,351,6.0
2020-06-12,362,6.0
2020-06-13,378,7.0
2020-06-14,386,7.0
2020-06-15,392,7.0
2020-06-16,402,8.0
2020-06-17,424,8.0
2020-06-18,430,8.0
2020-06-19,437,10.0
2020-06-20,446,10.0
2020-06-21,457,10.0
2020-06-22,462,10.0
2020-06-23,466,11.0
2020-06-24,475,11.0
2020-06-25,482,12.0
2020-06-26,486,13.0
2020-06-27,497,15.0
2020-06-28,507,15.0
2020-06-29,513,15.0
2020-06-30,518,15.0
2020-07-01,523,15.0
2020-07-02,536,16.0
2020-07-03,546,16.0
2020-07-04,556,16.0
2020-07-05,560,16.0
2020-07-06,575,16.0
2020-07-07,590,16.0
2020-07-08,606,16.0
2020-07-09,616,17.0
2020-07-10,624,20.0
2020-07-11,630,20.0
2020-07-12,635,20.0
2020-07-13,641,20.0
2020-07-14,649,20.0
2020-07-15,674,21.0
2020-07-16,679,21.0
2020-07-17,704,21.0
2020-07-18,713,21.0
2020-07-19,720,22.0
2020-07-20,725,22.0
2020-07-21,750,22.0
2020-07-22,756,23.0
2020-07-23,765,24.0
2020-07-24,767,25.0
2020-07-25,774,25.0
2020-07-26,778,25.0
2020-07-27,786,25.0
2020-07-28,787,25.0
2020-07-29,796,25.0
2020-07-30,804,25.0
2020-07-31,811,26.0
2020-08-01,818,28.0
2020-08-02,826,28.0
2020-08-03,845,28.0
2020-08-04,848,28.0
2020-08-05,858,28.0
2020-08-06,863,30.0
2020-08-07,875,30.0
2020-08-08,881,32.0
