date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,4,0
2020-04-12,4,0
2020-04-13,4,0
2020-04-14,4,0
2020-04-15,4,0
2020-04-16,4,0
2020-04-17,4,0
2020-04-18,4,0
2020-04-19,5,0
2020-04-20,5,0
2020-04-21,4,0
2020-04-22,4,0
2020-04-23,4,0
2020-04-24,5,0
2020-04-25,5,0
2020-04-26,5,0
2020-04-27,7,0
2020-04-28,7,0
2020-04-29,7,0
2020-04-30,7,0
2020-05-01,8,0
2020-05-02,8,0
2020-05-03,8,0
2020-05-04,8,0
2020-05-05,8,0
2020-05-06,10,0
2020-05-07,10,0
2020-05-08,10,0
2020-05-09,12,0
2020-05-10,12,0
2020-05-11,12,0
2020-05-12,13,0
2020-05-13,13,0
2020-05-14,14,0
2020-05-15,14,0
2020-05-16,15,0
2020-05-17,15,0
2020-05-18,16,0
2020-05-19,16,0
2020-05-20,16,0
2020-05-21,16,0
2020-05-22,16,0
2020-05-23,19,0
2020-05-24,19,0
2020-05-25,21,0
2020-05-26,21,0
2020-05-27,22,0
2020-05-28,22,0
2020-05-29,23,0
2020-05-30,23,0
2020-05-31,23,0
2020-06-01,23,0
2020-06-02,26,0
2020-06-03,26,0
2020-06-04,26,0
2020-06-05,27,0
2020-06-06,28,0
2020-06-07,28,0
2020-06-08,31,0
2020-06-09,32,0
2020-06-10,32,0
2020-06-11,32,0
2020-06-12,32,0
2020-06-13,32,0
2020-06-14,33,0
2020-06-15,33,0
2020-06-16,35,0
2020-06-17,35,0
2020-06-18,36,0
2020-06-19,36,0
2020-06-20,33,0
2020-06-21,34,0
2020-06-22,34,0
2020-06-23,39,0
2020-06-24,46,0
2020-06-25,47,0
2020-06-26,50,0
2020-06-27,55,0
2020-06-28,55,0
2020-06-29,58,0
2020-06-30,62,0
2020-07-01,65,0
2020-07-02,69,0
2020-07-03,72,0
2020-07-04,73,0
2020-07-05,76,0
2020-07-06,78,0
2020-07-07,81,0
2020-07-08,100,0
2020-07-09,106,0
2020-07-10,120,0
2020-07-11,123,0
2020-07-12,127,0
2020-07-13,159,0
2020-07-14,164,0
2020-07-15,183,1
2020-07-16,189,1
2020-07-17,208,2
2020-07-18,215,3
2020-07-19,215,3
2020-07-20,222,3
2020-07-21,248,3
2020-07-22,248,3
2020-07-23,262,3
2020-07-24,267,3
2020-07-25,282,3
2020-07-26,293,3
2020-07-27,317,3
2020-07-28,332,3
2020-07-29,339,3
2020-07-30,349,3
2020-07-31,375,4
2020-08-01,393,4
2020-08-02,400,4
2020-08-03,403,4
2020-08-04,429,4
2020-08-05,454,4
2020-08-06,479,4
2020-08-07,498,4
2020-08-08,507,4
2020-08-09,530,4
2020-08-10,533,4
2020-08-11,540,4
2020-08-12,545,4
2020-08-13,567,4
2020-08-14,587,4
2020-08-15,590,5
2020-08-16,592,6
2020-08-17,626,6
2020-08-18,629,6
2020-08-19,641,6
2020-08-20,669,6
2020-08-21,696,6
2020-08-22,704,7
2020-08-23,735,7
2020-08-24,741,7
2020-08-25,745,7
2020-08-26,780,7
2020-08-27,798,7
2020-08-28,824,7
2020-08-29,830,7
2020-08-30,851,7
2020-08-31,853,7
2020-09-01,860,7
2020-09-02,879,7
2020-09-03,873,7
2020-09-04,894,7
2020-09-05,894,7
2020-09-06,907,7
2020-09-07,913,7
2020-09-08,914,7
2020-09-09,914,7
2020-09-10,930,7
2020-09-11,942,7
2020-09-12,947,8
2020-09-13,953,8
2020-09-14,965,8
2020-09-15,970,8
2020-09-16,984,8
2020-09-17,990,7
2020-09-18,996,7
2020-09-19,997,7
2020-09-20,1007,7
2020-09-21,1012,7
2020-09-22,1012,7
2020-09-23,1019,7
2020-09-24,1026,7
2020-09-25,1047,7
2020-09-26,1061,7
2020-09-27,1075,7
2020-09-28,1078,7
2020-09-29,1077,7
2020-09-30,1085,7
2020-10-01,1091,7
2020-10-02,1093,7
2020-10-03,1113,8
2020-10-04,1120,8
2020-10-05,1135,8
2020-10-06,1140,8
2020-10-07,1162,9
2020-10-08,1180,9
2020-10-09,1184,9
2020-10-10,1185,9
2020-10-11,1199,9
2020-10-12,1230,9
2020-10-13,1230,9
2020-10-14,1252,9
2020-10-15,1282,9
2020-10-16,1283,9
2020-10-17,1293,9
2020-10-18,1326,9
2020-10-19,1339,9
2020-10-20,1351,10
2020-10-21,1368,10
2020-10-22,1387,10
2020-10-23,1415,10
2020-10-24,1425,10
2020-10-25,1439,10
2020-10-26,1449,10
2020-10-27,1461,10
2020-10-28,1490,11
2020-10-29,1507,11
2020-10-30,1520,11
2020-10-31,1538,11
2020-11-01,1542,11
2020-11-02,1567,11
2020-11-03,1571,11
2020-11-04,1599,11
2020-11-05,1603,11
2020-11-06,1638,11
2020-11-07,1692,11
2020-11-08,1699,11
2020-11-09,1776,11
2020-11-10,1802,11
2020-11-11,1838,12
2020-11-12,1858,14
2020-11-13,1919,14
2020-11-14,1978,14
