date,cases,deaths
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,3,0
2020-03-24,4,0
2020-03-25,6,0
2020-03-26,15,0
2020-03-27,17,0
2020-03-28,27,0
2020-03-29,38,0
2020-03-30,38,0
2020-03-31,47,0
2020-04-01,57,0
2020-04-02,59,2
2020-04-03,68,3
2020-04-04,74,5
2020-04-05,76,6
2020-04-06,90,5
2020-04-07,128,6
2020-04-08,145,6
2020-04-09,156,7
2020-04-10,167,10
2020-04-11,185,10
2020-04-12,204,10
2020-04-13,210,10
2020-04-14,228,12
2020-04-15,228,12
2020-04-16,252,13
2020-04-17,260,13
2020-04-18,272,16
2020-04-19,275,18
2020-04-20,278,18
2020-04-21,278,19
2020-04-22,285,19
2020-04-23,289,22
2020-04-24,297,26
2020-04-25,299,26
2020-04-26,304,26
2020-04-27,309,26
2020-04-28,313,27
2020-04-29,326,27
2020-04-30,338,28
2020-05-01,350,28
2020-05-02,358,28
2020-05-03,358,28
2020-05-04,383,28
2020-05-05,393,30
2020-05-06,416,30
2020-05-07,428,31
2020-05-08,458,31
2020-05-09,479,32
2020-05-10,540,32
2020-05-11,753,33
2020-05-12,809,33
2020-05-13,835,36
2020-05-14,874,36
2020-05-15,893,37
2020-05-16,893,37
2020-05-17,893,37
2020-05-18,957,40
2020-05-19,967,43
2020-05-20,992,46
2020-05-21,1012,46
2020-05-22,1041,47
2020-05-23,1041,47
2020-05-24,1041,47
2020-05-25,1041,47
2020-05-26,1096,53
2020-05-27,1124,53
2020-05-28,1137,53
2020-05-29,1157,55
2020-05-30,1157,55
2020-05-31,1157,55
2020-06-01,1186,58
2020-06-02,1202,58
2020-06-03,1202,58
2020-06-04,1202,58
2020-06-05,1211,58
2020-06-06,1211,58
2020-06-07,1211,58
2020-06-08,1216,59
2020-06-09,1217,59
2020-06-10,1220,60
2020-06-11,1223,61
2020-06-12,1223,61
2020-06-13,1224,61
