date,cases,deaths
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,2,0.0
2020-04-06,3,0.0
2020-04-07,4,0.0
2020-04-08,4,0.0
2020-04-09,5,0.0
2020-04-10,6,0.0
2020-04-11,6,0.0
2020-04-12,7,0.0
2020-04-13,9,0.0
2020-04-14,11,0.0
2020-04-15,12,0.0
2020-04-16,15,0.0
2020-04-17,18,0.0
2020-04-18,20,0.0
2020-04-19,21,0.0
2020-04-20,21,0.0
2020-04-21,21,0.0
2020-04-22,21,0.0
2020-04-23,21,0.0
2020-04-24,21,0.0
2020-04-25,21,0.0
2020-04-26,21,0.0
2020-04-27,22,0.0
2020-04-28,22,0.0
2020-04-29,23,0.0
2020-04-30,23,0.0
2020-05-01,26,0.0
2020-05-02,26,0.0
2020-05-03,26,0.0
2020-05-04,26,0.0
2020-05-05,26,0.0
2020-05-06,27,0.0
2020-05-07,27,0.0
2020-05-08,27,0.0
2020-05-09,27,0.0
2020-05-10,28,0.0
2020-05-11,28,1.0
2020-05-12,28,1.0
2020-05-13,28,1.0
2020-05-14,29,1.0
2020-05-15,29,0.0
2020-05-16,29,0.0
2020-05-17,29,0.0
2020-05-18,30,0.0
2020-05-19,30,0.0
2020-05-20,30,0.0
2020-05-21,30,0.0
2020-05-22,31,0.0
2020-05-23,31,0.0
2020-05-24,34,0.0
2020-05-25,35,0.0
2020-05-26,35,0.0
2020-05-27,34,0.0
2020-05-28,36,0.0
2020-05-29,36,0.0
2020-05-30,36,0.0
2020-05-31,37,1.0
2020-06-01,38,1.0
2020-06-02,38,1.0
2020-06-03,38,1.0
2020-06-04,38,1.0
2020-06-05,38,1.0
2020-06-06,40,1.0
2020-06-07,41,1.0
2020-06-08,45,1.0
2020-06-09,46,1.0
2020-06-10,45,1.0
2020-06-11,50,1.0
2020-06-12,50,1.0
2020-06-13,50,1.0
2020-06-14,50,1.0
2020-06-15,50,1.0
2020-06-16,50,1.0
2020-06-17,50,1.0
2020-06-18,50,1.0
2020-06-19,53,1.0
2020-06-20,54,1.0
2020-06-21,54,1.0
2020-06-22,55,1.0
2020-06-23,58,1.0
2020-06-24,58,1.0
2020-06-25,61,1.0
2020-06-26,61,1.0
2020-06-27,63,2.0
2020-06-28,65,2.0
2020-06-29,68,2.0
2020-06-30,71,2.0
2020-07-01,73,2.0
2020-07-02,74,2.0
2020-07-03,79,2.0
2020-07-04,81,2.0
2020-07-05,86,2.0
2020-07-06,87,2.0
2020-07-07,87,2.0
2020-07-08,88,2.0
2020-07-09,93,3.0
2020-07-10,92,3.0
2020-07-11,101,3.0
2020-07-12,106,3.0
2020-07-13,109,3.0
2020-07-14,120,3.0
2020-07-15,122,3.0
2020-07-16,133,3.0
2020-07-17,145,3.0
2020-07-18,151,3.0
2020-07-19,172,3.0
2020-07-20,175,4.0
2020-07-21,201,4.0
2020-07-22,202,4.0
2020-07-23,206,4.0
2020-07-24,231,4.0
2020-07-25,249,6.0
2020-07-26,263,6.0
2020-07-27,275,6.0
2020-07-28,289,6.0
2020-07-29,304,7.0
2020-07-30,309,8.0
2020-07-31,320,8.0
2020-08-01,345,7.0
2020-08-02,364,7.0
2020-08-03,392,7.0
2020-08-04,395,7.0
2020-08-05,401,7.0
2020-08-06,405,7.0
2020-08-07,412,7.0
2020-08-08,421,9.0
2020-08-09,432,9.0
2020-08-10,441,11.0
2020-08-11,444,12.0
2020-08-12,445,13.0
2020-08-13,457,13.0
2020-08-14,464,13.0
2020-08-15,468,13.0
2020-08-16,473,13.0
2020-08-17,480,15.0
2020-08-18,482,15.0
2020-08-19,481,15.0
2020-08-20,493,16.0
2020-08-21,500,17.0
2020-08-22,507,17.0
2020-08-23,508,17.0
2020-08-24,513,17.0
2020-08-25,519,18.0
2020-08-26,523,21.0
2020-08-27,523,21.0
2020-08-28,536,21.0
2020-08-29,540,21.0
2020-08-30,542,22.0
2020-08-31,544,22.0
2020-09-01,547,23.0
2020-09-02,545,23.0
2020-09-03,553,23.0
2020-09-04,554,25.0
2020-09-05,557,25.0
2020-09-06,560,25.0
2020-09-07,565,25.0
2020-09-08,567,25.0
2020-09-09,567,25.0
2020-09-10,570,25.0
2020-09-11,577,25.0
2020-09-12,578,25.0
2020-09-13,580,25.0
2020-09-14,583,25.0
2020-09-15,586,25.0
2020-09-16,589,25.0
2020-09-17,593,25.0
2020-09-18,598,25.0
2020-09-19,604,25.0
2020-09-20,606,25.0
2020-09-21,610,26.0
2020-09-22,627,26.0
2020-09-23,629,25.0
2020-09-24,632,25.0
2020-09-25,637,25.0
2020-09-26,644,25.0
2020-09-27,645,26.0
2020-09-28,654,26.0
2020-09-29,663,27.0
2020-09-30,665,27.0
2020-10-01,669,27.0
2020-10-02,681,27.0
2020-10-03,691,27.0
2020-10-04,694,27.0
2020-10-05,696,27.0
2020-10-06,701,27.0
2020-10-07,704,27.0
2020-10-08,709,27.0
2020-10-09,711,28.0
2020-10-10,717,28.0
2020-10-11,718,29.0
2020-10-12,719,29.0
2020-10-13,721,29.0
2020-10-14,730,29.0
2020-10-15,735,29.0
2020-10-16,738,29.0
2020-10-17,739,30.0
2020-10-18,740,30.0
2020-10-19,741,31.0
2020-10-20,742,31.0
2020-10-21,748,31.0
2020-10-22,749,31.0
2020-10-23,755,31.0
2020-10-24,756,31.0
2020-10-25,758,31.0
2020-10-26,760,31.0
2020-10-27,763,31.0
2020-10-28,765,31.0
2020-10-29,765,31.0
2020-10-30,767,31.0
2020-10-31,770,31.0
2020-11-01,772,31.0
2020-11-02,776,31.0
2020-11-03,776,31.0
2020-11-04,778,31.0
2020-11-05,780,31.0
2020-11-06,788,31.0
2020-11-07,793,31.0
2020-11-08,797,32.0
2020-11-09,798,32.0
2020-11-10,800,32.0
2020-11-11,804,32.0
2020-11-12,809,32.0
2020-11-13,810,32.0
2020-11-14,811,32.0
2020-11-15,819,32.0
2020-11-16,822,32.0
2020-11-17,822,32.0
2020-11-18,827,32.0
2020-11-19,833,32.0
2020-11-20,836,32.0
2020-11-21,844,32.0
2020-11-22,846,32.0
2020-11-23,846,32.0
2020-11-24,848,32.0
2020-11-25,849,33.0
2020-11-26,849,33.0
2020-11-27,853,33.0
2020-11-28,857,33.0
2020-11-29,857,33.0
2020-11-30,857,33.0
2020-12-01,859,34.0
2020-12-02,861,34.0
2020-12-03,863,35.0
2020-12-04,875,35.0
2020-12-05,883,35.0
2020-12-06,884,35.0
2020-12-07,889,35.0
2020-12-08,893,35.0
2020-12-09,904,35.0
2020-12-10,907,35.0
2020-12-11,923,35.0
2020-12-12,934,35.0
2020-12-13,941,35.0
2020-12-14,954,35.0
2020-12-15,963,35.0
2020-12-16,968,35.0
2020-12-17,977,35.0
2020-12-18,978,35.0
2020-12-19,994,35.0
2020-12-20,1000,35.0
2020-12-21,1010,35.0
2020-12-22,1016,35.0
2020-12-23,1020,35.0
2020-12-24,1026,35.0
2020-12-25,1026,35.0
2020-12-26,1042,36.0
2020-12-27,1053,36.0
2020-12-28,1055,36.0
2020-12-29,1062,36.0
2020-12-30,1074,36.0
2020-12-31,1099,36.0
2021-01-01,1099,36.0
2021-01-02,1108,36.0
2021-01-03,1136,36.0
