date,cases,deaths
2020-05-01,1,0
2020-05-02,1,0
2020-05-03,1,0
2020-05-04,1,0
2020-05-05,1,0
2020-05-06,1,0
2020-05-07,1,0
2020-05-08,1,0
2020-05-09,1,0
2020-05-10,1,0
2020-05-11,1,0
2020-05-12,1,0
2020-05-13,1,0
2020-05-14,1,0
2020-05-15,1,0
2020-05-16,1,0
2020-05-17,1,0
2020-05-18,1,0
2020-05-19,2,0
2020-05-20,2,0
2020-05-21,2,0
2020-05-22,2,0
2020-05-23,2,0
2020-05-24,2,0
2020-05-25,3,0
2020-05-26,2,0
2020-05-27,2,0
2020-05-28,2,0
2020-05-29,2,0
2020-05-30,2,0
2020-05-31,2,0
2020-06-01,2,0
2020-06-02,3,0
2020-06-03,5,0
2020-06-04,8,0
2020-06-05,11,0
2020-06-06,12,0
2020-06-07,14,0
2020-06-08,13,0
2020-06-09,14,0
2020-06-10,16,0
2020-06-11,17,0
2020-06-12,19,0
2020-06-13,20,0
2020-06-14,23,0
2020-06-15,24,0
2020-06-16,24,0
2020-06-17,25,0
2020-06-18,25,0
2020-06-19,25,0
2020-06-20,25,0
2020-06-21,25,0
2020-06-22,25,0
2020-06-23,26,0
2020-06-24,29,0
2020-06-25,30,0
2020-06-26,35,0
2020-06-27,39,0
2020-06-28,41,0
2020-06-29,44,1
2020-06-30,45,2
2020-07-01,47,2
2020-07-02,48,2
