date,cases,deaths
2020-05-05,9,0
2020-05-06,9,0
2020-05-07,9,0
2020-05-08,9,0
2020-05-09,9,0
2020-05-10,9,0
2020-05-11,9,0
2020-05-12,9,0
2020-05-13,9,0
2020-05-14,11,0
2020-05-15,13,0
2020-05-16,14,0
2020-05-17,14,0
2020-05-18,14,0
2020-05-19,15,0
2020-05-20,15,0
2020-05-21,15,0
2020-05-22,17,0
2020-05-23,18,0
2020-05-24,19,0
2020-05-25,19,0
2020-05-26,23,0
2020-05-27,24,0
2020-05-28,24,0
2020-05-29,24,0
2020-05-30,24,0
2020-05-31,24,0
2020-06-01,24,0
2020-06-02,24,0
2020-06-03,26,0
2020-06-04,27,0
2020-06-05,28,0
2020-06-06,31,0
2020-06-07,31,0
2020-06-08,31,0
2020-06-09,31,0
2020-06-10,32,0
2020-06-11,32,0
2020-06-12,32,0
2020-06-13,32,0
2020-06-14,32,0
2020-06-15,32,0
2020-06-16,32,0
2020-06-17,32,0
2020-06-18,32,0
2020-06-19,32,0
2020-06-20,32,0
2020-06-21,32,0
2020-06-22,32,0
2020-06-23,32,0
2020-06-24,32,0
2020-06-25,43,0
2020-06-26,43,0
2020-06-27,44,0
2020-06-28,46,0
2020-06-29,46,0
2020-06-30,47,0
2020-07-01,47,0
2020-07-02,47,0
2020-07-03,47,0
2020-07-04,48,0
2020-07-05,48,0
2020-07-06,54,0
2020-07-07,54,0
2020-07-08,55,0
2020-07-09,55,0
2020-07-10,55,0
2020-07-11,58,0
2020-07-12,64,0
2020-07-13,69,0
2020-07-14,69,0
2020-07-15,69,0
2020-07-16,71,0
2020-07-17,75,0
2020-07-18,76,0
2020-07-19,82,0
2020-07-20,84,0
2020-07-21,84,0
2020-07-22,84,0
2020-07-23,86,0
2020-07-24,89,0
2020-07-25,92,0
2020-07-26,94,0
2020-07-27,94,0
2020-07-28,95,0
2020-07-29,95,0
2020-07-30,97,0
2020-07-31,99,0
2020-08-01,102,0
2020-08-02,105,0
2020-08-03,110,0
2020-08-04,112,0
2020-08-05,112,0
2020-08-06,113,0
2020-08-07,114,0
2020-08-08,115,0
2020-08-09,117,0
2020-08-10,122,0
2020-08-11,122,0
2020-08-12,130,0
2020-08-13,131,0
2020-08-14,132,0
2020-08-15,137,0
2020-08-16,138,0
2020-08-17,141,0
2020-08-18,144,0
2020-08-19,144,0
2020-08-20,146,0
2020-08-21,150,0
2020-08-22,154,0
2020-08-23,156,0
2020-08-24,160,0
2020-08-25,160,0
2020-08-26,160,0
2020-08-27,164,0
2020-08-28,166,0
2020-08-29,167,0
2020-08-30,170,0
2020-08-31,173,0
2020-09-01,174,0
2020-09-02,174,0
2020-09-03,174,0
2020-09-04,173,0
2020-09-05,174,0
2020-09-06,174,0
2020-09-07,175,0
2020-09-08,175,0
2020-09-09,175,0
2020-09-10,175,0
2020-09-11,181,0
2020-09-12,191,0
2020-09-13,195,0
2020-09-14,197,0
2020-09-15,198,0
2020-09-16,198,0
2020-09-17,201,0
2020-09-18,204,0
2020-09-19,222,0
2020-09-20,230,0
2020-09-21,235,0
2020-09-22,236,0
2020-09-23,236,0
2020-09-24,244,0
2020-09-25,249,0
2020-09-26,249,0
2020-09-27,250,0
2020-09-28,252,0
2020-09-29,254,0
2020-09-30,254,0
2020-10-01,254,0
2020-10-02,257,0
2020-10-03,260,0
2020-10-04,261,0
2020-10-05,261,0
2020-10-06,261,0
2020-10-07,261,0
2020-10-08,262,0
2020-10-09,264,0
2020-10-10,264,0
2020-10-11,265,0
2020-10-12,266,0
2020-10-13,266,0
2020-10-14,266,0
