date,cases,deaths
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,3,0
2020-03-23,4,0
2020-03-24,6,0
2020-03-25,9,0
2020-03-26,13,0
2020-03-27,15,0
2020-03-28,19,0
2020-03-29,20,0
2020-03-30,24,0
2020-03-31,27,1
2020-04-01,29,1
2020-04-02,29,1
2020-04-03,40,3
2020-04-04,57,3
2020-04-05,57,4
2020-04-06,65,4
2020-04-07,85,4
2020-04-08,120,5
2020-04-09,139,6
2020-04-10,156,7
2020-04-11,185,7
2020-04-12,190,7
2020-04-13,222,7
2020-04-14,227,7
2020-04-15,236,7
2020-04-16,255,9
2020-04-17,292,10
2020-04-18,315,10
2020-04-19,339,10
2020-04-20,356,13
2020-04-21,369,13
2020-04-22,397,14
2020-04-23,419,17
2020-04-24,448,23
2020-04-25,473,28
2020-04-26,498,31
2020-04-27,516,34
2020-04-28,530,34
2020-04-29,540,35
2020-04-30,564,36
2020-05-01,603,42
2020-05-02,623,43
2020-05-03,623,43
2020-05-04,641,45
2020-05-05,681,45
2020-05-06,704,47
2020-05-07,742,49
2020-05-08,755,50
2020-05-09,775,54
2020-05-10,782,54
2020-05-11,784,56
2020-05-12,793,58
2020-05-13,804,60
2020-05-14,821,62
2020-05-15,844,63
2020-05-16,860,65
2020-05-17,873,66
2020-05-18,876,66
2020-05-19,880,66
2020-05-20,896,68
2020-05-21,903,73
2020-05-22,910,72
2020-05-23,970,72
2020-05-24,1046,74
2020-05-25,1043,78
2020-05-26,1075,78
2020-05-27,1053,79
2020-05-28,1067,83
2020-05-29,1068,85
2020-05-30,1076,89
2020-05-31,1078,89
2020-06-01,1091,89
2020-06-02,1094,90
2020-06-03,1100,92
2020-06-04,1104,94
2020-06-05,1108,95
2020-06-06,1112,95
2020-06-07,1119,95
2020-06-08,1120,96
2020-06-09,1122,96
2020-06-10,1130,97
2020-06-11,1147,98
2020-06-12,1150,98
2020-06-13,1198,100
2020-06-14,1236,101
2020-06-15,1240,102
2020-06-16,1276,102
2020-06-17,1285,101
2020-06-18,1288,101
2020-06-19,1203,101
2020-06-20,1209,101
2020-06-21,1217,101
2020-06-22,1214,101
2020-06-23,1221,102
2020-06-24,1221,102
2020-06-25,1219,102
2020-06-26,1223,102
2020-06-27,1241,102
2020-06-28,1244,102
2020-06-29,1255,102
2020-06-30,1268,102
2020-07-01,1268,102
2020-07-02,1273,102
2020-07-03,1277,102
2020-07-04,1277,102
2020-07-05,1277,102
2020-07-06,1296,102
2020-07-07,1304,102
2020-07-08,1308,102
2020-07-09,1319,102
2020-07-10,1322,102
2020-07-11,1322,102
2020-07-12,1322,102
2020-07-13,1328,101
2020-07-14,1334,102
2020-07-15,1339,102
2020-07-16,1345,102
2020-07-17,1347,102
2020-07-18,1347,102
2020-07-19,1347,102
2020-07-20,1356,102
2020-07-21,1357,102
2020-07-22,1364,102
2020-07-23,1352,102
2020-07-24,1362,102
2020-07-25,1362,102
2020-07-26,1362,102
2020-07-27,1373,102
2020-07-28,1382,103
2020-07-29,1387,103
2020-07-30,1396,103
2020-07-31,1402,103
2020-08-01,1402,103
2020-08-02,1402,103
2020-08-03,1414,103
2020-08-04,1421,103
2020-08-05,1428,103
2020-08-06,1431,103
2020-08-07,1433,103
2020-08-08,1433,103
2020-08-09,1433,103
2020-08-10,1457,103
2020-08-11,1467,103
2020-08-12,1469,104
2020-08-13,1475,104
2020-08-14,1477,104
2020-08-15,1477,104
2020-08-16,1477,104
2020-08-17,1499,105
2020-08-18,1497,105
2020-08-19,1499,106
2020-08-20,1503,106
2020-08-21,1505,105
2020-08-22,1505,105
2020-08-23,1505,105
2020-08-24,1517,105
2020-08-25,1520,106
2020-08-26,1526,106
2020-08-27,1526,106
2020-08-28,1554,106
2020-08-29,1554,106
2020-08-30,1554,106
2020-08-31,1577,107
2020-09-01,1587,107
