date,cases,deaths
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,2,0.0
2020-03-30,2,0.0
2020-03-31,2,0.0
2020-04-01,2,0.0
2020-04-02,3,0.0
2020-04-03,5,0.0
2020-04-04,5,1.0
2020-04-05,5,1.0
2020-04-06,5,1.0
2020-04-07,5,1.0
2020-04-08,5,1.0
2020-04-09,5,1.0
2020-04-10,5,1.0
2020-04-11,5,1.0
2020-04-12,5,1.0
2020-04-13,5,1.0
2020-04-14,5,1.0
2020-04-15,6,1.0
2020-04-16,7,1.0
2020-04-17,7,1.0
2020-04-18,8,1.0
2020-04-19,8,1.0
2020-04-20,8,1.0
2020-04-21,9,1.0
2020-04-22,10,1.0
2020-04-23,10,1.0
2020-04-24,10,1.0
2020-04-25,13,1.0
2020-04-26,13,1.0
2020-04-27,13,1.0
2020-04-28,13,1.0
2020-04-29,13,1.0
2020-04-30,13,1.0
2020-05-01,13,1.0
2020-05-02,13,1.0
2020-05-03,13,1.0
2020-05-04,13,1.0
2020-05-05,13,1.0
2020-05-06,13,1.0
2020-05-07,14,1.0
2020-05-08,14,1.0
2020-05-09,14,1.0
2020-05-10,14,1.0
2020-05-11,14,1.0
2020-05-12,14,1.0
2020-05-13,14,1.0
2020-05-14,14,1.0
2020-05-15,14,1.0
2020-05-16,14,1.0
2020-05-17,14,1.0
2020-05-18,14,1.0
2020-05-19,14,1.0
2020-05-20,15,1.0
2020-05-21,15,1.0
2020-05-22,15,1.0
2020-05-23,15,1.0
2020-05-24,14,1.0
2020-05-25,14,1.0
2020-05-26,14,1.0
2020-05-27,15,1.0
2020-05-28,14,1.0
2020-05-29,15,1.0
2020-05-30,16,1.0
2020-05-31,16,1.0
2020-06-01,18,1.0
2020-06-02,21,2.0
2020-06-03,21,2.0
2020-06-04,21,2.0
2020-06-05,26,2.0
2020-06-06,35,2.0
2020-06-07,37,2.0
2020-06-08,37,2.0
2020-06-09,42,2.0
2020-06-10,45,2.0
2020-06-11,48,3.0
2020-06-12,52,3.0
2020-06-13,54,3.0
2020-06-14,56,3.0
2020-06-15,59,3.0
2020-06-16,61,3.0
2020-06-17,65,3.0
2020-06-18,71,3.0
2020-06-19,75,3.0
2020-06-20,82,3.0
2020-06-21,87,3.0
2020-06-22,93,3.0
2020-06-23,103,3.0
2020-06-24,114,3.0
2020-06-25,118,3.0
2020-06-26,125,3.0
2020-06-27,129,3.0
2020-06-28,137,3.0
2020-06-29,151,3.0
2020-06-30,154,3.0
2020-07-01,156,3.0
2020-07-02,168,3.0
2020-07-03,207,3.0
2020-07-04,217,3.0
2020-07-05,229,3.0
2020-07-06,233,3.0
2020-07-07,242,3.0
2020-07-08,243,3.0
2020-07-09,251,3.0
2020-07-10,256,3.0
2020-07-11,267,3.0
2020-07-12,325,3.0
2020-07-13,346,3.0
2020-07-14,356,3.0
2020-07-15,410,3.0
2020-07-16,440,3.0
2020-07-17,462,3.0
2020-07-18,471,3.0
2020-07-19,473,3.0
2020-07-20,474,3.0
2020-07-21,497,3.0
2020-07-22,520,4.0
