date,cases,deaths
2020-05-08,1,0
2020-05-09,1,0
2020-05-10,1,0
2020-05-11,1,0
2020-05-12,1,0
2020-05-13,1,0
2020-05-14,1,0
2020-05-15,1,0
2020-05-16,1,0
2020-05-17,1,0
2020-05-18,1,0
2020-05-19,1,0
2020-05-20,1,0
2020-05-21,1,0
2020-05-22,1,0
2020-05-23,1,0
2020-05-24,1,0
2020-05-25,1,0
2020-05-26,1,0
2020-05-27,1,0
2020-05-28,1,0
2020-05-29,1,0
2020-05-30,1,0
2020-05-31,1,0
2020-06-01,1,0
2020-06-02,1,0
2020-06-03,1,0
2020-06-04,1,0
2020-06-05,1,0
2020-06-06,1,0
2020-06-07,1,0
2020-06-08,1,0
2020-06-09,1,0
2020-06-10,1,0
2020-06-11,1,0
2020-06-12,1,0
2020-06-13,1,0
2020-06-14,1,0
2020-06-15,1,0
2020-06-16,1,0
2020-06-17,1,0
2020-06-18,1,0
2020-06-19,1,0
2020-06-20,1,0
2020-06-21,1,0
2020-06-22,1,0
2020-06-23,1,0
2020-06-24,1,0
2020-06-25,1,0
2020-06-26,1,0
2020-06-27,1,0
2020-06-28,1,0
2020-06-29,1,0
2020-06-30,1,0
2020-07-01,1,0
2020-07-02,1,0
2020-07-03,1,0
2020-07-04,1,0
2020-07-05,1,0
2020-07-06,1,0
2020-07-07,1,0
2020-07-08,1,0
2020-07-09,1,0
2020-07-10,1,0
2020-07-11,1,0
2020-07-12,1,0
2020-07-13,1,0
2020-07-14,1,0
2020-07-15,2,0
2020-07-16,3,0
2020-07-17,2,0
2020-07-18,2,0
2020-07-19,2,0
2020-07-20,2,0
2020-07-21,2,0
2020-07-22,2,0
2020-07-23,3,0
2020-07-24,3,0
2020-07-25,6,0
2020-07-26,6,0
2020-07-27,7,0
2020-07-28,7,0
2020-07-29,7,0
2020-07-30,7,0
2020-07-31,7,0
2020-08-01,7,0
2020-08-02,8,0
2020-08-03,8,0
2020-08-04,8,0
2020-08-05,8,0
2020-08-06,8,0
2020-08-07,8,0
2020-08-08,9,0
2020-08-09,9,0
2020-08-10,9,0
2020-08-11,11,0
2020-08-12,11,0
2020-08-13,11,0
2020-08-14,11,0
2020-08-15,11,0
2020-08-16,11,0
2020-08-17,11,0
2020-08-18,11,0
2020-08-19,11,0
2020-08-20,11,0
2020-08-21,11,0
2020-08-22,11,0
2020-08-23,11,0
2020-08-24,11,0
2020-08-25,11,0
2020-08-26,14,1
2020-08-27,14,1
2020-08-28,14,1
2020-08-29,18,1
2020-08-30,19,1
2020-08-31,19,1
2020-09-01,19,1
2020-09-02,19,1
2020-09-03,20,1
2020-09-04,22,1
2020-09-05,23,1
2020-09-06,23,1
2020-09-07,23,1
2020-09-08,23,1
2020-09-09,23,1
2020-09-10,23,1
2020-09-11,23,1
2020-09-12,23,1
2020-09-13,23,1
2020-09-14,23,1
2020-09-15,24,1
2020-09-16,24,1
2020-09-17,25,1
2020-09-18,25,1
2020-09-19,26,1
2020-09-20,26,1
2020-09-21,26,1
2020-09-22,26,1
2020-09-23,26,1
2020-09-24,26,1
2020-09-25,27,1
