date,cases,deaths
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,3,0
2020-04-24,3,0
2020-04-25,3,0
2020-04-26,3,0
2020-04-27,4,0
2020-04-28,4,0
2020-04-29,4,0
2020-04-30,4,0
2020-05-01,4,0
2020-05-02,4,0
2020-05-03,4,0
2020-05-04,4,0
2020-05-05,4,0
2020-05-06,4,0
2020-05-07,4,0
2020-05-08,4,0
2020-05-09,4,0
2020-05-10,4,0
2020-05-11,4,0
2020-05-12,4,0
2020-05-13,4,0
2020-05-14,4,0
2020-05-15,4,0
2020-05-16,4,0
2020-05-17,5,0
2020-05-18,5,0
2020-05-19,5,0
2020-05-20,5,0
2020-05-21,5,0
2020-05-22,5,1
2020-05-23,5,1
2020-05-24,5,1
2020-05-25,5,1
2020-05-26,5,1
2020-05-27,6,1
2020-05-28,6,1
2020-05-29,8,1
2020-05-30,8,1
2020-05-31,9,1
2020-06-01,9,1
2020-06-02,9,1
2020-06-03,9,1
2020-06-04,9,1
2020-06-05,9,1
2020-06-06,8,1
2020-06-07,8,1
2020-06-08,8,1
2020-06-09,8,1
2020-06-10,8,1
2020-06-11,8,1
2020-06-12,8,1
2020-06-13,8,1
2020-06-14,8,1
2020-06-15,8,1
2020-06-16,8,1
2020-06-17,8,1
2020-06-18,14,1
2020-06-19,15,1
2020-06-20,15,1
2020-06-21,15,1
2020-06-22,15,1
2020-06-23,15,2
2020-06-24,15,2
2020-06-25,15,2
2020-06-26,15,2
2020-06-27,16,2
2020-06-28,17,2
2020-06-29,17,2
2020-06-30,19,2
2020-07-01,19,2
2020-07-02,20,2
2020-07-03,20,2
2020-07-04,20,2
2020-07-05,20,2
2020-07-06,20,2
2020-07-07,20,2
2020-07-08,20,2
2020-07-09,20,2
2020-07-10,20,2
2020-07-11,22,2
2020-07-12,24,2
2020-07-13,22,2
2020-07-14,23,2
2020-07-15,24,2
2020-07-16,24,2
2020-07-17,25,2
2020-07-18,25,2
2020-07-19,25,2
2020-07-20,25,2
2020-07-21,25,2
2020-07-22,25,2
2020-07-23,25,2
2020-07-24,25,2
2020-07-25,25,2
2020-07-26,25,2
2020-07-27,25,2
2020-07-28,25,2
2020-07-29,25,2
2020-07-30,26,2
2020-07-31,26,2
2020-08-01,26,2
2020-08-02,27,2
2020-08-03,27,2
2020-08-04,27,2
2020-08-05,28,2
2020-08-06,28,2
2020-08-07,29,2
2020-08-08,29,2
2020-08-09,29,2
2020-08-10,29,2
2020-08-11,28,2
2020-08-12,28,2
2020-08-13,28,2
2020-08-14,28,2
2020-08-15,28,2
2020-08-16,28,2
2020-08-17,28,2
2020-08-18,28,2
2020-08-19,28,2
2020-08-20,30,2
2020-08-21,32,2
2020-08-22,32,2
2020-08-23,32,2
2020-08-24,32,2
2020-08-25,32,2
2020-08-26,32,2
2020-08-27,32,2
2020-08-28,32,2
2020-08-29,32,2
2020-08-30,32,2
2020-08-31,32,2
2020-09-01,32,2
2020-09-02,33,2
2020-09-03,34,2
2020-09-04,36,2
2020-09-05,36,2
2020-09-06,36,2
2020-09-07,36,2
2020-09-08,36,2
2020-09-09,36,2
2020-09-10,36,2
2020-09-11,37,2
2020-09-12,37,2
2020-09-13,37,2
2020-09-14,37,2
2020-09-15,38,2
2020-09-16,38,2
2020-09-17,38,2
2020-09-18,38,2
2020-09-19,38,2
2020-09-20,38,2
2020-09-21,38,2
2020-09-22,38,2
2020-09-23,38,2
2020-09-24,38,2
