date,cases,deaths
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,2,0.0
2020-04-05,2,0.0
2020-04-06,3,0.0
2020-04-07,3,0.0
2020-04-08,3,0.0
2020-04-09,5,1.0
2020-04-10,6,1.0
2020-04-11,7,1.0
2020-04-12,7,1.0
2020-04-13,7,1.0
2020-04-14,7,1.0
2020-04-15,7,1.0
2020-04-16,7,1.0
2020-04-17,7,1.0
2020-04-18,7,1.0
2020-04-19,7,1.0
2020-04-20,7,1.0
2020-04-21,10,1.0
2020-04-22,10,1.0
2020-04-23,10,1.0
2020-04-24,10,1.0
2020-04-25,10,1.0
2020-04-26,12,1.0
2020-04-27,12,1.0
2020-04-28,12,1.0
2020-04-29,12,1.0
2020-04-30,16,1.0
2020-05-01,16,1.0
2020-05-02,18,1.0
2020-05-03,18,1.0
2020-05-04,18,1.0
2020-05-05,18,1.0
2020-05-06,18,1.0
2020-05-07,18,1.0
2020-05-08,19,1.0
2020-05-09,19,1.0
2020-05-10,19,1.0
2020-05-11,19,1.0
2020-05-12,28,2.0
2020-05-13,32,2.0
2020-05-14,33,2.0
2020-05-15,33,2.0
2020-05-16,33,2.0
2020-05-17,33,2.0
2020-05-18,33,2.0
2020-05-19,33,2.0
2020-05-20,34,2.0
2020-05-21,34,2.0
2020-05-22,34,2.0
2020-05-23,34,2.0
2020-05-24,34,2.0
2020-05-25,34,2.0
2020-05-26,34,2.0
2020-05-27,34,2.0
2020-05-28,34,2.0
2020-05-29,34,2.0
2020-05-30,34,2.0
2020-05-31,34,2.0
2020-06-01,34,2.0
2020-06-02,34,2.0
2020-06-03,34,2.0
2020-06-04,34,2.0
2020-06-05,34,2.0
2020-06-06,34,2.0
2020-06-07,34,2.0
2020-06-08,34,2.0
2020-06-09,34,2.0
2020-06-10,34,2.0
2020-06-11,34,2.0
2020-06-12,34,2.0
2020-06-13,34,2.0
2020-06-14,34,2.0
2020-06-15,34,2.0
2020-06-16,34,2.0
2020-06-17,34,2.0
2020-06-18,34,2.0
2020-06-19,34,2.0
2020-06-20,35,2.0
2020-06-21,36,2.0
2020-06-22,36,2.0
2020-06-23,39,2.0
2020-06-24,41,2.0
2020-06-25,43,2.0
2020-06-26,43,2.0
2020-06-27,43,2.0
2020-06-28,51,2.0
2020-06-29,51,2.0
2020-06-30,51,2.0
2020-07-01,52,2.0
2020-07-02,52,2.0
2020-07-03,60,2.0
2020-07-04,60,2.0
2020-07-05,61,2.0
2020-07-06,61,2.0
2020-07-07,69,2.0
2020-07-08,69,2.0
2020-07-09,70,2.0
2020-07-10,70,2.0
2020-07-11,70,2.0
2020-07-12,71,2.0
2020-07-13,71,2.0
2020-07-14,80,2.0
2020-07-15,88,2.0
2020-07-16,91,2.0
2020-07-17,91,2.0
2020-07-18,92,2.0
2020-07-19,92,2.0
2020-07-20,93,2.0
2020-07-21,95,2.0
2020-07-22,95,2.0
2020-07-23,97,2.0
2020-07-24,110,2.0
2020-07-25,254,2.0
2020-07-26,265,4.0
2020-07-27,268,5.0
2020-07-28,268,6.0
2020-07-29,281,6.0
2020-07-30,286,5.0
2020-07-31,286,5.0
2020-08-01,291,5.0
2020-08-02,291,5.0
2020-08-03,291,5.0
2020-08-04,301,5.0
2020-08-05,302,5.0
2020-08-06,304,5.0
2020-08-07,304,9.0
2020-08-08,304,11.0
2020-08-09,304,11.0
2020-08-10,304,11.0
2020-08-11,332,11.0
2020-08-12,332,12.0
2020-08-13,332,12.0
2020-08-14,332,13.0
2020-08-15,359,15.0
2020-08-16,359,15.0
2020-08-17,362,15.0
2020-08-18,362,15.0
2020-08-19,370,15.0
2020-08-20,377,16.0
2020-08-21,390,16.0
2020-08-22,393,16.0
2020-08-23,393,17.0
2020-08-24,393,17.0
2020-08-25,393,17.0
2020-08-26,393,18.0
2020-08-27,393,18.0
2020-08-28,393,18.0
2020-08-29,393,18.0
2020-08-30,393,18.0
2020-08-31,393,18.0
2020-09-01,406,18.0
2020-09-02,406,19.0
2020-09-03,410,19.0
2020-09-04,411,19.0
2020-09-05,411,19.0
2020-09-06,411,19.0
2020-09-07,411,20.0
2020-09-08,411,21.0
2020-09-09,411,21.0
2020-09-10,411,21.0
2020-09-11,411,21.0
2020-09-12,411,21.0
2020-09-13,411,21.0
2020-09-14,411,21.0
2020-09-15,431,24.0
2020-09-16,446,24.0
2020-09-17,446,25.0
2020-09-18,457,25.0
2020-09-19,459,25.0
2020-09-20,459,25.0
2020-09-21,459,25.0
2020-09-22,459,25.0
2020-09-23,470,25.0
2020-09-24,470,25.0
2020-09-25,470,25.0
2020-09-26,473,25.0
2020-09-27,473,25.0
2020-09-28,473,26.0
2020-09-29,480,26.0
2020-09-30,480,26.0
2020-10-01,483,29.0
2020-10-02,483,30.0
2020-10-03,483,30.0
2020-10-04,483,30.0
2020-10-05,489,30.0
2020-10-06,495,30.0
2020-10-07,496,30.0
2020-10-08,496,30.0
2020-10-09,500,30.0
2020-10-10,500,31.0
2020-10-11,500,31.0
2020-10-12,500,31.0
2020-10-13,500,31.0
2020-10-14,505,33.0
2020-10-15,507,33.0
2020-10-16,507,34.0
2020-10-17,507,34.0
2020-10-18,507,34.0
2020-10-19,507,34.0
2020-10-20,509,34.0
2020-10-21,511,34.0
2020-10-22,511,34.0
2020-10-23,512,34.0
2020-10-24,512,34.0
2020-10-25,512,34.0
2020-10-26,515,34.0
2020-10-27,515,34.0
2020-10-28,515,34.0
2020-10-29,515,34.0
2020-10-30,519,34.0
2020-10-31,520,34.0
2020-11-01,520,34.0
2020-11-02,520,34.0
2020-11-03,522,34.0
2020-11-04,523,34.0
2020-11-05,524,34.0
2020-11-06,524,34.0
2020-11-07,524,34.0
2020-11-08,524,34.0
2020-11-09,524,34.0
2020-11-10,525,34.0
2020-11-11,525,34.0
2020-11-12,525,34.0
2020-11-13,529,34.0
2020-11-14,529,34.0
2020-11-15,530,34.0
2020-11-16,530,34.0
2020-11-17,530,34.0
2020-11-18,535,34.0
2020-11-19,536,34.0
2020-11-20,537,34.0
2020-11-21,541,34.0
2020-11-22,541,35.0
2020-11-23,541,35.0
2020-11-24,546,35.0
2020-11-25,546,35.0
2020-11-26,547,36.0
2020-11-27,547,36.0
2020-11-28,547,36.0
2020-11-29,547,36.0
2020-11-30,547,36.0
2020-12-01,558,36.0
2020-12-02,559,36.0
2020-12-03,559,36.0
2020-12-04,559,37.0
2020-12-05,559,37.0
2020-12-06,559,37.0
2020-12-07,559,37.0
2020-12-08,568,37.0
2020-12-09,568,38.0
2020-12-10,569,39.0
2020-12-11,1092,39.0
2020-12-12,1157,39.0
2020-12-13,1157,39.0
2020-12-14,1157,39.0
2020-12-15,1157,40.0
2020-12-16,1227,40.0
2020-12-17,1250,40.0
2020-12-18,1284,40.0
2020-12-19,1291,40.0
2020-12-20,1291,40.0
2020-12-21,1291,40.0
2020-12-22,1334,40.0
2020-12-23,1377,40.0
2020-12-24,1377,40.0
2020-12-25,1377,40.0
2020-12-26,1377,41.0
2020-12-27,1377,41.0
2020-12-28,1377,41.0
2020-12-29,1468,41.0
2020-12-30,1502,41.0
2020-12-31,1502,44.0
2021-01-01,1502,44.0
2021-01-02,1502,44.0
2021-01-03,1502,44.0
2021-01-04,1502,44.0
2021-01-05,1672,44.0
2021-01-06,1672,46.0
2021-01-07,1700,47.0
2021-01-08,2481,47.0
2021-01-09,2481,47.0
2021-01-10,2481,47.0
2021-01-11,2481,47.0
2021-01-12,2569,47.0
2021-01-13,2609,48.0
2021-01-14,2663,48.0
2021-01-15,2683,48.0
2021-01-16,2704,48.0
2021-01-17,1933,48.0
2021-01-18,1933,48.0
2021-01-19,1965,48.0
2021-01-20,1971,48.0
2021-01-21,2010,48.0
