date,cases,deaths
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,2,0.0
2020-04-06,2,0.0
2020-04-07,2,0.0
2020-04-08,3,0.0
2020-04-09,3,0.0
2020-04-10,4,0.0
2020-04-11,5,0.0
2020-04-12,5,0.0
2020-04-13,5,0.0
2020-04-14,6,0.0
2020-04-15,6,0.0
2020-04-16,6,0.0
2020-04-17,6,0.0
2020-04-18,6,0.0
2020-04-19,6,0.0
2020-04-20,6,0.0
2020-04-21,6,0.0
2020-04-22,6,0.0
2020-04-23,6,0.0
2020-04-24,6,0.0
2020-04-25,6,0.0
2020-04-26,6,0.0
2020-04-27,6,0.0
2020-04-28,6,0.0
2020-04-29,6,0.0
2020-04-30,6,0.0
2020-05-01,6,0.0
2020-05-02,6,0.0
2020-05-03,6,0.0
2020-05-04,6,0.0
2020-05-05,6,0.0
2020-05-06,6,0.0
2020-05-07,6,0.0
2020-05-08,6,0.0
2020-05-09,7,0.0
2020-05-10,7,0.0
2020-05-11,7,0.0
2020-05-12,7,0.0
2020-05-13,7,0.0
2020-05-14,8,0.0
2020-05-15,8,0.0
2020-05-16,8,0.0
2020-05-17,8,0.0
2020-05-18,8,0.0
2020-05-19,8,0.0
2020-05-20,8,0.0
2020-05-21,8,0.0
2020-05-22,8,0.0
2020-05-23,8,0.0
2020-05-24,8,0.0
2020-05-25,8,0.0
2020-05-26,8,0.0
2020-05-27,8,0.0
2020-05-28,9,0.0
2020-05-29,9,0.0
2020-05-30,9,0.0
2020-05-31,9,0.0
2020-06-01,9,0.0
2020-06-02,9,0.0
2020-06-03,10,0.0
2020-06-04,10,0.0
2020-06-05,12,0.0
2020-06-06,12,0.0
2020-06-07,12,0.0
2020-06-08,13,0.0
2020-06-09,13,0.0
2020-06-10,15,0.0
2020-06-11,15,0.0
2020-06-12,16,0.0
2020-06-13,16,0.0
2020-06-14,16,0.0
2020-06-15,16,0.0
2020-06-16,16,0.0
2020-06-17,17,0.0
2020-06-18,18,0.0
2020-06-19,18,0.0
2020-06-20,24,0.0
2020-06-21,24,0.0
2020-06-22,24,0.0
2020-06-23,25,0.0
2020-06-24,28,0.0
2020-06-25,28,0.0
2020-06-26,28,0.0
2020-06-27,29,0.0
2020-06-28,29,0.0
2020-06-29,30,0.0
2020-06-30,31,0.0
2020-07-01,31,0.0
2020-07-02,31,0.0
2020-07-03,33,0.0
2020-07-04,33,0.0
2020-07-05,33,0.0
2020-07-06,36,0.0
2020-07-07,39,1.0
2020-07-08,39,1.0
2020-07-09,39,1.0
2020-07-10,39,1.0
2020-07-11,39,1.0
2020-07-12,39,1.0
2020-07-13,39,1.0
2020-07-14,40,1.0
2020-07-15,40,1.0
2020-07-16,40,1.0
2020-07-17,40,1.0
2020-07-18,42,1.0
2020-07-19,43,1.0
2020-07-20,44,1.0
2020-07-21,44,1.0
2020-07-22,45,1.0
2020-07-23,45,1.0
2020-07-24,46,1.0
