date,cases,deaths
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,6,0
2020-04-10,10,0
2020-04-11,10,0
2020-04-12,10,0
2020-04-13,10,0
2020-04-14,10,0
2020-04-15,11,0
2020-04-16,12,0
2020-04-17,12,0
2020-04-18,13,0
2020-04-19,13,0
2020-04-20,13,0
2020-04-21,15,0
2020-04-22,19,0
2020-04-23,22,0
2020-04-24,22,0
2020-04-25,22,0
2020-04-26,24,0
2020-04-27,24,0
2020-04-28,24,0
2020-04-29,24,0
2020-04-30,25,0
2020-05-01,25,0
2020-05-02,28,0
2020-05-03,28,0
2020-05-04,28,0
2020-05-05,32,0
2020-05-06,33,0
2020-05-07,34,0
2020-05-08,36,0
2020-05-09,36,0
2020-05-10,41,0
2020-05-11,41,0
2020-05-12,46,0
2020-05-13,47,0
2020-05-14,47,0
2020-05-15,48,0
2020-05-16,48,0
2020-05-17,48,0
2020-05-18,48,0
2020-05-19,49,0
2020-05-20,49,0
2020-05-21,51,0
2020-05-22,51,0
2020-05-23,55,0
2020-05-24,55,0
2020-05-25,55,0
2020-05-26,55,0
2020-05-27,56,0
2020-05-28,57,0
2020-05-29,57,2
2020-05-30,57,2
2020-05-31,57,2
2020-06-01,57,2
2020-06-02,59,2
2020-06-03,63,3
2020-06-04,65,3
2020-06-05,65,3
2020-06-06,68,3
2020-06-07,68,3
2020-06-08,68,3
2020-06-09,71,3
2020-06-10,71,3
2020-06-11,74,3
2020-06-12,74,3
2020-06-13,80,3
2020-06-14,80,3
2020-06-15,80,3
2020-06-16,82,3
2020-06-17,85,3
2020-06-18,90,3
2020-06-19,94,3
2020-06-20,97,3
2020-06-21,97,3
2020-06-22,97,3
2020-06-23,102,3
2020-06-24,104,4
2020-06-25,109,4
2020-06-26,116,4
2020-06-27,116,4
2020-06-28,117,4
2020-06-29,117,4
2020-06-30,128,4
2020-07-01,137,4
2020-07-02,143,4
2020-07-03,159,4
2020-07-04,159,4
2020-07-05,168,4
2020-07-06,168,4
2020-07-07,196,4
2020-07-08,215,4
2020-07-09,225,4
2020-07-10,230,4
2020-07-11,256,4
2020-07-12,256,4
2020-07-13,256,4
2020-07-14,319,5
2020-07-15,335,5
2020-07-16,341,5
2020-07-17,366,5
2020-07-18,380,5
2020-07-19,380,5
2020-07-20,380,5
2020-07-21,430,5
2020-07-22,444,5
2020-07-23,466,5
2020-07-24,490,7
2020-07-25,500,7
2020-07-26,500,7
2020-07-27,500,8
2020-07-28,518,8
2020-07-29,526,8
2020-07-30,542,8
2020-07-31,570,9
2020-08-01,577,9
2020-08-02,577,9
2020-08-03,577,9
2020-08-04,604,11
2020-08-05,609,11
2020-08-06,621,11
2020-08-07,633,12
2020-08-08,641,12
2020-08-09,641,12
2020-08-10,641,12
2020-08-11,641,12
2020-08-12,657,12
2020-08-13,664,12
2020-08-14,677,12
2020-08-15,697,12
2020-08-16,697,12
2020-08-17,697,12
2020-08-18,712,13
2020-08-19,726,13
2020-08-20,741,13
2020-08-21,745,14
2020-08-22,755,15
2020-08-23,755,15
2020-08-24,755,15
2020-08-25,765,16
2020-08-26,771,16
2020-08-27,786,16
2020-08-28,794,16
2020-08-29,815,16
2020-08-30,815,16
2020-08-31,815,16
2020-09-01,825,16
2020-09-02,830,16
2020-09-03,834,17
2020-09-04,842,18
2020-09-05,850,19
2020-09-06,850,19
2020-09-07,850,19
2020-09-08,850,19
2020-09-09,867,19
2020-09-10,867,19
2020-09-11,885,20
2020-09-12,892,20
2020-09-13,892,20
2020-09-14,892,20
2020-09-15,897,22
2020-09-16,905,22
2020-09-17,907,22
2020-09-18,913,23
2020-09-19,923,23
2020-09-20,923,23
2020-09-21,923,23
2020-09-22,932,23
2020-09-23,946,23
2020-09-24,947,23
2020-09-25,947,23
2020-09-26,963,23
2020-09-27,963,23
2020-09-28,963,23
2020-09-29,973,23
2020-09-30,984,23
2020-10-01,998,23
2020-10-02,1006,23
2020-10-03,1006,23
2020-10-04,1006,23
2020-10-05,1022,23
2020-10-06,1038,23
2020-10-07,1041,24
2020-10-08,1055,25
2020-10-09,1078,25
2020-10-10,1078,25
2020-10-11,1078,25
2020-10-12,1088,25
2020-10-13,1095,25
2020-10-14,1109,26
2020-10-15,1127,28
2020-10-16,1155,28
2020-10-17,1163,28
2020-10-18,1163,28
2020-10-19,1478,28
2020-10-20,1517,28
2020-10-21,1535,30
2020-10-22,1540,30
2020-10-23,1565,31
2020-10-24,1565,34
2020-10-25,1565,35
2020-10-26,1598,35
2020-10-27,1649,35
2020-10-28,1668,35
