date,cases,deaths
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,2,0
2020-04-24,2,0
2020-04-25,2,0
2020-04-26,3,0
2020-04-27,3,0
2020-04-28,3,0
2020-04-29,3,0
2020-04-30,3,0
2020-05-01,3,0
2020-05-02,3,0
2020-05-03,3,0
2020-05-04,3,0
2020-05-05,3,0
2020-05-06,3,0
2020-05-07,3,0
2020-05-08,3,0
2020-05-09,3,0
2020-05-10,3,0
2020-05-11,3,0
2020-05-12,3,0
2020-05-13,4,0
2020-05-14,4,0
2020-05-15,4,0
2020-05-16,5,0
2020-05-17,8,0
2020-05-18,8,0
2020-05-19,14,0
2020-05-20,15,0
2020-05-21,20,0
2020-05-22,23,0
2020-05-23,23,0
2020-05-24,23,0
2020-05-25,37,0
2020-05-26,40,0
2020-05-27,43,0
2020-05-28,44,0
2020-05-29,45,0
2020-05-30,45,0
2020-05-31,45,0
2020-06-01,46,0
2020-06-02,47,0
2020-06-03,47,0
2020-06-04,47,0
2020-06-05,47,0
2020-06-06,47,0
2020-06-07,47,0
2020-06-08,47,0
2020-06-09,47,0
2020-06-10,47,0
2020-06-11,47,0
2020-06-12,47,0
2020-06-13,47,0
2020-06-14,47,0
2020-06-15,47,0
2020-06-16,48,0
2020-06-17,48,0
2020-06-18,48,0
2020-06-19,48,0
2020-06-20,48,0
2020-06-21,48,0
2020-06-22,48,0
2020-06-23,49,0
2020-06-24,49,0
2020-06-25,49,0
2020-06-26,49,0
2020-06-27,50,0
2020-06-28,50,0
2020-06-29,50,0
2020-06-30,51,0
2020-07-01,51,0
2020-07-02,51,0
2020-07-03,55,0
2020-07-04,58,0
2020-07-05,58,0
2020-07-06,58,0
2020-07-07,58,0
2020-07-08,58,0
2020-07-09,58,0
2020-07-10,60,0
2020-07-11,60,0
2020-07-12,60,0
2020-07-13,61,0
2020-07-14,61,0
2020-07-15,61,0
2020-07-16,62,0
2020-07-17,62,0
2020-07-18,66,0
2020-07-19,66,0
2020-07-20,66,0
2020-07-21,68,0
2020-07-22,79,0
2020-07-23,84,0
2020-07-24,87,0
2020-07-25,87,0
2020-07-26,87,0
2020-07-27,88,0
2020-07-28,88,0
2020-07-29,88,0
2020-07-30,88,0
2020-07-31,88,0
2020-08-01,88,0
2020-08-02,88,0
2020-08-03,90,0
2020-08-04,90,0
2020-08-05,90,0
2020-08-06,96,0
2020-08-07,99,0
2020-08-08,99,0
2020-08-09,99,0
2020-08-10,100,0
2020-08-11,104,0
2020-08-12,104,0
2020-08-13,105,0
2020-08-14,106,0
2020-08-15,106,0
2020-08-16,106,0
