date,cases,deaths
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,2,0
2020-04-28,2,0
2020-04-29,2,0
2020-04-30,2,0
2020-05-01,3,0
2020-05-02,3,0
2020-05-03,3,0
2020-05-04,5,0
2020-05-05,5,0
2020-05-06,5,0
2020-05-07,5,0
2020-05-08,6,0
2020-05-09,7,0
2020-05-10,8,0
2020-05-11,8,0
2020-05-12,8,0
2020-05-13,10,0
2020-05-14,10,0
2020-05-15,10,0
2020-05-16,10,0
2020-05-17,11,0
2020-05-18,11,0
2020-05-19,11,0
2020-05-20,11,0
2020-05-21,12,0
2020-05-22,13,0
2020-05-23,14,0
2020-05-24,14,0
2020-05-25,15,0
2020-05-26,15,0
2020-05-27,16,0
2020-05-28,16,0
2020-05-29,18,0
2020-05-30,19,0
2020-05-31,20,0
2020-06-01,20,0
2020-06-02,20,0
2020-06-03,22,0
2020-06-04,22,0
2020-06-05,22,0
2020-06-06,22,0
2020-06-07,22,0
2020-06-08,23,0
2020-06-09,23,0
2020-06-10,23,0
2020-06-11,23,0
2020-06-12,24,0
2020-06-13,24,0
2020-06-14,24,0
2020-06-15,24,0
2020-06-16,24,0
2020-06-17,24,0
2020-06-18,24,0
2020-06-19,24,0
2020-06-20,24,0
2020-06-21,24,0
2020-06-22,24,0
2020-06-23,25,0
2020-06-24,26,0
2020-06-25,26,0
2020-06-26,29,0
2020-06-27,30,0
2020-06-28,32,0
2020-06-29,32,0
2020-06-30,32,0
2020-07-01,33,0
2020-07-02,34,0
