date,cases,deaths
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,1,0
2020-03-10,1,0
2020-03-11,1,0
2020-03-12,4,0
2020-03-13,4,0
2020-03-14,5,0
2020-03-15,6,0
2020-03-16,8,0
2020-03-17,10,0
2020-03-18,11,0
2020-03-19,16,0
2020-03-20,24,0
2020-03-21,25,1
2020-03-22,28,1
2020-03-23,32,1
2020-03-24,36,1
2020-03-25,46,1
2020-03-26,59,1
2020-03-27,66,1
2020-03-28,80,2
2020-03-29,108,2
2020-03-30,116,2
2020-03-31,134,3
2020-04-01,143,3
2020-04-02,161,4
2020-04-03,172,7
2020-04-04,185,7
2020-04-05,192,8
2020-04-06,213,9
2020-04-07,219,10
2020-04-08,244,11
2020-04-09,252,12
2020-04-10,263,12
2020-04-11,283,13
2020-04-12,300,14
2020-04-13,309,15
2020-04-14,323,16
2020-04-15,334,19
2020-04-16,343,22
2020-04-17,358,23
2020-04-18,369,25
2020-04-19,372,30
2020-04-20,377,30
2020-04-21,384,35
2020-04-22,396,36
2020-04-23,403,36
2020-04-24,417,37
2020-04-25,424,38
2020-04-26,430,38
2020-04-27,440,39
2020-04-28,446,40
2020-04-29,454,40
2020-04-30,464,40
2020-05-01,471,40
2020-05-02,486,41
2020-05-03,498,42
2020-05-04,504,45
2020-05-05,513,45
2020-05-06,521,45
2020-05-07,560,45
2020-05-08,583,47
2020-05-09,590,51
2020-05-10,598,51
2020-05-11,611,52
2020-05-12,611,54
2020-05-13,618,54
2020-05-14,619,54
2020-05-15,648,55
2020-05-16,648,56
2020-05-17,648,56
2020-05-18,666,56
2020-05-19,666,57
2020-05-20,696,58
2020-05-21,696,59
2020-05-22,711,60
2020-05-23,711,60
2020-05-24,711,60
2020-05-25,765,61
2020-05-26,765,61
2020-05-27,788,62
2020-05-28,788,62
2020-05-29,829,62
2020-05-30,829,62
2020-05-31,839,63
2020-06-01,877,63
2020-06-02,877,66
2020-06-03,893,66
2020-06-04,893,67
2020-06-05,939,68
2020-06-06,939,69
2020-06-07,940,69
2020-06-08,977,71
2020-06-09,977,71
2020-06-10,1003,71
2020-06-11,1003,71
2020-06-12,1045,71
2020-06-13,1045,71
2020-06-14,1061,71
2020-06-15,1106,72
2020-06-16,1106,72
2020-06-17,1139,73
2020-06-18,1150,76
2020-06-19,1229,77
2020-06-20,1236,79
2020-06-21,1257,80
2020-06-22,1310,80
2020-06-23,1316,81
2020-06-24,1409,81
2020-06-25,1427,81
2020-06-26,1545,83
2020-06-27,1550,85
2020-06-28,1613,86
2020-06-29,1722,86
2020-06-30,1722,86
2020-07-01,1870,87
2020-07-02,1870,88
2020-07-03,2066,88
2020-07-04,2111,88
2020-07-05,2205,89
2020-07-06,2349,90
2020-07-07,2356,91
2020-07-08,2565,91
2020-07-09,2633,92
2020-07-10,2804,92
2020-07-11,2857,92
2020-07-12,2967,93
2020-07-13,3160,93
2020-07-14,3160,93
2020-07-15,3370,94
2020-07-16,3422,95
2020-07-17,3654,95
2020-07-18,3667,96
2020-07-19,3744,96
2020-07-20,3933,96
2020-07-21,3933,95
2020-07-22,4158,96
2020-07-23,4161,96
2020-07-24,4381,92
2020-07-25,4387,94
2020-07-26,4455,94
2020-07-27,4643,94
2020-07-28,4643,96
2020-07-29,4813,96
2020-07-30,4813,98
2020-07-31,4995,98
2020-08-01,5014,98
2020-08-02,5074,98
2020-08-03,5252,98
2020-08-04,5252,98
2020-08-05,5434,98
2020-08-06,5439,102
2020-08-07,5637,102
2020-08-08,5643,103
2020-08-09,5703,103
2020-08-10,5913,103
2020-08-11,5913,105
2020-08-12,6120,106
2020-08-13,6127,106
2020-08-14,6357,106
2020-08-15,6383,108
2020-08-16,6430,108
2020-08-17,6615,108
2020-08-18,6615,108
2020-08-19,6788,108
2020-08-20,6788,110
2020-08-21,7058,110
2020-08-22,7167,110
2020-08-23,7236,110
2020-08-24,7418,111
2020-08-25,7418,112
2020-08-26,7682,116
2020-08-27,7682,116
2020-08-28,7920,116
2020-08-29,7974,116
2020-08-30,8050,116
2020-08-31,8240,116
2020-09-01,8240,117
2020-09-02,8495,118
2020-09-03,8495,118
2020-09-04,8695,120
2020-09-05,8695,121
2020-09-06,8776,121
2020-09-07,9047,121
2020-09-08,9047,121
2020-09-09,9147,126
2020-09-10,9147,128
2020-09-11,9350,128
2020-09-12,9350,134
2020-09-13,9354,134
2020-09-14,9687,134
2020-09-15,9687,138
2020-09-16,9917,138
2020-09-17,9917,140
2020-09-18,10178,141
2020-09-19,10178,141
2020-09-20,10178,141
2020-09-21,10462,141
2020-09-22,10462,143
2020-09-23,10697,145
2020-09-24,10697,146
2020-09-25,10997,146
2020-09-26,10997,146
2020-09-27,10997,146
