date,cases,deaths
2020-04-07,1,0
2020-04-08,2,0
2020-04-09,3,0
2020-04-10,4,0
2020-04-11,4,0
2020-04-12,4,0
2020-04-13,4,0
2020-04-14,6,0
2020-04-15,6,0
2020-04-16,4,0
2020-04-17,4,0
2020-04-18,4,0
2020-04-19,4,0
2020-04-20,4,0
2020-04-21,4,0
2020-04-22,4,0
2020-04-23,4,0
2020-04-24,4,0
2020-04-25,4,0
2020-04-26,4,0
2020-04-27,4,0
2020-04-28,4,0
2020-04-29,4,0
2020-04-30,5,0
2020-05-01,5,0
2020-05-02,5,0
2020-05-03,6,0
2020-05-04,6,0
2020-05-05,6,0
2020-05-06,6,0
2020-05-07,6,0
2020-05-08,6,0
2020-05-09,6,0
2020-05-10,6,0
2020-05-11,6,0
2020-05-12,6,0
2020-05-13,7,0
2020-05-14,7,0
2020-05-15,7,0
2020-05-16,7,0
2020-05-17,7,0
2020-05-18,7,0
2020-05-19,8,0
2020-05-20,8,0
2020-05-21,8,0
2020-05-22,10,0
2020-05-23,10,0
2020-05-24,11,0
2020-05-25,12,0
2020-05-26,12,0
2020-05-27,12,0
2020-05-28,12,0
2020-05-29,12,0
2020-05-30,13,0
2020-05-31,12,0
2020-06-01,15,0
2020-06-02,15,0
2020-06-03,15,0
2020-06-04,17,0
2020-06-05,19,0
2020-06-06,19,0
2020-06-07,20,0
2020-06-08,19,0
2020-06-09,19,0
2020-06-10,19,0
2020-06-11,20,0
2020-06-12,22,0
2020-06-13,26,0
2020-06-14,26,0
2020-06-15,26,0
2020-06-16,73,0
2020-06-17,73,0
2020-06-18,74,0
2020-06-19,75,0
2020-06-20,75,0
2020-06-21,75,0
2020-06-22,86,0
2020-06-23,86,0
2020-06-24,88,0
2020-06-25,88,0
2020-06-26,89,0
2020-06-27,94,0
2020-06-28,97,0
2020-06-29,96,0
2020-06-30,97,0
2020-07-01,102,0
2020-07-02,106,0
2020-07-03,109,0
2020-07-04,112,0
2020-07-05,114,0
2020-07-06,116,0
2020-07-07,122,0
2020-07-08,124,0
2020-07-09,129,0
2020-07-10,133,0
2020-07-11,134,0
2020-07-12,135,0
2020-07-13,143,0
2020-07-14,156,0
2020-07-15,169,0
2020-07-16,176,0
2020-07-17,191,0
2020-07-18,201,0
2020-07-19,217,0
2020-07-20,230,0
2020-07-21,266,0
2020-07-22,277,0
2020-07-23,283,0
2020-07-24,290,0
2020-07-25,303,0
2020-07-26,308,0
2020-07-27,315,1
2020-07-28,324,1
2020-07-29,334,2
2020-07-30,305,3
