date,cases,deaths
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,4,1
2020-03-31,4,1
2020-04-01,5,1
2020-04-02,5,1
2020-04-03,5,1
2020-04-04,6,1
2020-04-05,6,1
2020-04-06,7,1
2020-04-07,8,1
2020-04-08,8,1
2020-04-09,10,1
2020-04-10,10,1
2020-04-11,10,1
2020-04-12,10,1
2020-04-13,10,1
2020-04-14,11,1
2020-04-15,10,1
2020-04-16,11,1
2020-04-17,12,1
2020-04-18,12,1
2020-04-19,12,1
2020-04-20,13,1
2020-04-21,13,1
2020-04-22,14,1
2020-04-23,14,1
2020-04-24,15,1
2020-04-25,15,1
2020-04-26,16,1
2020-04-27,18,1
2020-04-28,21,1
2020-04-29,22,1
2020-04-30,22,1
2020-05-01,24,1
2020-05-02,24,1
2020-05-03,24,1
2020-05-04,24,1
2020-05-05,26,1
2020-05-06,26,1
2020-05-07,27,1
2020-05-08,28,1
2020-05-09,30,1
2020-05-10,30,1
2020-05-11,30,1
2020-05-12,32,1
2020-05-13,33,1
2020-05-14,34,1
2020-05-15,35,1
2020-05-16,35,1
2020-05-17,36,1
