date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,2,0
2020-04-24,2,0
2020-04-25,2,0
2020-04-26,2,0
2020-04-27,2,0
2020-04-28,4,0
2020-04-29,4,0
2020-04-30,4,0
2020-05-01,4,0
2020-05-02,4,0
2020-05-03,4,0
2020-05-04,4,0
2020-05-05,4,0
2020-05-06,4,0
2020-05-07,4,0
2020-05-08,4,0
2020-05-09,4,0
2020-05-10,4,0
2020-05-11,3,0
2020-05-12,3,0
2020-05-13,3,0
2020-05-14,3,0
2020-05-15,61,0
2020-05-16,63,0
2020-05-17,63,0
2020-05-18,63,0
2020-05-19,63,0
2020-05-20,63,0
2020-05-21,63,0
2020-05-22,63,0
2020-05-23,63,0
2020-05-24,63,0
2020-05-25,63,0
2020-05-26,63,0
2020-05-27,63,0
2020-05-28,63,0
2020-05-29,63,0
2020-05-30,64,0
2020-05-31,64,0
2020-06-01,64,0
2020-06-02,64,0
2020-06-03,64,0
2020-06-04,64,0
2020-06-05,64,0
2020-06-06,64,0
2020-06-07,64,0
2020-06-08,64,0
2020-06-09,64,0
2020-06-10,64,0
2020-06-11,64,0
