date,cases,deaths
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,4,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,5,0
2020-04-13,5,0
2020-04-14,5,0
2020-04-15,6,0
2020-04-16,8,0
2020-04-17,8,0
2020-04-18,10,0
2020-04-19,10,0
2020-04-20,9,0
2020-04-21,9,0
2020-04-22,9,0
2020-04-23,9,0
2020-04-24,9,0
2020-04-25,9,0
2020-04-26,9,0
2020-04-27,9,0
2020-04-28,9,0
2020-04-29,9,0
2020-04-30,9,0
2020-05-01,9,0
2020-05-02,9,0
2020-05-03,9,0
2020-05-04,9,0
2020-05-05,9,0
2020-05-06,9,0
2020-05-07,12,0
2020-05-08,12,0
2020-05-09,13,0
2020-05-10,13,0
2020-05-11,14,0
2020-05-12,14,0
2020-05-13,16,0
2020-05-14,17,0
2020-05-15,18,0
2020-05-16,18,0
2020-05-17,18,0
2020-05-18,19,0
2020-05-19,21,0
2020-05-20,22,0
2020-05-21,23,1
2020-05-22,24,1
2020-05-23,25,1
2020-05-24,25,1
2020-05-25,28,1
2020-05-26,30,1
2020-05-27,35,1
2020-05-28,35,1
2020-05-29,38,1
2020-05-30,39,1
2020-05-31,41,1
2020-06-01,41,1
2020-06-02,41,1
2020-06-03,41,1
2020-06-04,41,1
2020-06-05,42,1
2020-06-06,46,1
2020-06-07,51,1
2020-06-08,54,1
2020-06-09,57,1
2020-06-10,66,1
2020-06-11,72,1
2020-06-12,78,1
2020-06-13,85,1
2020-06-14,95,1
2020-06-15,102,1
2020-06-16,109,1
2020-06-17,111,1
2020-06-18,123,1
2020-06-19,134,1
2020-06-20,137,1
2020-06-21,140,1
2020-06-22,143,1
2020-06-23,146,1
2020-06-24,153,3
2020-06-25,155,3
2020-06-26,161,3
2020-06-27,165,3
2020-06-28,165,3
2020-06-29,178,4
2020-06-30,180,6
2020-07-01,182,4
2020-07-02,188,6
2020-07-03,199,7
2020-07-04,206,7
2020-07-05,211,7
2020-07-06,212,7
2020-07-07,219,7
2020-07-08,220,7
2020-07-09,229,7
2020-07-10,229,8
2020-07-11,232,8
2020-07-12,233,8
2020-07-13,241,8
2020-07-14,250,8
2020-07-15,258,8
2020-07-16,271,8
2020-07-17,273,9
2020-07-18,282,9
2020-07-19,288,9
2020-07-20,294,9
2020-07-21,301,9
2020-07-22,304,9
2020-07-23,315,9
2020-07-24,324,9
2020-07-25,336,9
2020-07-26,341,9
2020-07-27,348,9
2020-07-28,350,9
2020-07-29,361,10
2020-07-30,365,10
2020-07-31,371,10
2020-08-01,377,10
2020-08-02,385,10
2020-08-03,387,10
2020-08-04,387,10
2020-08-05,389,10
2020-08-06,397,10
2020-08-07,404,10
2020-08-08,412,10
2020-08-09,417,10
2020-08-10,417,10
2020-08-11,421,10
2020-08-12,422,10
2020-08-13,424,10
2020-08-14,425,10
2020-08-15,429,10
2020-08-16,433,10
2020-08-17,433,10
2020-08-18,439,10
2020-08-19,440,10
2020-08-20,447,11
2020-08-21,452,11
2020-08-22,455,11
2020-08-23,456,11
2020-08-24,465,11
2020-08-25,471,11
2020-08-26,477,11
2020-08-27,479,11
2020-08-28,483,11
2020-08-29,483,11
2020-08-30,484,11
2020-08-31,485,11
2020-09-01,488,11
2020-09-02,489,11
2020-09-03,493,11
2020-09-04,493,11
2020-09-05,496,11
2020-09-06,496,11
2020-09-07,499,11
2020-09-08,500,11
2020-09-09,502,11
2020-09-10,504,11
2020-09-11,506,11
2020-09-12,510,11
2020-09-13,511,11
2020-09-14,512,11
2020-09-15,516,11
2020-09-16,516,11
2020-09-17,516,11
2020-09-18,517,11
2020-09-19,523,11
2020-09-20,523,11
2020-09-21,524,11
2020-09-22,530,11
2020-09-23,530,11
2020-09-24,531,11
2020-09-25,535,11
2020-09-26,535,11
2020-09-27,536,11
2020-09-28,537,11
2020-09-29,539,11
2020-09-30,538,11
2020-10-01,538,12
2020-10-02,539,12
2020-10-03,540,12
2020-10-04,540,12
2020-10-05,540,12
2020-10-06,540,12
2020-10-07,540,12
2020-10-08,542,12
2020-10-09,546,12
2020-10-10,547,12
2020-10-11,547,12
2020-10-12,547,12
2020-10-13,549,12
2020-10-14,549,12
2020-10-15,550,13
2020-10-16,550,13
2020-10-17,554,13
2020-10-18,554,13
2020-10-19,554,13
2020-10-20,557,13
2020-10-21,556,13
2020-10-22,557,13
2020-10-23,560,13
2020-10-24,561,13
2020-10-25,561,13
2020-10-26,561,13
2020-10-27,565,13
2020-10-28,565,13
2020-10-29,572,13
2020-10-30,573,13
2020-10-31,577,13
2020-11-01,577,13
2020-11-02,578,13
2020-11-03,584,13
2020-11-04,588,13
2020-11-05,592,13
2020-11-06,596,13
2020-11-07,604,13
2020-11-08,605,13
2020-11-09,607,13
2020-11-10,616,13
2020-11-11,624,14
2020-11-12,627,14
2020-11-13,637,14
2020-11-14,639,14
2020-11-15,645,14
2020-11-16,647,14
2020-11-17,647,14
2020-11-18,655,14
2020-11-19,666,14
2020-11-20,667,14
2020-11-21,668,14
2020-11-22,668,14
2020-11-23,668,14
2020-11-24,682,14
2020-11-25,683,14
2020-11-26,683,14
2020-11-27,684,14
