date,cases,deaths
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,2,0
2020-04-07,2,0
2020-04-08,3,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,3,0
2020-04-14,5,0
2020-04-15,6,0
2020-04-16,6,0
2020-04-17,6,0
2020-04-18,6,0
2020-04-19,6,0
2020-04-20,6,0
2020-04-21,6,0
2020-04-22,6,0
2020-04-23,7,0
2020-04-24,7,0
2020-04-25,7,0
2020-04-26,7,0
2020-04-27,7,0
2020-04-28,7,0
2020-04-29,8,0
2020-04-30,8,0
2020-05-01,9,0
2020-05-02,10,0
2020-05-03,10,0
2020-05-04,10,0
2020-05-05,12,0
2020-05-06,12,0
2020-05-07,16,0
2020-05-08,16,0
2020-05-09,16,0
2020-05-10,16,0
2020-05-11,16,0
2020-05-12,16,0
2020-05-13,16,0
2020-05-14,16,0
2020-05-15,17,0
2020-05-16,19,0
2020-05-17,19,0
2020-05-18,18,0
2020-05-19,19,0
2020-05-20,19,0
2020-05-21,19,0
2020-05-22,21,0
2020-05-23,21,0
2020-05-24,21,0
2020-05-25,22,0
2020-05-26,22,0
2020-05-27,23,0
2020-05-28,24,0
2020-05-29,25,0
2020-05-30,25,0
2020-05-31,27,0
2020-06-01,28,0
2020-06-02,28,0
2020-06-03,29,0
2020-06-04,31,0
2020-06-05,31,0
2020-06-06,31,0
2020-06-07,33,0
2020-06-08,35,0
2020-06-09,35,0
2020-06-10,35,0
2020-06-11,36,0
2020-06-12,37,0
2020-06-13,37,0
2020-06-14,38,0
2020-06-15,38,0
2020-06-16,40,0
2020-06-17,40,0
2020-06-18,43,0
2020-06-19,44,0
2020-06-20,44,0
2020-06-21,45,0
2020-06-22,46,0
2020-06-23,48,0
2020-06-24,48,0
2020-06-25,47,0
2020-06-26,48,0
2020-06-27,49,0
2020-06-28,49,0
2020-06-29,49,0
2020-06-30,49,0
2020-07-01,51,0
2020-07-02,54,0
2020-07-03,54,0
2020-07-04,55,0
2020-07-05,56,0
2020-07-06,57,0
2020-07-07,58,0
2020-07-08,59,0
2020-07-09,58,0
2020-07-10,58,0
2020-07-11,60,0
2020-07-12,60,0
2020-07-13,61,0
2020-07-14,61,0
2020-07-15,61,0
2020-07-16,61,0
2020-07-17,61,0
2020-07-18,61,0
2020-07-19,61,0
2020-07-20,64,0
2020-07-21,64,0
2020-07-22,64,0
2020-07-23,62,0
2020-07-24,63,0
2020-07-25,63,0
2020-07-26,63,0
2020-07-27,64,0
2020-07-28,64,0
2020-07-29,66,0
2020-07-30,66,0
2020-07-31,69,0
2020-08-01,69,0
2020-08-02,69,0
2020-08-03,69,0
2020-08-04,69,0
2020-08-05,69,0
2020-08-06,69,0
2020-08-07,70,0
2020-08-08,71,0
2020-08-09,71,0
2020-08-10,71,0
2020-08-11,71,0
2020-08-12,72,0
2020-08-13,72,0
2020-08-14,73,0
2020-08-15,73,0
2020-08-16,74,0
2020-08-17,74,0
2020-08-18,74,0
2020-08-19,75,0
2020-08-20,75,0
2020-08-21,75,0
2020-08-22,75,0
2020-08-23,76,0
2020-08-24,76,0
2020-08-25,76,0
2020-08-26,76,0
2020-08-27,77,0
2020-08-28,78,0
2020-08-29,79,0
2020-08-30,80,0
2020-08-31,81,0
2020-09-01,81,0
2020-09-02,82,0
2020-09-03,82,0
2020-09-04,82,0
2020-09-05,83,0
2020-09-06,83,0
2020-09-07,85,0
2020-09-08,86,0
2020-09-09,86,0
2020-09-10,86,0
2020-09-11,86,0
2020-09-12,87,0
2020-09-13,87,0
2020-09-14,87,0
2020-09-15,88,0
2020-09-16,88,0
2020-09-17,90,0
2020-09-18,91,0
2020-09-19,91,0
2020-09-20,91,0
2020-09-21,93,0
2020-09-22,93,0
2020-09-23,93,0
2020-09-24,93,0
2020-09-25,94,0
2020-09-26,94,0
2020-09-27,94,0
2020-09-28,94,0
2020-09-29,95,0
2020-09-30,95,1
2020-10-01,97,1
2020-10-02,97,1
2020-10-03,98,1
2020-10-04,97,1
2020-10-05,98,1
2020-10-06,99,1
2020-10-07,99,1
2020-10-08,100,1
2020-10-09,100,1
