date,cases,deaths
2020-03-29,1,0
2020-03-30,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,3,0
2020-04-05,10,0
2020-04-06,11,0
2020-04-07,13,0
2020-04-08,14,0
2020-04-09,18,0
2020-04-10,18,0
2020-04-11,18,0
2020-04-12,18,0
2020-04-13,18,0
2020-04-14,18,0
2020-04-15,18,0
2020-04-16,19,0
2020-04-17,19,0
2020-04-18,15,0
2020-04-19,15,0
2020-04-20,15,0
2020-04-21,15,0
2020-04-22,15,0
2020-04-23,17,0
2020-04-24,17,0
2020-04-25,17,0
2020-04-26,17,0
2020-04-27,17,0
2020-04-28,17,0
2020-04-29,18,0
2020-04-30,18,0
2020-05-01,20,0
