date,cases,deaths
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,1,0
2020-04-28,1,0
2020-04-29,1,0
2020-04-30,2,0
2020-05-01,2,0
2020-05-02,2,0
2020-05-03,2,0
2020-05-04,2,0
2020-05-05,2,0
2020-05-06,2,1
2020-05-07,2,1
2020-05-08,2,1
2020-05-09,2,1
2020-05-10,3,1
2020-05-11,3,1
2020-05-12,3,1
2020-05-13,3,1
2020-05-14,5,1
2020-05-15,5,1
2020-05-16,5,1
2020-05-17,5,1
2020-05-18,5,1
2020-05-19,5,1
2020-05-20,5,1
2020-05-21,5,1
2020-05-22,5,1
2020-05-23,5,1
2020-05-24,5,1
2020-05-25,5,1
2020-05-26,5,1
2020-05-27,5,1
2020-05-28,5,1
2020-05-29,6,1
2020-05-30,6,1
2020-05-31,6,1
2020-06-01,6,1
2020-06-02,6,1
2020-06-03,6,1
2020-06-04,6,1
2020-06-05,6,1
2020-06-06,6,1
2020-06-07,6,1
2020-06-08,6,1
2020-06-09,6,1
2020-06-10,6,1
2020-06-11,6,1
2020-06-12,6,1
2020-06-13,6,1
2020-06-14,6,1
2020-06-15,6,1
2020-06-16,6,1
2020-06-17,6,1
2020-06-18,6,1
2020-06-19,6,1
2020-06-20,6,1
2020-06-21,6,1
2020-06-22,6,1
2020-06-23,6,1
2020-06-24,6,1
2020-06-25,6,1
2020-06-26,7,1
2020-06-27,7,1
2020-06-28,7,1
2020-06-29,7,1
2020-06-30,7,1
2020-07-01,7,1
2020-07-02,7,1
2020-07-03,8,1
2020-07-04,8,1
2020-07-05,8,1
2020-07-06,9,1
2020-07-07,10,1
2020-07-08,10,1
2020-07-09,10,1
2020-07-10,10,1
2020-07-11,10,1
2020-07-12,13,1
2020-07-13,13,1
2020-07-14,13,1
2020-07-15,13,1
2020-07-16,15,1
2020-07-17,16,1
2020-07-18,16,1
2020-07-19,17,1
2020-07-20,18,1
2020-07-21,18,1
2020-07-22,18,1
2020-07-23,17,1
2020-07-24,17,1
2020-07-25,17,1
2020-07-26,18,1
2020-07-27,18,1
2020-07-28,20,1
2020-07-29,20,1
2020-07-30,20,1
2020-07-31,22,1
2020-08-01,22,1
2020-08-02,23,1
2020-08-03,23,1
2020-08-04,24,1
2020-08-05,25,1
2020-08-06,26,1
2020-08-07,26,1
2020-08-08,26,1
2020-08-09,27,1
2020-08-10,27,1
2020-08-11,27,1
2020-08-12,27,1
2020-08-13,27,1
2020-08-14,27,1
2020-08-15,28,1
2020-08-16,28,1
2020-08-17,28,1
2020-08-18,29,1
2020-08-19,30,1
2020-08-20,31,1
2020-08-21,32,1
2020-08-22,32,1
2020-08-23,32,1
2020-08-24,32,1
2020-08-25,33,1
2020-08-26,33,1
2020-08-27,35,1
2020-08-28,35,1
2020-08-29,35,1
2020-08-30,35,1
2020-08-31,35,1
2020-09-01,37,1
2020-09-02,37,1
2020-09-03,36,1
2020-09-04,36,1
2020-09-05,37,1
2020-09-06,37,1
2020-09-07,38,1
2020-09-08,38,1
2020-09-09,37,1
2020-09-10,39,1
2020-09-11,39,1
2020-09-12,41,1
2020-09-13,41,1
2020-09-14,41,1
2020-09-15,41,1
2020-09-16,42,1
2020-09-17,44,1
2020-09-18,45,1
2020-09-19,45,1
2020-09-20,45,1
2020-09-21,46,1
2020-09-22,46,1
2020-09-23,46,1
2020-09-24,46,1
2020-09-25,46,1
2020-09-26,48,1
2020-09-27,48,1
2020-09-28,49,1
2020-09-29,49,1
2020-09-30,49,1
2020-10-01,50,1
2020-10-02,49,1
2020-10-03,49,1
2020-10-04,55,1
2020-10-05,59,1
2020-10-06,59,1
2020-10-07,62,1
2020-10-08,64,1
2020-10-09,65,1
2020-10-10,72,1
2020-10-11,78,1
2020-10-12,76,1
2020-10-13,76,1
2020-10-14,78,1
2020-10-15,79,1
2020-10-16,85,1
2020-10-17,88,1
2020-10-18,91,1
