date,cases,deaths
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,5,0
2020-04-05,5,0
2020-04-06,5,0
2020-04-07,9,0
2020-04-08,9,0
2020-04-09,12,0
2020-04-10,12,0
2020-04-11,13,0
2020-04-12,13,0
2020-04-13,13,0
2020-04-14,13,0
2020-04-15,13,0
2020-04-16,19,0
2020-04-17,19,0
2020-04-18,19,0
2020-04-19,19,0
2020-04-20,19,0
2020-04-21,20,0
2020-04-22,22,0
2020-04-23,27,0
2020-04-24,32,0
2020-04-25,35,0
2020-04-26,37,0
2020-04-27,37,0
2020-04-28,38,0
2020-04-29,42,0
2020-04-30,47,0
2020-05-01,58,0
2020-05-02,58,0
2020-05-03,58,0
2020-05-04,67,0
2020-05-05,68,0
2020-05-06,71,0
2020-05-07,73,0
2020-05-08,73,0
2020-05-09,73,0
2020-05-10,75,0
2020-05-11,75,0
2020-05-12,76,0
2020-05-13,77,0
2020-05-14,77,0
2020-05-15,88,0
2020-05-16,91,0
