date,cases,deaths
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,3,0
2020-04-16,3,0
2020-04-17,3,0
2020-04-18,3,0
2020-04-19,3,0
2020-04-20,3,0
2020-04-21,4,0
2020-04-22,4,0
2020-04-23,4,0
2020-04-24,4,0
2020-04-25,4,0
2020-04-26,4,0
2020-04-27,5,0
2020-04-28,5,0
2020-04-29,5,0
2020-04-30,6,0
2020-05-01,6,0
2020-05-02,8,0
2020-05-03,8,0
2020-05-04,9,0
2020-05-05,9,0
2020-05-06,10,0
2020-05-07,10,0
2020-05-08,11,0
2020-05-09,11,0
