date,cases,deaths
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,2,0
2020-03-23,3,0
2020-03-24,4,0
2020-03-25,5,0
2020-03-26,5,0
2020-03-27,7,0
2020-03-28,7,0
2020-03-29,8,0
2020-03-30,8,0
2020-03-31,9,0
2020-04-01,9,0
2020-04-02,11,0
2020-04-03,11,0
2020-04-04,11,0
2020-04-05,12,0
2020-04-06,13,0
2020-04-07,15,1
2020-04-08,15,1
2020-04-09,16,2
2020-04-10,16,2
2020-04-11,17,2
2020-04-12,17,2
2020-04-13,17,2
2020-04-14,17,2
2020-04-15,17,2
2020-04-16,17,2
2020-04-17,17,3
2020-04-18,17,3
2020-04-19,17,3
2020-04-20,17,3
2020-04-21,17,3
2020-04-22,17,3
2020-04-23,19,3
2020-04-24,20,3
2020-04-25,20,3
2020-04-26,20,3
2020-04-27,20,3
2020-04-28,20,3
2020-04-29,20,3
2020-04-30,20,3
2020-05-01,22,3
2020-05-02,22,3
2020-05-03,22,3
2020-05-04,22,3
2020-05-05,22,3
2020-05-06,22,3
2020-05-07,22,3
2020-05-08,24,3
2020-05-09,24,3
2020-05-10,25,3
2020-05-11,25,3
2020-05-12,25,3
2020-05-13,26,3
2020-05-14,26,3
2020-05-15,26,3
2020-05-16,26,3
2020-05-17,26,3
2020-05-18,26,3
2020-05-19,26,3
2020-05-20,26,3
2020-05-21,26,3
2020-05-22,26,3
2020-05-23,27,3
2020-05-24,27,3
2020-05-25,27,3
2020-05-26,27,3
2020-05-27,29,3
2020-05-28,28,3
2020-05-29,28,3
2020-05-30,29,3
2020-05-31,29,3
2020-06-01,29,3
2020-06-02,29,3
2020-06-03,29,4
2020-06-04,29,4
2020-06-05,29,4
2020-06-06,29,4
2020-06-07,29,4
2020-06-08,29,4
2020-06-09,29,4
