date,cases,deaths
2020-04-02,2,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,3,0
2020-04-06,3,0
2020-04-07,3,0
2020-04-08,4,0
2020-04-09,5,0
2020-04-10,5,0
2020-04-11,5,0
2020-04-12,5,0
2020-04-13,7,0
2020-04-14,6,0
2020-04-15,6,0
2020-04-16,6,0
2020-04-17,6,0
2020-04-18,11,0
2020-04-19,6,0
2020-04-20,6,0
2020-04-21,6,0
2020-04-22,6,0
2020-04-23,6,0
2020-04-24,7,0
2020-04-25,7,0
2020-04-26,7,0
2020-04-27,7,0
2020-04-28,7,0
2020-04-29,7,0
2020-04-30,7,0
2020-05-01,7,0
2020-05-02,7,0
2020-05-03,7,0
2020-05-04,7,0
2020-05-05,7,0
2020-05-06,7,0
2020-05-07,8,0
2020-05-08,8,0
2020-05-09,8,0
2020-05-10,10,0
2020-05-11,10,0
2020-05-12,10,0
2020-05-13,10,0
2020-05-14,10,0
2020-05-15,10,0
2020-05-16,11,0
2020-05-17,11,0
2020-05-18,11,0
2020-05-19,13,0
2020-05-20,13,0
2020-05-21,13,0
2020-05-22,14,0
2020-05-23,16,0
2020-05-24,17,0
2020-05-25,17,0
2020-05-26,17,0
2020-05-27,17,0
2020-05-28,17,0
2020-05-29,17,0
2020-05-30,17,0
2020-05-31,17,0
2020-06-01,17,0
2020-06-02,19,0
2020-06-03,19,0
2020-06-04,19,0
2020-06-05,19,0
2020-06-06,19,0
2020-06-07,19,0
2020-06-08,19,0
2020-06-09,19,0
2020-06-10,19,0
2020-06-11,19,0
2020-06-12,19,0
2020-06-13,20,0
2020-06-14,20,0
2020-06-15,20,0
2020-06-16,20,0
2020-06-17,20,0
2020-06-18,21,0
2020-06-19,21,0
2020-06-20,21,0
2020-06-21,21,0
2020-06-22,22,0
2020-06-23,22,0
2020-06-24,22,0
2020-06-25,22,0
2020-06-26,22,0
2020-06-27,22,0
2020-06-28,22,0
2020-06-29,23,0
2020-06-30,26,0
2020-07-01,26,0
2020-07-02,26,0
2020-07-03,26,0
2020-07-04,26,0
2020-07-05,27,0
2020-07-06,29,0
2020-07-07,30,0
2020-07-08,33,0
2020-07-09,41,0
2020-07-10,46,0
2020-07-11,47,0
2020-07-12,47,0
2020-07-13,50,0
2020-07-14,52,0
2020-07-15,62,0
2020-07-16,65,0
2020-07-17,67,0
2020-07-18,72,0
2020-07-19,72,0
2020-07-20,72,0
2020-07-21,87,0
2020-07-22,90,0
2020-07-23,91,0
2020-07-24,93,0
2020-07-25,93,0
2020-07-26,97,0
2020-07-27,97,0
2020-07-28,99,0
2020-07-29,103,0
2020-07-30,103,0
2020-07-31,105,1
2020-08-01,105,1
2020-08-02,107,1
2020-08-03,106,1
2020-08-04,108,1
2020-08-05,109,1
2020-08-06,112,1
2020-08-07,118,1
2020-08-08,124,1
2020-08-09,127,1
2020-08-10,129,1
2020-08-11,130,1
2020-08-12,131,1
2020-08-13,137,1
2020-08-14,145,1
2020-08-15,144,1
2020-08-16,149,1
2020-08-17,153,1
2020-08-18,156,1
2020-08-19,170,1
2020-08-20,174,1
2020-08-21,187,1
2020-08-22,188,1
2020-08-23,189,1
2020-08-24,189,1
2020-08-25,193,1
2020-08-26,197,1
2020-08-27,203,1
2020-08-28,208,1
2020-08-29,214,1
2020-08-30,217,1
2020-08-31,217,1
2020-09-01,220,1
2020-09-02,221,2
2020-09-03,250,2
2020-09-04,258,2
2020-09-05,261,2
2020-09-06,261,2
2020-09-07,261,2
2020-09-08,262,2
2020-09-09,264,2
2020-09-10,272,2
2020-09-11,275,2
2020-09-12,279,2
2020-09-13,279,2
2020-09-14,284,2
2020-09-15,285,3
2020-09-16,291,3
2020-09-17,294,3
2020-09-18,298,4
2020-09-19,302,4
2020-09-20,305,4
2020-09-21,305,5
2020-09-22,308,5
2020-09-23,314,5
2020-09-24,317,5
2020-09-25,324,5
2020-09-26,326,5
2020-09-27,331,5
2020-09-28,332,5
2020-09-29,332,5
2020-09-30,335,5
2020-10-01,343,5
2020-10-02,347,5
2020-10-03,352,5
2020-10-04,359,5
2020-10-05,362,5
2020-10-06,368,5
2020-10-07,374,5
2020-10-08,373,5
2020-10-09,377,5
2020-10-10,382,5
2020-10-11,385,5
