date,cases,deaths
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,1,0
2020-04-18,1,0
2020-04-19,1,0
2020-04-20,1,0
2020-04-21,1,0
2020-04-22,1,0
2020-04-23,1,0
2020-04-24,1,0
2020-04-25,1,0
2020-04-26,1,0
2020-04-27,1,0
2020-04-28,1,0
2020-04-29,1,0
2020-04-30,1,0
2020-05-01,1,0
2020-05-02,1,0
2020-05-03,1,0
2020-05-04,1,0
2020-05-05,1,0
2020-05-06,1,0
2020-05-07,1,0
2020-05-08,1,0
2020-05-09,1,0
2020-05-10,1,0
2020-05-11,1,0
2020-05-12,1,0
2020-05-13,1,0
2020-05-14,1,0
2020-05-15,1,0
2020-05-16,1,0
2020-05-17,1,0
2020-05-18,1,0
2020-05-19,1,0
2020-05-20,1,0
2020-05-21,1,0
2020-05-22,2,0
2020-05-23,3,0
2020-05-24,3,0
2020-05-25,3,0
2020-05-26,3,0
2020-05-27,3,0
2020-05-28,3,0
2020-05-29,3,0
2020-05-30,3,0
2020-05-31,3,0
2020-06-01,3,0
2020-06-02,3,0
2020-06-03,3,0
2020-06-04,3,0
2020-06-05,3,0
2020-06-06,3,0
2020-06-07,3,0
2020-06-08,3,0
2020-06-09,4,0
2020-06-10,4,0
2020-06-11,4,0
2020-06-12,4,0
2020-06-13,5,0
2020-06-14,5,0
2020-06-15,5,0
2020-06-16,5,0
2020-06-17,6,0
2020-06-18,6,0
2020-06-19,6,0
2020-06-20,6,0
2020-06-21,6,0
2020-06-22,6,0
2020-06-23,7,0
2020-06-24,7,0
2020-06-25,7,0
2020-06-26,8,0
2020-06-27,8,0
2020-06-28,8,0
2020-06-29,9,0
2020-06-30,9,0
2020-07-01,10,0
2020-07-02,10,0
2020-07-03,11,0
2020-07-04,11,0
2020-07-05,11,0
2020-07-06,11,0
2020-07-07,11,0
2020-07-08,11,0
2020-07-09,12,0
2020-07-10,14,0
2020-07-11,15,0
2020-07-12,18,0
2020-07-13,18,0
2020-07-14,18,0
2020-07-15,18,0
2020-07-16,18,0
2020-07-17,18,0
2020-07-18,18,0
2020-07-19,19,0
2020-07-20,19,0
2020-07-21,19,0
2020-07-22,19,0
2020-07-23,19,0
2020-07-24,20,0
2020-07-25,20,0
2020-07-26,20,0
2020-07-27,20,0
2020-07-28,20,0
2020-07-29,20,0
2020-07-30,20,0
2020-07-31,20,0
2020-08-01,20,0
2020-08-02,20,0
2020-08-03,20,0
2020-08-04,22,0
2020-08-05,22,0
2020-08-06,22,0
2020-08-07,22,0
2020-08-08,22,0
2020-08-09,22,0
2020-08-10,22,0
2020-08-11,22,0
2020-08-12,22,0
2020-08-13,27,0
2020-08-14,27,0
2020-08-15,27,0
2020-08-16,27,0
2020-08-17,29,0
2020-08-18,29,0
2020-08-19,29,0
2020-08-20,30,0
2020-08-21,33,0
2020-08-22,33,0
2020-08-23,34,0
2020-08-24,34,0
2020-08-25,36,0
2020-08-26,36,0
2020-08-27,36,0
2020-08-28,39,0
2020-08-29,40,0
2020-08-30,43,0
2020-08-31,45,0
2020-09-01,45,0
2020-09-02,45,0
2020-09-03,48,0
2020-09-04,48,0
2020-09-05,48,0
2020-09-06,49,0
2020-09-07,50,0
2020-09-08,50,0
2020-09-09,51,0
2020-09-10,51,0
2020-09-11,52,0
2020-09-12,54,0
2020-09-13,54,0
2020-09-14,54,0
2020-09-15,54,0
2020-09-16,54,0
2020-09-17,55,0
2020-09-18,55,0
2020-09-19,55,0
2020-09-20,61,0
2020-09-21,61,0
2020-09-22,61,0
2020-09-23,61,0
2020-09-24,65,0
2020-09-25,68,0
2020-09-26,70,0
2020-09-27,73,0
2020-09-28,75,0
2020-09-29,75,0
2020-09-30,77,0
2020-10-01,83,0
2020-10-02,86,0
2020-10-03,86,0
2020-10-04,86,0
2020-10-05,87,0
2020-10-06,88,0
2020-10-07,100,0
2020-10-08,102,0
2020-10-09,104,0
2020-10-10,106,0
2020-10-11,106,0
2020-10-12,107,0
2020-10-13,107,0
2020-10-14,111,0
2020-10-15,111,0
2020-10-16,111,0
2020-10-17,112,0
2020-10-18,112,0
2020-10-19,112,0
2020-10-20,113,0
2020-10-21,116,0
2020-10-22,124,0
2020-10-23,125,0
2020-10-24,126,0
2020-10-25,129,0
2020-10-26,129,0
2020-10-27,133,0
2020-10-28,133,0
2020-10-29,132,0
2020-10-30,133,0
2020-10-31,137,0
2020-11-01,138,0
2020-11-02,141,0
2020-11-03,142,0
2020-11-04,144,0
2020-11-05,146,0
2020-11-06,148,0
2020-11-07,151,0
2020-11-08,153,0
