date,cases,deaths
2020-04-09,1,0
2020-04-10,2,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,3,0
2020-04-14,3,0
2020-04-15,3,0
2020-04-16,3,0
2020-04-17,3,0
2020-04-18,3,0
2020-04-19,3,0
2020-04-20,3,0
2020-04-21,3,0
2020-04-22,3,0
2020-04-23,3,0
2020-04-24,3,0
2020-04-25,3,0
2020-04-26,3,0
2020-04-27,3,0
2020-04-28,3,0
2020-04-29,3,0
2020-04-30,3,0
2020-05-01,3,0
2020-05-02,3,0
2020-05-03,3,0
2020-05-04,3,0
2020-05-05,3,0
2020-05-06,3,0
2020-05-07,3,0
2020-05-08,3,0
2020-05-09,3,0
2020-05-10,3,0
2020-05-11,3,0
2020-05-12,3,0
2020-05-13,3,0
2020-05-14,3,0
2020-05-15,3,0
2020-05-16,3,0
2020-05-17,3,0
2020-05-18,3,0
2020-05-19,3,0
2020-05-20,3,0
2020-05-21,3,0
2020-05-22,3,0
2020-05-23,3,0
2020-05-24,3,0
2020-05-25,3,0
2020-05-26,3,0
2020-05-27,3,0
2020-05-28,3,0
2020-05-29,3,0
2020-05-30,3,0
2020-05-31,3,0
2020-06-01,3,0
2020-06-02,3,0
2020-06-03,3,0
2020-06-04,3,0
2020-06-05,3,0
2020-06-06,3,0
2020-06-07,3,0
2020-06-08,3,0
2020-06-09,3,0
2020-06-10,3,0
2020-06-11,3,0
2020-06-12,3,0
2020-06-13,3,0
2020-06-14,3,0
2020-06-15,3,0
2020-06-16,4,0
2020-06-17,4,0
2020-06-18,4,0
2020-06-19,4,0
2020-06-20,5,0
2020-06-21,5,0
2020-06-22,5,0
2020-06-23,6,0
2020-06-24,7,0
2020-06-25,7,0
2020-06-26,8,0
2020-06-27,11,0
2020-06-28,11,0
2020-06-29,11,0
2020-06-30,12,0
2020-07-01,13,0
2020-07-02,17,0
2020-07-03,17,0
2020-07-04,20,0
2020-07-05,20,0
2020-07-06,20,0
2020-07-07,21,0
2020-07-08,22,0
2020-07-09,23,0
2020-07-10,23,0
2020-07-11,23,0
2020-07-12,23,0
2020-07-13,23,0
2020-07-14,25,0
2020-07-15,25,0
2020-07-16,29,0
2020-07-17,30,0
2020-07-18,30,0
2020-07-19,30,0
2020-07-20,30,0
2020-07-21,30,0
2020-07-22,31,0
2020-07-23,33,0
2020-07-24,34,0
2020-07-25,35,0
2020-07-26,35,0
2020-07-27,34,0
2020-07-28,34,0
2020-07-29,34,1
2020-07-30,35,1
2020-07-31,38,1
2020-08-01,41,1
2020-08-02,41,1
2020-08-03,41,1
2020-08-04,43,1
