date,cases,deaths
2020-03-23,1,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,3,0
2020-04-06,3,0
2020-04-07,3,0
2020-04-08,3,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,4,0
2020-04-14,4,0
2020-04-15,6,0
2020-04-16,7,0
2020-04-17,8,1
2020-04-18,8,1
2020-04-19,8,1
2020-04-20,8,1
2020-04-21,8,1
2020-04-22,9,1
2020-04-23,9,1
2020-04-24,11,1
2020-04-25,11,1
2020-04-26,11,1
2020-04-27,11,1
2020-04-28,11,1
2020-04-29,11,1
2020-04-30,11,1
2020-05-01,11,1
2020-05-02,12,1
2020-05-03,12,1
2020-05-04,12,1
2020-05-05,12,1
2020-05-06,12,1
2020-05-07,12,1
2020-05-08,12,1
2020-05-09,12,1
2020-05-10,12,1
2020-05-11,12,1
2020-05-12,13,1
2020-05-13,14,1
2020-05-14,15,1
2020-05-15,18,1
2020-05-16,18,1
2020-05-17,19,1
2020-05-18,21,1
2020-05-19,21,1
2020-05-20,21,1
2020-05-21,23,1
2020-05-22,23,1
2020-05-23,23,1
2020-05-24,24,1
2020-05-25,24,1
2020-05-26,24,1
2020-05-27,25,1
2020-05-28,26,1
2020-05-29,26,1
2020-05-30,27,1
2020-05-31,27,1
2020-06-01,27,1
2020-06-02,29,1
2020-06-03,30,1
2020-06-04,30,1
2020-06-05,31,1
2020-06-06,31,1
2020-06-07,32,1
2020-06-08,35,1
2020-06-09,35,1
2020-06-10,35,1
2020-06-11,35,1
2020-06-12,39,1
2020-06-13,40,1
2020-06-14,42,1
2020-06-15,43,1
2020-06-16,45,1
2020-06-17,49,1
2020-06-18,49,1
2020-06-19,49,1
2020-06-20,49,1
2020-06-21,49,1
2020-06-22,64,1
2020-06-23,68,1
2020-06-24,72,1
2020-06-25,85,1
2020-06-26,88,1
2020-06-27,91,1
2020-06-28,93,2
2020-06-29,93,3
2020-06-30,94,3
2020-07-01,104,3
2020-07-02,115,3
2020-07-03,122,4
2020-07-04,136,4
2020-07-05,136,4
2020-07-06,137,4
2020-07-07,145,4
2020-07-08,156,4
2020-07-09,166,4
2020-07-10,178,4
2020-07-11,195,4
2020-07-12,195,4
2020-07-13,197,4
2020-07-14,206,4
2020-07-15,239,4
2020-07-16,247,4
2020-07-17,260,4
2020-07-18,285,4
2020-07-19,290,4
2020-07-20,293,4
2020-07-21,301,4
2020-07-22,318,4
2020-07-23,322,4
2020-07-24,338,5
2020-07-25,344,5
2020-07-26,349,6
2020-07-27,349,6
2020-07-28,363,9
2020-07-29,371,9
2020-07-30,395,9
2020-07-31,399,10
2020-08-01,446,10
2020-08-02,493,10
2020-08-03,493,10
2020-08-04,496,10
2020-08-05,512,10
2020-08-06,407,10
2020-08-07,522,10
2020-08-08,530,10
2020-08-09,531,10
2020-08-10,530,11
2020-08-11,541,11
2020-08-12,547,11
2020-08-13,550,11
2020-08-14,563,11
2020-08-15,565,11
2020-08-16,568,11
2020-08-17,568,11
2020-08-18,580,11
2020-08-19,589,11
2020-08-20,593,11
2020-08-21,595,11
2020-08-22,599,11
2020-08-23,600,11
2020-08-24,602,11
2020-08-25,610,12
2020-08-26,611,13
2020-08-27,615,13
2020-08-28,618,13
2020-08-29,623,13
2020-08-30,629,13
2020-08-31,630,13
2020-09-01,636,13
2020-09-02,647,13
2020-09-03,653,13
2020-09-04,668,13
2020-09-05,672,13
2020-09-06,673,13
2020-09-07,674,13
2020-09-08,676,13
2020-09-09,680,13
2020-09-10,697,14
2020-09-11,699,14
2020-09-12,702,14
2020-09-13,703,16
2020-09-14,703,16
2020-09-15,710,16
2020-09-16,725,17
2020-09-17,734,18
2020-09-18,745,18
2020-09-19,749,18
2020-09-20,754,18
2020-09-21,757,18
2020-09-22,762,21
2020-09-23,764,21
2020-09-24,763,21
2020-09-25,770,21
2020-09-26,773,21
2020-09-27,774,21
2020-09-28,776,21
2020-09-29,777,24
2020-09-30,783,24
2020-10-01,786,24
2020-10-02,788,24
2020-10-03,788,24
2020-10-04,788,24
2020-10-05,790,24
2020-10-06,792,24
2020-10-07,793,24
2020-10-08,793,24
2020-10-09,797,24
2020-10-10,798,24
2020-10-11,800,24
2020-10-12,803,24
2020-10-13,809,24
2020-10-14,812,25
2020-10-15,815,25
2020-10-16,817,25
2020-10-17,817,25
2020-10-18,817,25
2020-10-19,818,25
2020-10-20,818,25
2020-10-21,825,25
2020-10-22,830,25
2020-10-23,840,25
2020-10-24,845,26
2020-10-25,845,26
2020-10-26,845,26
2020-10-27,846,26
2020-10-28,855,26
2020-10-29,858,26
2020-10-30,864,26
2020-10-31,868,26
2020-11-01,870,26
2020-11-02,872,26
2020-11-03,873,26
2020-11-04,877,26
2020-11-05,892,26
2020-11-06,895,26
