date,cases,deaths
2020-02-02,2,0
2020-02-03,2,0
2020-02-04,2,0
2020-02-05,2,0
2020-02-06,2,0
2020-02-07,2,0
2020-02-08,2,0
2020-02-09,2,0
2020-02-10,2,0
2020-02-11,2,0
2020-02-12,2,0
2020-02-13,2,0
2020-02-14,2,0
2020-02-15,2,0
2020-02-16,2,0
2020-02-17,2,0
2020-02-18,2,0
2020-02-19,2,0
2020-02-20,2,0
2020-02-21,2,0
2020-02-22,2,0
2020-02-23,2,0
2020-02-24,3,0
2020-02-25,3,0
2020-02-26,3,0
2020-02-27,3,0
2020-02-28,3,0
2020-02-29,3,0
2020-03-01,3,0
2020-03-02,3,0
2020-03-03,3,0
2020-03-04,3,0
2020-03-05,5,0
2020-03-06,5,0
2020-03-07,11,0
2020-03-08,11,0
2020-03-09,16,0
2020-03-10,17,0
2020-03-11,17,0
2020-03-12,21,0
2020-03-13,26,0
2020-03-14,31,0
2020-03-15,37,0
2020-03-16,43,0
2020-03-17,46,0
2020-03-18,51,0
2020-03-19,73,0
2020-03-20,79,0
2020-03-21,84,0
2020-03-22,111,0
2020-03-23,134,0
2020-03-24,152,0
2020-03-25,181,1
2020-03-26,226,2
2020-03-27,282,3
2020-03-28,308,4
2020-03-29,343,5
2020-03-30,374,6
2020-03-31,400,6
2020-04-01,437,7
2020-04-02,450,7
2020-04-03,500,7
2020-04-04,529,8
2020-04-05,571,8
2020-04-06,586,9
2020-04-07,622,9
2020-04-08,679,10
2020-04-09,727,10
2020-04-10,800,13
2020-04-11,860,13
2020-04-12,875,14
2020-04-13,960,15
2020-04-14,990,15
2020-04-15,1016,17
2020-04-16,1022,17
2020-04-17,1061,20
2020-04-18,1140,20
2020-04-19,1160,20
2020-04-20,1219,20
2020-04-21,1234,20
2020-04-22,1236,21
2020-04-23,1305,21
2020-04-24,1343,22
2020-04-25,1357,22
2020-04-26,1411,22
2020-04-27,1427,23
2020-04-28,1471,23
2020-04-29,1490,23
2020-04-30,1502,25
2020-05-01,1526,28
2020-05-02,1552,29
2020-05-03,1632,29
2020-05-04,1692,30
2020-05-05,1760,31
2020-05-06,1779,31
2020-05-07,1806,32
2020-05-08,1856,33
2020-05-09,1894,33
2020-05-10,1946,34
2020-05-11,1957,35
2020-05-12,1980,35
2020-05-13,1997,35
2020-05-14,2007,35
2020-05-15,2032,36
2020-05-16,2065,36
2020-05-17,2097,36
2020-05-18,2135,36
2020-05-19,2186,36
2020-05-20,2189,37
2020-05-21,2202,37
2020-05-22,2323,40
2020-05-23,2353,40
2020-05-24,2370,40
2020-05-25,2389,40
2020-05-26,2402,40
2020-05-27,2411,40
2020-05-28,2440,40
2020-05-29,2476,41
2020-05-30,2535,41
2020-05-31,2561,42
2020-06-01,2573,43
2020-06-02,2590,43
2020-06-03,2616,43
2020-06-04,2647,43
2020-06-05,2701,43
2020-06-06,2715,43
2020-06-07,2750,43
2020-06-08,2782,43
2020-06-09,2796,44
2020-06-10,2812,44
2020-06-11,2843,44
2020-06-12,2880,44
2020-06-13,2909,44
2020-06-14,2931,45
2020-06-15,2955,45
2020-06-16,2974,46
2020-06-17,2985,47
2020-06-18,3023,47
2020-06-19,3060,47
2020-06-20,3061,47
2020-06-21,3061,47
2020-06-22,3188,48
2020-06-23,3222,48
2020-06-24,3252,48
2020-06-25,3300,48
2020-06-26,3403,48
2020-06-27,3471,49
2020-06-28,3515,50
2020-06-29,3564,50
2020-06-30,3606,50
2020-07-01,3651,50
2020-07-02,3722,50
2020-07-03,3722,50
2020-07-04,3784,50
2020-07-05,3864,50
2020-07-06,3995,50
2020-07-07,4023,50
2020-07-08,4074,50
2020-07-09,4148,50
2020-07-10,4319,50
2020-07-11,4429,50
2020-07-12,4525,50
2020-07-13,4593,50
2020-07-14,4643,50
2020-07-15,4699,50
2020-07-16,4863,51
2020-07-17,4978,52
2020-07-18,5119,52
2020-07-19,5205,52
2020-07-20,5308,52
2020-07-21,5366,53
2020-07-22,5462,53
2020-07-23,5567,55
2020-07-24,5682,56
2020-07-25,5790,56
2020-07-26,5935,56
2020-07-27,6025,56
2020-07-28,6068,56
2020-07-29,6200,57
2020-07-30,6426,58
2020-07-31,6578,59
2020-08-01,6726,61
2020-08-02,6814,61
2020-08-03,6919,61
2020-08-04,6992,61
2020-08-05,7084,62
2020-08-06,7231,63
2020-08-07,7329,64
2020-08-08,7435,67
2020-08-09,7551,67
2020-08-10,7626,67
2020-08-11,7626,67
2020-08-12,7837,67
2020-08-13,7947,67
2020-08-14,8056,69
2020-08-15,8160,69
