date,cases,deaths
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,2,0
2020-04-03,4,0
2020-04-04,7,0
2020-04-05,7,0
2020-04-06,7,0
2020-04-07,8,0
2020-04-08,8,0
2020-04-09,10,0
2020-04-10,10,0
2020-04-11,11,0
2020-04-12,12,0
2020-04-13,13,0
2020-04-14,14,0
2020-04-15,15,0
2020-04-16,15,0
2020-04-17,15,0
2020-04-18,15,0
2020-04-19,17,0
2020-04-20,17,0
2020-04-21,17,0
2020-04-22,17,0
2020-04-23,20,0
2020-04-24,21,0
2020-04-25,23,0
2020-04-26,23,0
2020-04-27,24,0
2020-04-28,27,0
2020-04-29,28,0
2020-04-30,33,0
2020-05-01,34,0
2020-05-02,37,0
2020-05-03,39,0
2020-05-04,45,0
2020-05-05,45,0
2020-05-06,45,0
2020-05-07,52,0
2020-05-08,55,0
2020-05-09,58,0
2020-05-10,61,0
2020-05-11,61,0
2020-05-12,66,0
2020-05-13,72,0
2020-05-14,80,0
2020-05-15,82,0
2020-05-16,89,0
2020-05-17,93,0
2020-05-18,96,0
2020-05-19,101,0
2020-05-20,101,0
2020-05-21,107,0
2020-05-22,109,0
2020-05-23,113,0
2020-05-24,118,0
2020-05-25,123,0
2020-05-26,136,0
2020-05-27,135,0
2020-05-28,142,0
2020-05-29,147,0
2020-05-30,158,0
2020-05-31,164,0
2020-06-01,166,0
2020-06-02,172,0
2020-06-03,172,0
2020-06-04,178,1
2020-06-05,186,0
2020-06-06,192,0
2020-06-07,208,0
2020-06-08,196,0
2020-06-09,193,0
2020-06-10,194,0
2020-06-11,197,0
2020-06-12,199,0
2020-06-13,201,0
2020-06-14,208,0
2020-06-15,211,0
2020-06-16,213,0
2020-06-17,215,0
2020-06-18,218,0
2020-06-19,219,0
2020-06-20,223,0
2020-06-21,227,0
