date,cases,deaths
2020-03-26,1,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,4,0
2020-04-05,4,0
2020-04-06,5,0
2020-04-07,6,0
2020-04-08,6,0
2020-04-09,8,0
2020-04-10,8,0
2020-04-11,8,0
2020-04-12,8,0
2020-04-13,8,0
2020-04-14,8,0
2020-04-15,8,0
2020-04-16,8,0
2020-04-17,8,0
2020-04-18,8,0
2020-04-19,8,0
2020-04-20,9,0
2020-04-21,9,0
2020-04-22,9,0
2020-04-23,10,0
2020-04-24,12,0
2020-04-25,11,0
2020-04-26,11,0
2020-04-27,11,0
2020-04-28,10,0
2020-04-29,10,0
2020-04-30,12,0
2020-05-01,15,0
2020-05-02,17,0
2020-05-03,17,0
2020-05-04,18,0
2020-05-05,21,0
2020-05-06,22,0
2020-05-07,23,0
2020-05-08,24,0
2020-05-09,25,0
2020-05-10,25,0
2020-05-11,27,0
2020-05-12,31,0
2020-05-13,32,0
2020-05-14,31,0
2020-05-15,31,0
2020-05-16,34,0
2020-05-17,35,0
2020-05-18,36,0
2020-05-19,38,0
2020-05-20,40,0
2020-05-21,42,0
2020-05-22,43,0
2020-05-23,44,0
2020-05-24,45,0
2020-05-25,45,0
2020-05-26,45,0
2020-05-27,46,0
2020-05-28,48,0
2020-05-29,50,0
2020-05-30,50,0
2020-05-31,52,0
2020-06-01,52,0
2020-06-02,52,1
2020-06-03,52,1
2020-06-04,54,1
2020-06-05,56,1
2020-06-06,56,1
2020-06-07,56,1
2020-06-08,57,1
2020-06-09,57,1
2020-06-10,55,1
2020-06-11,55,1
2020-06-12,56,1
2020-06-13,57,1
2020-06-14,57,1
2020-06-15,58,1
2020-06-16,58,1
2020-06-17,60,1
2020-06-18,61,1
2020-06-19,61,1
2020-06-20,63,1
2020-06-21,64,1
2020-06-22,65,1
2020-06-23,67,1
2020-06-24,69,1
2020-06-25,71,1
2020-06-26,72,1
2020-06-27,73,1
2020-06-28,74,1
2020-06-29,73,1
2020-06-30,73,1
2020-07-01,73,1
2020-07-02,73,1
2020-07-03,76,1
2020-07-04,81,1
2020-07-05,83,1
2020-07-06,83,1
2020-07-07,86,1
2020-07-08,89,1
2020-07-09,92,1
2020-07-10,96,1
2020-07-11,100,1
2020-07-12,104,1
2020-07-13,106,1
2020-07-14,106,1
2020-07-15,110,1
2020-07-16,112,1
2020-07-17,115,1
2020-07-18,118,1
2020-07-19,119,1
2020-07-20,119,1
2020-07-21,120,1
2020-07-22,125,1
2020-07-23,134,1
2020-07-24,138,1
2020-07-25,140,1
2020-07-26,143,1
2020-07-27,150,1
2020-07-28,153,1
2020-07-29,158,1
2020-07-30,163,1
2020-07-31,172,1
2020-08-01,175,1
2020-08-02,178,1
2020-08-03,181,1
2020-08-04,199,1
2020-08-05,207,1
2020-08-06,215,1
2020-08-07,221,1
2020-08-08,225,1
2020-08-09,236,1
2020-08-10,239,1
2020-08-11,243,1
2020-08-12,248,1
2020-08-13,256,1
2020-08-14,265,1
2020-08-15,266,1
2020-08-16,267,1
2020-08-17,267,1
2020-08-18,275,1
2020-08-19,285,1
2020-08-20,289,1
2020-08-21,290,1
2020-08-22,290,1
2020-08-23,290,1
2020-08-24,291,1
2020-08-25,294,1
2020-08-26,294,1
2020-08-27,294,1
2020-08-28,296,1
2020-08-29,296,1
2020-08-30,296,2
2020-08-31,299,2
2020-09-01,301,2
2020-09-02,308,2
2020-09-03,311,2
2020-09-04,313,2
2020-09-05,314,2
2020-09-06,317,2
2020-09-07,323,2
2020-09-08,326,2
2020-09-09,329,2
2020-09-10,330,2
2020-09-11,336,2
2020-09-12,340,2
2020-09-13,344,2
2020-09-14,350,2
2020-09-15,356,2
2020-09-16,359,2
2020-09-17,362,2
2020-09-18,365,2
2020-09-19,367,2
2020-09-20,371,2
2020-09-21,379,2
2020-09-22,380,2
2020-09-23,386,2
2020-09-24,392,2
2020-09-25,401,2
2020-09-26,410,3
2020-09-27,421,3
2020-09-28,438,3
2020-09-29,455,3
2020-09-30,482,3
2020-10-01,498,3
2020-10-02,509,3
2020-10-03,522,3
2020-10-04,532,3
2020-10-05,544,3
2020-10-06,559,3
2020-10-07,583,3
2020-10-08,593,3
2020-10-09,625,3
2020-10-10,644,3
2020-10-11,652,3
2020-10-12,666,4
2020-10-13,694,4
2020-10-14,708,4
2020-10-15,718,4
2020-10-16,743,4
2020-10-17,786,4
2020-10-18,817,4
2020-10-19,828,4
2020-10-20,843,4
2020-10-21,859,4
2020-10-22,888,4
2020-10-23,904,4
2020-10-24,926,4
2020-10-25,943,4
2020-10-26,953,4
2020-10-27,971,4
2020-10-28,994,4
2020-10-29,1019,4
2020-10-30,1038,4
2020-10-31,1070,4
2020-11-01,1096,4
2020-11-02,1104,4
2020-11-03,1138,4
2020-11-04,1168,4
2020-11-05,1200,5
2020-11-06,1242,5
