date,cases,deaths
2020-04-07,2,0.0
2020-04-08,3,0.0
2020-04-09,3,0.0
2020-04-10,3,0.0
2020-04-11,3,0.0
2020-04-12,4,0.0
2020-04-13,4,0.0
2020-04-14,4,0.0
2020-04-15,4,0.0
2020-04-16,4,0.0
2020-04-17,4,0.0
2020-04-18,4,0.0
2020-04-19,4,0.0
2020-04-20,4,0.0
2020-04-21,4,0.0
2020-04-22,4,0.0
2020-04-23,5,0.0
2020-04-24,10,0.0
2020-04-25,9,0.0
2020-04-26,10,0.0
2020-04-27,10,0.0
2020-04-28,10,0.0
2020-04-29,10,1.0
2020-04-30,10,1.0
2020-05-01,10,1.0
2020-05-02,10,1.0
2020-05-03,10,1.0
2020-05-04,10,1.0
2020-05-05,10,1.0
2020-05-06,10,1.0
2020-05-07,10,1.0
2020-05-08,10,1.0
2020-05-09,10,1.0
2020-05-10,10,1.0
2020-05-11,10,1.0
2020-05-12,10,1.0
2020-05-13,10,1.0
2020-05-14,11,1.0
2020-05-15,12,1.0
2020-05-16,13,1.0
2020-05-17,13,1.0
2020-05-18,13,1.0
2020-05-19,15,1.0
2020-05-20,15,1.0
2020-05-21,15,1.0
2020-05-22,15,1.0
2020-05-23,16,1.0
2020-05-24,16,1.0
2020-05-25,16,1.0
2020-05-26,16,1.0
2020-05-27,16,1.0
2020-05-28,16,1.0
2020-05-29,16,1.0
2020-05-30,16,1.0
2020-05-31,16,1.0
2020-06-01,16,1.0
2020-06-02,16,1.0
2020-06-03,16,1.0
2020-06-04,16,1.0
2020-06-05,16,1.0
2020-06-06,16,1.0
2020-06-07,16,1.0
2020-06-08,16,1.0
2020-06-09,16,1.0
2020-06-10,16,1.0
2020-06-11,16,1.0
2020-06-12,16,1.0
2020-06-13,16,1.0
2020-06-14,16,1.0
2020-06-15,16,1.0
2020-06-16,16,1.0
2020-06-17,16,1.0
2020-06-18,16,1.0
2020-06-19,16,1.0
2020-06-20,16,1.0
2020-06-21,16,1.0
2020-06-22,16,1.0
2020-06-23,16,1.0
2020-06-24,16,1.0
2020-06-25,16,1.0
2020-06-26,16,1.0
2020-06-27,16,1.0
2020-06-28,18,1.0
2020-06-29,18,1.0
2020-06-30,18,1.0
2020-07-01,18,1.0
2020-07-02,18,1.0
2020-07-03,19,1.0
2020-07-04,19,1.0
2020-07-05,19,1.0
2020-07-06,19,1.0
2020-07-07,19,1.0
2020-07-08,19,1.0
2020-07-09,20,1.0
2020-07-10,20,1.0
2020-07-11,20,1.0
2020-07-12,20,1.0
2020-07-13,21,1.0
2020-07-14,21,1.0
2020-07-15,23,1.0
2020-07-16,24,1.0
2020-07-17,27,1.0
2020-07-18,27,1.0
2020-07-19,29,1.0
2020-07-20,29,1.0
2020-07-21,29,1.0
2020-07-22,31,1.0
2020-07-23,32,1.0
2020-07-24,34,1.0
2020-07-25,36,1.0
2020-07-26,38,1.0
2020-07-27,40,1.0
2020-07-28,41,1.0
2020-07-29,46,1.0
2020-07-30,52,1.0
2020-07-31,53,1.0
2020-08-01,56,1.0
2020-08-02,60,1.0
2020-08-03,60,1.0
2020-08-04,63,1.0
2020-08-05,67,1.0
2020-08-06,68,1.0
2020-08-07,75,1.0
2020-08-08,79,1.0
2020-08-09,79,1.0
2020-08-10,80,1.0
2020-08-11,86,1.0
2020-08-12,90,1.0
2020-08-13,92,2.0
2020-08-14,94,2.0
2020-08-15,101,2.0
2020-08-16,108,2.0
2020-08-17,109,2.0
2020-08-18,112,2.0
2020-08-19,119,2.0
2020-08-20,123,2.0
2020-08-21,129,2.0
2020-08-22,146,2.0
2020-08-23,150,2.0
2020-08-24,153,2.0
2020-08-25,158,3.0
2020-08-26,171,3.0
2020-08-27,176,3.0
2020-08-28,185,3.0
2020-08-29,192,3.0
2020-08-30,194,3.0
2020-08-31,201,3.0
2020-09-01,210,3.0
2020-09-02,221,3.0
2020-09-03,226,3.0
2020-09-04,242,3.0
2020-09-05,248,3.0
2020-09-06,253,3.0
2020-09-07,259,3.0
2020-09-08,264,3.0
2020-09-09,275,3.0
2020-09-10,286,4.0
2020-09-11,289,3.0
2020-09-12,294,3.0
2020-09-13,304,3.0
2020-09-14,310,3.0
2020-09-15,319,3.0
2020-09-16,332,3.0
2020-09-17,338,4.0
2020-09-18,342,4.0
2020-09-19,345,4.0
2020-09-20,346,4.0
2020-09-21,348,4.0
2020-09-22,352,4.0
2020-09-23,360,4.0
2020-09-24,366,4.0
2020-09-25,372,4.0
2020-09-26,385,4.0
2020-09-27,390,4.0
2020-09-28,394,4.0
2020-09-29,402,4.0
2020-09-30,408,4.0
2020-10-01,415,4.0
2020-10-02,428,4.0
2020-10-03,438,4.0
2020-10-04,439,4.0
2020-10-05,439,4.0
2020-10-06,455,4.0
2020-10-07,461,6.0
2020-10-08,468,7.0
2020-10-09,489,7.0
2020-10-10,500,7.0
2020-10-11,505,7.0
2020-10-12,508,7.0
2020-10-13,512,7.0
2020-10-14,533,7.0
2020-10-15,539,8.0
2020-10-16,563,8.0
2020-10-17,565,8.0
2020-10-18,580,8.0
2020-10-19,586,8.0
2020-10-20,592,8.0
2020-10-21,611,10.0
2020-10-22,631,11.0
2020-10-23,638,12.0
2020-10-24,653,12.0
2020-10-25,669,12.0
2020-10-26,691,12.0
2020-10-27,702,12.0
2020-10-28,715,12.0
2020-10-29,732,12.0
2020-10-30,746,12.0
2020-10-31,746,12.0
2020-11-01,770,12.0
2020-11-02,773,12.0
2020-11-03,784,14.0
2020-11-04,803,18.0
2020-11-05,822,18.0
2020-11-06,868,22.0
2020-11-07,893,22.0
2020-11-08,903,22.0
2020-11-09,910,22.0
2020-11-10,946,22.0
2020-11-11,959,22.0
2020-11-12,987,22.0
2020-11-13,1015,22.0
2020-11-14,1036,23.0
2020-11-15,1051,23.0
2020-11-16,1077,23.0
2020-11-17,1101,23.0
2020-11-18,1117,23.0
2020-11-19,1136,23.0
2020-11-20,1161,23.0
2020-11-21,1177,24.0
2020-11-22,1199,24.0
2020-11-23,1219,24.0
2020-11-24,1258,24.0
2020-11-25,1300,25.0
2020-11-26,1338,26.0
2020-11-27,1350,26.0
2020-11-28,1366,26.0
2020-11-29,1374,26.0
2020-11-30,1388,26.0
2020-12-01,1407,26.0
2020-12-02,1439,26.0
2020-12-03,1463,26.0
2020-12-04,1496,27.0
2020-12-05,1514,27.0
2020-12-06,1524,27.0
2020-12-07,1538,27.0
2020-12-08,1549,28.0
2020-12-09,1561,30.0
2020-12-10,1573,30.0
2020-12-11,1597,31.0
2020-12-12,1605,31.0
2020-12-13,1610,31.0
2020-12-14,1617,31.0
2020-12-15,1631,31.0
2020-12-16,1651,31.0
2020-12-17,1659,32.0
2020-12-18,1668,33.0
2020-12-19,1681,33.0
2020-12-20,1690,33.0
2020-12-21,1701,33.0
2020-12-22,1714,33.0
2020-12-23,1726,33.0
2020-12-24,1739,33.0
2020-12-25,1743,33.0
2020-12-26,1745,33.0
2020-12-27,1752,33.0
2020-12-28,1757,33.0
2020-12-29,1771,33.0
2020-12-30,1781,33.0
2020-12-31,1793,34.0
2021-01-01,1793,34.0
2021-01-02,1804,34.0
2021-01-03,1811,34.0
2021-01-04,1809,34.0
2021-01-05,1823,34.0
2021-01-06,1846,34.0
2021-01-07,1864,34.0
2021-01-08,1880,34.0
2021-01-09,1889,34.0
2021-01-10,1893,34.0
2021-01-11,1903,34.0
2021-01-12,1915,34.0
2021-01-13,1931,34.0
2021-01-14,1943,34.0
2021-01-15,1950,35.0
2021-01-16,1957,35.0
2021-01-17,1961,35.0
2021-01-18,1964,35.0
2021-01-19,1970,35.0
2021-01-20,1975,35.0
2021-01-21,1991,35.0
2021-01-22,2010,35.0
2021-01-23,2017,35.0
2021-01-24,2022,35.0
2021-01-25,2024,35.0
