date,cases,deaths
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,1,0.0
2020-04-06,1,0.0
2020-04-07,1,0.0
2020-04-08,2,0.0
2020-04-09,2,0.0
2020-04-10,2,0.0
2020-04-11,2,0.0
2020-04-12,2,0.0
2020-04-13,2,0.0
2020-04-14,2,0.0
2020-04-15,2,0.0
2020-04-16,2,0.0
2020-04-17,2,0.0
2020-04-18,2,0.0
2020-04-19,2,0.0
2020-04-20,2,0.0
2020-04-21,2,0.0
2020-04-22,2,0.0
2020-04-23,2,0.0
2020-04-24,3,0.0
2020-04-25,4,0.0
2020-04-26,4,0.0
2020-04-27,4,0.0
2020-04-28,5,0.0
2020-04-29,5,0.0
2020-04-30,5,0.0
2020-05-01,5,0.0
2020-05-02,6,0.0
2020-05-03,6,0.0
2020-05-04,6,0.0
2020-05-05,6,0.0
2020-05-06,6,0.0
2020-05-07,6,0.0
2020-05-08,6,0.0
2020-05-09,6,0.0
2020-05-10,6,0.0
2020-05-11,6,0.0
2020-05-12,6,0.0
2020-05-13,6,0.0
2020-05-14,6,0.0
2020-05-15,6,0.0
2020-05-16,6,0.0
2020-05-17,5,0.0
2020-05-18,6,0.0
2020-05-19,6,0.0
2020-05-20,6,0.0
2020-05-21,8,0.0
2020-05-22,9,0.0
2020-05-23,10,0.0
2020-05-24,10,0.0
2020-05-25,15,0.0
2020-05-26,17,0.0
2020-05-27,21,0.0
2020-05-28,24,0.0
2020-05-29,24,1.0
2020-05-30,24,1.0
2020-05-31,24,1.0
2020-06-01,25,1.0
2020-06-02,29,1.0
2020-06-03,29,1.0
2020-06-04,30,1.0
2020-06-05,33,1.0
2020-06-06,35,1.0
2020-06-07,38,1.0
2020-06-08,38,1.0
2020-06-09,40,1.0
2020-06-10,42,1.0
2020-06-11,56,1.0
2020-06-12,66,1.0
2020-06-13,70,1.0
2020-06-14,80,1.0
2020-06-15,88,1.0
2020-06-16,92,1.0
2020-06-17,95,1.0
2020-06-18,100,1.0
2020-06-19,102,3.0
2020-06-20,126,4.0
2020-06-21,129,4.0
2020-06-22,136,4.0
2020-06-23,136,4.0
2020-06-24,141,4.0
2020-06-25,149,4.0
2020-06-26,158,4.0
2020-06-27,161,5.0
2020-06-28,166,5.0
2020-06-29,169,5.0
2020-06-30,168,5.0
2020-07-01,168,5.0
2020-07-02,172,5.0
2020-07-03,187,5.0
2020-07-04,187,5.0
2020-07-05,190,5.0
2020-07-06,195,5.0
2020-07-07,197,5.0
2020-07-08,200,5.0
2020-07-09,212,5.0
2020-07-10,220,6.0
2020-07-11,225,6.0
2020-07-12,228,6.0
2020-07-13,230,6.0
2020-07-14,236,6.0
2020-07-15,239,6.0
2020-07-16,251,6.0
2020-07-17,253,6.0
2020-07-18,262,6.0
2020-07-19,270,6.0
2020-07-20,286,6.0
2020-07-21,291,6.0
2020-07-22,294,6.0
2020-07-23,304,6.0
2020-07-24,309,6.0
2020-07-25,314,6.0
2020-07-26,322,6.0
2020-07-27,325,6.0
