date,cases,deaths
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,2,0.0
2020-04-05,2,1.0
2020-04-06,3,1.0
2020-04-07,3,1.0
2020-04-08,4,1.0
2020-04-09,4,1.0
2020-04-10,6,1.0
2020-04-11,6,1.0
2020-04-12,7,1.0
2020-04-13,7,1.0
2020-04-14,7,1.0
2020-04-15,7,1.0
2020-04-16,7,1.0
2020-04-17,7,1.0
2020-04-18,7,1.0
2020-04-19,7,1.0
2020-04-20,7,1.0
2020-04-21,9,1.0
2020-04-22,9,1.0
2020-04-23,8,1.0
2020-04-24,8,1.0
2020-04-25,8,1.0
2020-04-26,8,1.0
2020-04-27,8,1.0
2020-04-28,10,1.0
2020-04-29,10,1.0
2020-04-30,10,1.0
2020-05-01,11,2.0
2020-05-02,12,2.0
2020-05-03,12,2.0
2020-05-04,12,2.0
2020-05-05,19,2.0
2020-05-06,19,2.0
2020-05-07,19,2.0
2020-05-08,20,2.0
2020-05-09,20,2.0
2020-05-10,21,2.0
2020-05-11,21,2.0
2020-05-12,21,2.0
2020-05-13,21,2.0
2020-05-14,21,2.0
2020-05-15,21,2.0
2020-05-16,21,2.0
2020-05-17,21,2.0
2020-05-18,21,2.0
2020-05-19,21,2.0
2020-05-20,21,2.0
2020-05-21,21,2.0
2020-05-22,21,2.0
2020-05-23,21,2.0
2020-05-24,22,2.0
2020-05-25,23,2.0
2020-05-26,23,2.0
2020-05-27,23,2.0
2020-05-28,24,2.0
2020-05-29,26,2.0
2020-05-30,26,2.0
2020-05-31,26,2.0
2020-06-01,26,2.0
2020-06-02,26,2.0
2020-06-03,28,2.0
2020-06-04,30,2.0
2020-06-05,30,2.0
2020-06-06,30,2.0
2020-06-07,30,2.0
2020-06-08,30,2.0
2020-06-09,30,2.0
2020-06-10,30,3.0
2020-06-11,30,3.0
2020-06-12,31,3.0
2020-06-13,31,3.0
2020-06-14,31,3.0
2020-06-15,31,3.0
2020-06-16,31,3.0
2020-06-17,31,3.0
2020-06-18,31,3.0
2020-06-19,33,3.0
2020-06-20,33,3.0
2020-06-21,35,3.0
2020-06-22,35,3.0
2020-06-23,35,3.0
2020-06-24,35,3.0
2020-06-25,36,3.0
2020-06-26,36,3.0
2020-06-27,36,3.0
2020-06-28,36,3.0
2020-06-29,37,3.0
2020-06-30,40,3.0
2020-07-01,41,3.0
2020-07-02,43,3.0
2020-07-03,43,3.0
2020-07-04,43,3.0
2020-07-05,43,3.0
2020-07-06,43,3.0
2020-07-07,46,3.0
2020-07-08,48,3.0
2020-07-09,53,3.0
2020-07-10,58,3.0
2020-07-11,64,3.0
2020-07-12,70,3.0
2020-07-13,72,3.0
2020-07-14,78,3.0
2020-07-15,80,3.0
2020-07-16,81,3.0
2020-07-17,81,4.0
2020-07-18,83,4.0
2020-07-19,84,4.0
2020-07-20,84,4.0
2020-07-21,89,4.0
2020-07-22,102,5.0
2020-07-23,106,5.0
2020-07-24,119,5.0
2020-07-25,127,5.0
2020-07-26,141,5.0
2020-07-27,146,5.0
2020-07-28,165,5.0
2020-07-29,175,5.0
2020-07-30,179,5.0
2020-07-31,187,5.0
2020-08-01,189,5.0
