date,cases,deaths
2020-03-26,1,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,2,0
2020-04-06,3,0
2020-04-07,3,0
2020-04-08,3,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,3,0
2020-04-14,3,0
2020-04-15,3,0
2020-04-16,3,0
2020-04-17,3,0
2020-04-18,3,0
2020-04-19,4,0
2020-04-20,4,0
2020-04-21,4,0
2020-04-22,4,0
2020-04-23,5,0
2020-04-24,5,0
2020-04-25,5,0
2020-04-26,5,0
2020-04-27,5,0
2020-04-28,5,0
2020-04-29,5,0
2020-04-30,6,0
2020-05-01,7,0
2020-05-02,8,0
2020-05-03,8,0
2020-05-04,9,0
2020-05-05,9,0
2020-05-06,9,0
2020-05-07,9,0
2020-05-08,10,0
2020-05-09,9,0
2020-05-10,10,0
2020-05-11,10,0
2020-05-12,10,0
2020-05-13,10,0
2020-05-14,10,0
2020-05-15,10,0
2020-05-16,10,0
2020-05-17,10,0
2020-05-18,10,0
2020-05-19,10,0
2020-05-20,10,0
2020-05-21,10,0
2020-05-22,10,0
2020-05-23,10,0
2020-05-24,10,0
2020-05-25,10,0
2020-05-26,10,0
2020-05-27,11,0
2020-05-28,11,0
2020-05-29,11,0
2020-05-30,13,0
2020-05-31,13,0
2020-06-01,14,0
2020-06-02,14,0
2020-06-03,14,0
2020-06-04,14,0
2020-06-05,15,0
2020-06-06,16,0
2020-06-07,16,0
2020-06-08,16,0
2020-06-09,16,0
2020-06-10,16,0
2020-06-11,16,0
2020-06-12,16,0
2020-06-13,16,0
2020-06-14,16,0
2020-06-15,17,0
2020-06-16,17,0
2020-06-17,18,0
2020-06-18,18,0
2020-06-19,18,0
2020-06-20,18,0
2020-06-21,18,0
2020-06-22,18,0
2020-06-23,18,0
2020-06-24,18,0
2020-06-25,20,0
2020-06-26,20,0
2020-06-27,20,0
2020-06-28,20,0
2020-06-29,20,0
2020-06-30,20,0
2020-07-01,20,0
2020-07-02,20,0
2020-07-03,20,0
2020-07-04,20,0
2020-07-05,20,0
2020-07-06,21,0
2020-07-07,20,0
2020-07-08,20,0
2020-07-09,20,0
2020-07-10,20,0
2020-07-11,21,0
2020-07-12,22,0
2020-07-13,22,0
2020-07-14,22,0
2020-07-15,22,0
2020-07-16,23,0
2020-07-17,24,0
2020-07-18,25,0
2020-07-19,31,0
2020-07-20,32,0
2020-07-21,38,0
2020-07-22,38,0
2020-07-23,39,0
2020-07-24,41,0
2020-07-25,41,0
2020-07-26,56,0
2020-07-27,56,0
2020-07-28,56,0
2020-07-29,65,0
2020-07-30,66,0
2020-07-31,69,0
2020-08-01,71,0
2020-08-02,74,0
2020-08-03,76,0
