date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,3,0
2020-04-03,4,0
2020-04-04,4,0
2020-04-05,5,1
2020-04-06,7,1
2020-04-07,7,1
2020-04-08,7,1
2020-04-09,8,1
2020-04-10,8,1
2020-04-11,8,1
2020-04-12,9,1
2020-04-13,10,2
2020-04-14,13,2
2020-04-15,13,2
2020-04-16,15,2
2020-04-17,15,2
2020-04-18,15,2
2020-04-19,15,2
2020-04-20,17,2
2020-04-21,17,2
2020-04-22,17,2
2020-04-23,17,2
2020-04-24,18,2
2020-04-25,19,2
2020-04-26,19,2
2020-04-27,19,2
2020-04-28,20,2
2020-04-29,20,2
2020-04-30,21,2
2020-05-01,21,2
2020-05-02,21,2
2020-05-03,21,2
2020-05-04,21,2
2020-05-05,21,2
2020-05-06,21,2
2020-05-07,23,2
2020-05-08,23,2
2020-05-09,23,2
2020-05-10,23,2
2020-05-11,25,2
2020-05-12,27,2
2020-05-13,27,2
2020-05-14,27,2
2020-05-15,28,2
2020-05-16,28,2
2020-05-17,28,2
2020-05-18,28,2
2020-05-19,28,2
2020-05-20,28,2
2020-05-21,28,2
2020-05-22,28,2
2020-05-23,28,2
2020-05-24,28,2
2020-05-25,28,2
2020-05-26,28,2
2020-05-27,28,2
2020-05-28,29,2
2020-05-29,29,2
2020-05-30,29,2
2020-05-31,29,2
2020-06-01,29,2
2020-06-02,30,2
2020-06-03,30,2
2020-06-04,30,2
2020-06-05,31,2
2020-06-06,31,2
2020-06-07,31,2
