date,cases,deaths
2020-03-25,1,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,5,0
2020-03-29,5,0
2020-03-30,5,0
2020-03-31,10,0
2020-04-01,12,2
2020-04-02,14,2
2020-04-03,17,3
2020-04-04,18,3
2020-04-05,18,3
2020-04-06,28,3
2020-04-07,37,3
2020-04-08,43,3
2020-04-09,45,4
2020-04-10,50,4
2020-04-11,50,4
2020-04-12,54,4
2020-04-13,58,4
2020-04-14,64,4
2020-04-15,67,5
2020-04-16,76,5
2020-04-17,77,5
2020-04-18,81,5
2020-04-19,86,6
2020-04-20,88,6
2020-04-21,93,7
2020-04-22,95,7
2020-04-23,100,7
2020-04-24,103,8
2020-04-25,105,8
2020-04-26,107,8
2020-04-27,112,8
2020-04-28,113,9
2020-04-29,115,10
2020-04-30,121,11
2020-05-01,128,11
2020-05-02,129,11
2020-05-03,130,11
2020-05-04,133,12
2020-05-05,142,13
2020-05-06,146,13
2020-05-07,147,12
2020-05-08,155,12
2020-05-09,155,12
2020-05-10,165,12
2020-05-11,165,12
2020-05-12,167,12
2020-05-13,166,12
2020-05-14,169,12
2020-05-15,170,12
2020-05-16,171,12
2020-05-17,171,12
2020-05-18,174,13
2020-05-19,177,13
2020-05-20,191,13
2020-05-21,191,13
2020-05-22,201,13
2020-05-23,206,13
2020-05-24,209,13
2020-05-25,218,14
2020-05-26,221,14
2020-05-27,223,14
2020-05-28,225,14
2020-05-29,228,14
2020-05-30,228,14
2020-05-31,228,14
2020-06-01,228,14
2020-06-02,228,14
2020-06-03,234,14
2020-06-04,238,14
2020-06-05,240,14
2020-06-06,247,14
2020-06-07,248,14
2020-06-08,249,14
2020-06-09,252,14
2020-06-10,252,14
2020-06-11,254,14
2020-06-12,263,14
2020-06-13,267,14
2020-06-14,268,14
2020-06-15,286,14
2020-06-16,290,15
2020-06-17,298,15
2020-06-18,301,15
2020-06-19,307,15
2020-06-20,309,15
2020-06-21,317,15
2020-06-22,331,15
2020-06-23,352,15
2020-06-24,365,15
2020-06-25,372,15
2020-06-26,388,15
2020-06-27,394,15
2020-06-28,395,15
2020-06-29,397,15
2020-06-30,424,15
2020-07-01,448,15
2020-07-02,459,16
2020-07-03,500,16
2020-07-04,508,16
2020-07-05,510,16
2020-07-06,523,16
2020-07-07,538,16
2020-07-08,555,16
2020-07-09,576,16
2020-07-10,596,16
2020-07-11,622,16
2020-07-12,639,16
2020-07-13,669,16
2020-07-14,703,17
2020-07-15,734,17
2020-07-16,761,17
2020-07-17,788,17
2020-07-18,835,17
2020-07-19,844,17
2020-07-20,851,17
2020-07-21,896,17
2020-07-22,914,17
2020-07-23,947,17
2020-07-24,972,19
2020-07-25,983,19
2020-07-26,997,19
2020-07-27,1028,20
2020-07-28,1044,20
2020-07-29,1038,24
2020-07-30,1046,23
2020-07-31,1055,23
2020-08-01,1073,23
2020-08-02,1077,23
2020-08-03,1083,23
2020-08-04,1084,24
2020-08-05,1097,24
2020-08-06,1113,25
2020-08-07,1125,25
2020-08-08,1135,25
2020-08-09,1144,29
2020-08-10,1153,29
2020-08-11,1170,29
2020-08-12,1178,29
2020-08-13,1186,31
2020-08-14,1201,32
2020-08-15,1210,33
2020-08-16,1229,34
2020-08-17,1237,34
2020-08-18,1242,35
2020-08-19,1248,36
2020-08-20,1274,40
2020-08-21,1281,40
2020-08-22,1286,41
2020-08-23,1296,41
2020-08-24,1302,41
2020-08-25,1306,42
2020-08-26,1311,42
2020-08-27,1318,42
2020-08-28,1324,42
2020-08-29,1327,42
2020-08-30,1333,44
2020-08-31,1340,44
