date,cases,deaths
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,3,0
2020-04-06,3,0
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,4,0
2020-04-10,4,0
2020-04-11,4,0
2020-04-12,5,0
2020-04-13,5,0
2020-04-14,5,0
2020-04-15,5,0
2020-04-16,5,0
2020-04-17,6,0
2020-04-18,6,0
2020-04-19,6,0
2020-04-20,6,0
2020-04-21,7,0
2020-04-22,7,0
2020-04-23,7,0
2020-04-24,7,0
2020-04-25,7,0
2020-04-26,7,0
2020-04-27,7,0
2020-04-28,7,0
2020-04-29,7,0
2020-04-30,7,0
2020-05-01,7,0
2020-05-02,7,0
2020-05-03,7,0
2020-05-04,7,0
2020-05-05,7,0
2020-05-06,10,0
2020-05-07,10,0
2020-05-08,10,0
2020-05-09,10,0
2020-05-10,10,0
2020-05-11,10,0
2020-05-12,10,0
2020-05-13,10,0
2020-05-14,11,0
2020-05-15,11,0
2020-05-16,11,0
2020-05-17,11,0
2020-05-18,11,0
2020-05-19,11,0
2020-05-20,11,0
2020-05-21,11,0
2020-05-22,11,0
2020-05-23,11,0
2020-05-24,11,0
2020-05-25,12,0
2020-05-26,12,0
2020-05-27,12,0
2020-05-28,14,0
2020-05-29,15,0
2020-05-30,16,0
2020-05-31,16,0
2020-06-01,16,0
2020-06-02,16,0
2020-06-03,17,0
2020-06-04,16,0
2020-06-05,16,0
2020-06-06,16,0
2020-06-07,17,0
2020-06-08,17,0
2020-06-09,16,0
2020-06-10,16,0
2020-06-11,16,0
2020-06-12,16,0
2020-06-13,17,0
2020-06-14,17,0
2020-06-15,17,0
2020-06-16,17,0
2020-06-17,18,0
2020-06-18,18,0
2020-06-19,18,0
2020-06-20,19,0
2020-06-21,21,0
2020-06-22,22,0
2020-06-23,21,0
2020-06-24,23,0
2020-06-25,25,0
2020-06-26,27,0
2020-06-27,29,0
2020-06-28,29,0
2020-06-29,29,0
2020-06-30,31,0
2020-07-01,32,0
2020-07-02,32,0
2020-07-03,33,0
2020-07-04,36,0
2020-07-05,37,0
2020-07-06,37,0
2020-07-07,38,0
2020-07-08,38,0
2020-07-09,38,0
2020-07-10,41,0
2020-07-11,45,0
2020-07-12,45,0
2020-07-13,45,0
2020-07-14,47,0
2020-07-15,47,0
2020-07-16,47,0
2020-07-17,47,0
2020-07-18,50,0
2020-07-19,50,0
2020-07-20,50,0
2020-07-21,51,0
2020-07-22,54,0
2020-07-23,54,0
2020-07-24,56,0
2020-07-25,56,0
2020-07-26,57,0
2020-07-27,57,0
2020-07-28,58,0
2020-07-29,56,0
2020-07-30,62,0
2020-07-31,62,0
2020-08-01,63,0
2020-08-02,63,0
2020-08-03,65,0
2020-08-04,65,0
2020-08-05,68,0
2020-08-06,70,0
2020-08-07,74,0
2020-08-08,79,0
2020-08-09,80,0
2020-08-10,82,0
2020-08-11,83,0
2020-08-12,86,0
2020-08-13,88,0
2020-08-14,93,0
2020-08-15,97,0
2020-08-16,100,0
2020-08-17,100,0
2020-08-18,102,0
2020-08-19,105,0
2020-08-20,106,0
2020-08-21,107,0
2020-08-22,107,0
2020-08-23,109,0
2020-08-24,110,0
2020-08-25,111,0
2020-08-26,113,0
2020-08-27,114,0
2020-08-28,115,0
2020-08-29,118,0
2020-08-30,120,0
2020-08-31,121,0
2020-09-01,121,0
2020-09-02,122,0
2020-09-03,123,0
2020-09-04,148,0
2020-09-05,148,0
2020-09-06,148,0
2020-09-07,148,0
2020-09-08,148,0
2020-09-09,150,0
2020-09-10,154,0
2020-09-11,153,0
2020-09-12,156,0
2020-09-13,158,0
2020-09-14,160,0
2020-09-15,160,0
2020-09-16,164,0
2020-09-17,164,0
2020-09-18,168,0
2020-09-19,169,0
2020-09-20,174,0
2020-09-21,176,0
2020-09-22,179,0
2020-09-23,193,0
2020-09-24,198,0
2020-09-25,201,0
2020-09-26,204,0
2020-09-27,207,0
2020-09-28,210,0
2020-09-29,211,0
2020-09-30,218,0
2020-10-01,222,0
2020-10-02,233,0
2020-10-03,237,0
2020-10-04,238,0
2020-10-05,259,0
2020-10-06,265,0
2020-10-07,268,0
2020-10-08,276,0
2020-10-09,289,0
2020-10-10,301,0
2020-10-11,301,0
2020-10-12,327,0
2020-10-13,335,0
2020-10-14,347,0
2020-10-15,361,1
2020-10-16,378,1
2020-10-17,378,1
2020-10-18,378,1
2020-10-19,398,1
2020-10-20,411,1
2020-10-21,427,1
2020-10-22,433,1
2020-10-23,443,1
2020-10-24,459,1
2020-10-25,459,1
2020-10-26,484,1
2020-10-27,492,1
2020-10-28,506,1
