date,cases,deaths
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,3,0
2020-04-06,3,0
2020-04-07,3,0
2020-04-08,3,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,3,0
2020-04-14,3,0
2020-04-15,3,0
2020-04-16,3,0
2020-04-17,3,0
2020-04-18,3,1
2020-04-19,3,1
2020-04-20,3,1
2020-04-21,3,1
2020-04-22,3,1
2020-04-23,3,1
2020-04-24,3,1
2020-04-25,3,1
2020-04-26,3,1
2020-04-27,3,1
2020-04-28,3,1
2020-04-29,3,1
2020-04-30,3,1
2020-05-01,3,1
2020-05-02,3,1
2020-05-03,3,1
2020-05-04,3,1
2020-05-05,3,1
2020-05-06,3,1
2020-05-07,3,1
2020-05-08,3,1
2020-05-09,3,1
2020-05-10,3,1
2020-05-11,3,1
2020-05-12,3,1
2020-05-13,3,1
2020-05-14,3,1
2020-05-15,3,1
2020-05-16,3,1
2020-05-17,3,1
2020-05-18,3,1
2020-05-19,3,1
2020-05-20,3,1
2020-05-21,3,1
2020-05-22,3,1
2020-05-23,3,1
2020-05-24,3,1
2020-05-25,3,1
2020-05-26,3,1
2020-05-27,3,1
2020-05-28,3,1
2020-05-29,3,1
2020-05-30,3,1
2020-05-31,3,1
2020-06-01,3,1
2020-06-02,3,1
2020-06-03,3,1
2020-06-04,3,1
2020-06-05,3,1
2020-06-06,3,1
2020-06-07,3,1
2020-06-08,3,1
2020-06-09,3,1
2020-06-10,3,1
2020-06-11,3,1
2020-06-12,3,1
2020-06-13,3,1
2020-06-14,3,1
2020-06-15,3,1
2020-06-16,3,1
2020-06-17,3,1
2020-06-18,3,1
2020-06-19,3,1
2020-06-20,3,1
2020-06-21,3,1
2020-06-22,3,1
2020-06-23,3,1
2020-06-24,3,1
2020-06-25,3,1
2020-06-26,3,1
2020-06-27,3,1
2020-06-28,3,1
2020-06-29,3,1
2020-06-30,3,1
2020-07-01,3,1
2020-07-02,3,1
2020-07-03,3,1
2020-07-04,3,1
2020-07-05,3,1
2020-07-06,3,1
2020-07-07,4,1
2020-07-08,4,1
2020-07-09,4,1
2020-07-10,5,1
2020-07-11,6,1
2020-07-12,6,1
2020-07-13,7,1
2020-07-14,9,1
2020-07-15,11,1
2020-07-16,11,1
2020-07-17,12,1
2020-07-18,13,1
2020-07-19,13,1
2020-07-20,13,1
2020-07-21,13,1
2020-07-22,14,1
2020-07-23,15,1
2020-07-24,16,1
2020-07-25,16,1
2020-07-26,18,1
2020-07-27,19,1
2020-07-28,19,1
2020-07-29,19,1
2020-07-30,18,1
2020-07-31,18,1
2020-08-01,19,1
2020-08-02,20,1
2020-08-03,20,1
2020-08-04,21,1
2020-08-05,21,1
2020-08-06,21,1
2020-08-07,22,1
2020-08-08,23,1
2020-08-09,27,1
2020-08-10,28,1
2020-08-11,29,1
2020-08-12,29,1
2020-08-13,30,1
2020-08-14,32,1
2020-08-15,32,1
2020-08-16,34,1
2020-08-17,37,1
2020-08-18,39,1
2020-08-19,39,1
2020-08-20,40,1
2020-08-21,40,1
2020-08-22,41,1
2020-08-23,41,1
2020-08-24,41,1
