date,cases,deaths
2020-03-24,1,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,5,0
2020-03-29,6,0
2020-03-30,8,0
2020-03-31,8,0
2020-04-01,9,0
2020-04-02,10,0
2020-04-03,10,0
2020-04-04,10,0
2020-04-05,12,0
2020-04-06,13,0
2020-04-07,13,0
2020-04-08,15,0
2020-04-09,16,0
2020-04-10,17,0
2020-04-11,18,0
2020-04-12,18,0
2020-04-13,17,0
2020-04-14,17,0
2020-04-15,18,0
2020-04-16,19,0
2020-04-17,20,0
2020-04-18,24,0
2020-04-19,24,0
2020-04-20,26,0
2020-04-21,26,0
2020-04-22,28,0
2020-04-23,29,0
2020-04-24,30,0
2020-04-25,32,0
2020-04-26,33,0
2020-04-27,38,0
2020-04-28,43,0
2020-04-29,45,0
2020-04-30,50,0
2020-05-01,54,0
2020-05-02,54,0
2020-05-03,60,0
2020-05-04,62,0
2020-05-05,62,0
2020-05-06,67,1
2020-05-07,73,1
2020-05-08,73,1
2020-05-09,73,1
2020-05-10,76,2
2020-05-11,76,4
2020-05-12,80,4
2020-05-13,84,4
2020-05-14,105,4
2020-05-15,105,4
2020-05-16,107,4
2020-05-17,107,4
2020-05-18,107,4
2020-05-19,117,4
2020-05-20,121,4
2020-05-21,140,4
2020-05-22,144,4
2020-05-23,152,5
2020-05-24,157,6
2020-05-25,160,6
2020-05-26,162,6
2020-05-27,162,6
2020-05-28,164,8
2020-05-29,166,8
2020-05-30,171,8
2020-05-31,173,8
2020-06-01,173,8
2020-06-02,173,9
2020-06-03,177,10
2020-06-04,179,11
2020-06-05,185,11
2020-06-06,188,11
