date,cases,deaths
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,2,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,3,0
2020-04-06,3,0
2020-04-07,5,0
2020-04-08,4,0
2020-04-09,4,0
2020-04-10,4,0
2020-04-11,4,0
2020-04-12,4,0
2020-04-13,4,0
2020-04-14,4,0
2020-04-15,4,0
2020-04-16,4,0
2020-04-17,4,0
2020-04-18,5,0
2020-04-19,5,0
2020-04-20,5,0
2020-04-21,5,0
2020-04-22,5,0
2020-04-23,5,0
2020-04-24,5,0
2020-04-25,5,0
2020-04-26,5,0
2020-04-27,5,0
2020-04-28,5,0
2020-04-29,5,0
2020-04-30,5,0
2020-05-01,5,0
2020-05-02,5,0
2020-05-03,5,0
2020-05-04,5,0
2020-05-05,5,0
2020-05-06,5,0
2020-05-07,5,0
2020-05-08,5,0
2020-05-09,5,0
2020-05-10,5,0
2020-05-11,5,0
2020-05-12,5,0
2020-05-13,5,0
2020-05-14,6,0
2020-05-15,6,0
2020-05-16,6,0
2020-05-17,6,0
2020-05-18,6,0
2020-05-19,6,0
2020-05-20,6,0
2020-05-21,6,0
2020-05-22,6,0
2020-05-23,6,0
2020-05-24,6,0
2020-05-25,7,0
2020-05-26,8,0
2020-05-27,8,0
2020-05-28,9,0
2020-05-29,9,0
2020-05-30,11,0
2020-05-31,12,0
2020-06-01,12,0
2020-06-02,12,0
2020-06-03,12,0
2020-06-04,12,0
2020-06-05,12,0
2020-06-06,13,0
2020-06-07,13,0
2020-06-08,13,0
2020-06-09,13,0
2020-06-10,14,0
2020-06-11,14,0
2020-06-12,14,0
2020-06-13,14,0
2020-06-14,14,0
2020-06-15,14,0
2020-06-16,14,0
2020-06-17,14,0
2020-06-18,14,0
2020-06-19,14,0
2020-06-20,14,0
2020-06-21,14,0
2020-06-22,15,0
2020-06-23,15,0
2020-06-24,15,0
2020-06-25,16,0
2020-06-26,18,0
2020-06-27,18,0
2020-06-28,20,0
2020-06-29,20,0
2020-06-30,20,0
2020-07-01,20,0
2020-07-02,24,0
2020-07-03,24,0
2020-07-04,24,0
2020-07-05,24,0
2020-07-06,25,0
2020-07-07,25,0
2020-07-08,25,0
2020-07-09,26,0
2020-07-10,28,0
2020-07-11,29,0
2020-07-12,30,0
2020-07-13,31,0
2020-07-14,31,0
2020-07-15,34,0
2020-07-16,34,0
2020-07-17,35,0
2020-07-18,40,0
2020-07-19,44,0
2020-07-20,44,0
2020-07-21,46,0
2020-07-22,48,0
2020-07-23,49,0
2020-07-24,52,0
2020-07-25,55,0
2020-07-26,55,0
2020-07-27,56,0
2020-07-28,56,0
2020-07-29,56,0
2020-07-30,61,0
2020-07-31,62,0
2020-08-01,60,0
2020-08-02,61,0
2020-08-03,62,0
2020-08-04,64,0
2020-08-05,68,0
2020-08-06,68,0
2020-08-07,69,0
2020-08-08,71,0
2020-08-09,71,0
2020-08-10,71,0
2020-08-11,73,0
2020-08-12,76,0
2020-08-13,78,0
